condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,18,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0442659,0.09030964,0.0,0.0,0.0,0.0,0.0,-27.621681,26.000002,2.2974308,0.76581025,0.096,0.0,125,0.14073849,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,19,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0243479,0.094547935,0.0,0.0,0.0,0.0,0.0,-26.450432,26.000002,2.2536104,0.7512035,0.128,0.0,125,0.1251365,,,,,,-24.724594,0.0,0.6375255,1
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,20,0.0,2,32,0.40000004,0.40000004,0.40000004,1.013647,0.09690652,0.0,0.0,0.0,0.0,0.0,-27.087433,26.000002,2.230068,0.743356,0.128,0.0,125,0.13983421,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,21,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0287118,0.093602665,0.0,0.0,0.0,0.0,0.0,-27.56994,26.000002,2.263211,0.7544037,0.17600001,0.0,125,0.15337741,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,22,0.0,2,32,0.40000004,0.40000004,0.40000004,0.97946066,0.10484298,0.0,0.0,0.0,0.0,0.0,-25.740494,26.000002,2.1548564,0.7182855,0.16000001,0.0,125,0.12966652,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,23,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0034866,0.09920038,0.0,0.0,0.0,0.0,0.0,-27.2455,26.000002,2.2077146,0.7359049,0.16800001,0.0,125,0.1441913,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,24,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0178207,0.095979676,0.0,0.0,0.0,0.0,0.0,-26.986439,26.000002,2.2392502,0.74641675,0.192,0.0,125,0.16116253,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,25,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0066824,0.098473094,0.0,0.0,0.0,0.0,0.0,-26.668068,26.000002,2.2147455,0.7382485,0.15200001,0.0,125,0.13947113,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,26,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0348587,0.09228717,0.0,0.0,0.0,0.0,0.0,-26.945862,26.0,2.2767346,0.75891155,0.16,0.0,100,0.14639494,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,27,0.0,2,32,0.40000004,0.40000004,0.40000004,0.9995098,0.10011293,0.0,0.0,0.0,0.0,0.0,-26.177032,26.000002,2.1989655,0.73298854,0.14400001,0.0,125,0.1568046,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,28,0.0,2,32,0.40000004,0.40000004,0.40000004,1.045402,0.0900737,0.0,0.0,0.0,0.0,0.0,-27.676355,26.000002,2.2999303,0.76664346,0.216,0.0,125,0.1667573,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,29,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0265254,0.09407509,0.0,0.0,0.0,0.0,0.0,-26.98024,26.000002,2.258401,0.75280035,0.15200001,0.0,125,0.15703008,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,30,0.0,2,32,0.40000004,0.40000004,0.40000004,0.99743974,0.10059125,0.0,0.0,0.0,0.0,0.0,-27.453964,26.000002,2.1944113,0.73147047,0.208,0.0,125,0.1602373,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,31,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0549332,0.088118434,0.0,0.0,0.0,0.0,0.0,-27.668568,26.000002,2.3208995,0.7736332,0.112,0.0,125,0.15312237,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,32,0.0,2,32,0.40000004,0.40000004,0.40000004,1.038936,0.09142479,0.0,0.0,0.0,0.0,0.0,-27.234175,26.000002,2.2857049,0.7619016,0.16800001,0.0,125,0.13136925,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,33,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0109684,0.097506054,0.0,0.0,0.0,0.0,0.0,-26.798077,26.000002,2.224175,0.74139166,0.192,0.0,125,0.14918724,,,,,,,,,0
