seed,late_g_eff_mean,late_g_raw_mean,late_alpha_g_eff_mean,late_debt_charge_mean,late_margin_mean,late_break_even_alpha_est,late_debt_floor_frac,late_negative_energy_frac,late_debt_level_mean,late_update_u_mean,late_cut_active_frac,late_window_updates
30,0.030610177157051284,0.09644136066346154,0.001836610629423077,0.005997833474038461,-0.004161222844615385,0.1959424619879018,0.7083333333333334,1.0,0.2998916754166666,0.0,0.2916666666666667,312
31,0.029283069442307692,0.09629339496153846,0.0017569841665384615,0.005997226424038461,-0.0042402422575,0.2048018373160625,0.7211538461538461,1.0,0.2998613229166667,0.0,0.27884615384615385,312
32,0.04792560102884615,0.09929559524358975,0.002875536061730769,0.005993656270192307,-0.003118120208461538,0.12506168188865818,0.5448717948717948,1.0,0.2996828162179487,0.0,0.4551282051282051,312
33,0.09124135183974359,0.10675217727243591,0.005474481110384615,0.005938889474679487,-0.00046440836429487153,0.06508988912297747,0.1282051282051282,1.0,0.2969448427884615,0.0,0.8397435897435898,312
34,0.03988473627564103,0.09801576330769232,0.0023930841765384616,0.005995881464743589,-0.0036027972882051273,0.15033022716525968,0.6217948717948718,1.0,0.29979503846153843,0.0,0.3782051282051282,312
35,0.05203852848076924,0.09958830544871795,0.003122311708846154,0.005993267566666667,-0.0028709558578205127,0.11516981247618234,0.5064102564102564,1.0,0.2996627351602564,0.0,0.4935897435897436,312
36,0.027428173467948718,0.09554043376923078,0.001645690408076923,0.005998070031410256,-0.004352379623333333,0.21868280942656718,0.7371794871794872,1.0,0.2999035526282051,0.0,0.26282051282051283,312
37,0.037438293128205125,0.09743942379807692,0.0022462975876923075,0.005996876866025641,-0.0037505792783333334,0.1601802957600045,0.6442307692307693,1.0,0.29984545749999997,0.0,0.3557692307692308,312
38,0.022042926772435897,0.09452055481089744,0.0013225756063461537,0.005998742500320512,-0.004676166893974359,0.2721391112101222,0.7884615384615384,1.0,0.2999371262179487,0.0,0.21153846153846154,312
39,0.035238486474358975,0.09670715247435897,0.0021143091884615385,0.005997097574679486,-0.0038827883862179477,0.17018601463043057,0.6634615384615384,1.0,0.29985488080128203,0.0,0.33653846153846156,312
40,0.03433064306730769,0.09704184150641025,0.0020598385840384613,0.005997093425641025,-0.003937254841602564,0.17468631198906742,0.6730769230769231,1.0,0.2998546738461538,0.0,0.3269230769230769,312
41,0.039605367657051284,0.09807996821474359,0.002376322059423077,0.005995697605128205,-0.003619375545705128,0.1513859852797185,0.625,1.0,0.2997848830128205,0.0,0.375,312
