n_seeds,late_window_updates,rho_mean,rho_sd,p_active_mean,p_active_sd,p_sustained_mean,p_sustained_sd,p_bursty_mean,p_bursty_sd,late_update_count_mean,late_update_count_sd,active_blocks_mean,active_blocks_sd,chi_rho,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,final_update_counter_mean,final_update_counter_sd,final_energy_E_post_mean,final_energy_E_post_sd,final_depr_F_post_mean,final_depr_F_post_sd,final_vartd_VarTD_mean,final_vartd_VarTD_sd,alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,support_mode,support_total,support_start_update,support_window_frac,borrow_limit,borrow_interest,total_timesteps
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.731242895126343,2.0394343164670405,0.002187499951105565,0.005526694624571782,0.5959032978862524,0.12927940452222966,2.8125,0.39655776945626603,-0.5996356401592493,0.0005278764328133845,0.0,0.0,0.15016026957891881,0.024016496796178427,0.06,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000
32,313,0.00019968051118210862,0.001129563548221322,0.03125,0.1767766952966369,0.0,0.0,0.03125,0.1767766952966369,0.0625,0.3535533905932738,0.0625,0.3535533905932738,1.2759138094703425e-06,-24.935869455337524,2.040147097823007,0.0018749999580904841,0.003965577605925092,0.6044090446084738,0.1343129367972645,3.0,1.1639753904947558,-0.5871890531852841,0.06557599783234369,0.0,0.0,0.14964396506547928,0.023526707340280895,0.061,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000
32,313,0.0005990415335463259,0.002058962488303313,0.09375,0.29614458108029906,0.03125,0.1767766952966369,0.0625,0.24593468841898236,0.1875,0.6444552588389371,0.1875,0.6444552588389371,4.23932652824017e-06,-24.51825177669525,1.8228891876125632,0.0018749999580904841,0.003965577605925092,0.5817107670009136,0.12219825594157843,3.28125,1.5499089463370046,-0.5670251380652189,0.10496395553879281,0.0,0.0,0.14956132462248206,0.022857156850753037,0.063,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000
32,313,0.00039936102236421724,0.00157146765762928,0.0625,0.24593468841898236,0.0,0.0,0.0625,0.24593468841898236,0.125,0.4918693768379647,0.125,0.4918693768379647,2.469510598974856e-06,-24.747726440429688,1.8511721405041914,0.0009374999790452421,0.0029614457446095178,0.594256991520524,0.12622623168098443,3.25,1.5657627225176254,-0.5752242156304419,0.09344807397980909,0.0,0.0,0.15032410412095487,0.022329656005101135,0.064,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000
32,313,0.0005990415335463259,0.002058962488303313,0.09375,0.29614458108029906,0.03125,0.1767766952966369,0.0625,0.24593468841898236,0.1875,0.6444552588389371,0.1875,0.6444552588389371,4.23932652824017e-06,-24.58822751045227,1.7583159397746713,0.002187499951105565,0.004200134312571224,0.5886552287265658,0.12234689624890302,3.3125,1.712148245013622,-0.562595178023912,0.12127775545320808,0.0,0.0,0.15088328067213297,0.02510362728140319,0.066,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000
32,313,0.0013977635782747603,0.0033397539138939215,0.15625,0.36890203262847354,0.125,0.3360107525161235,0.03125,0.1767766952966369,0.4375,1.0453429750487975,0.4375,1.0453429750487975,1.1153956205369767e-05,-24.555150985717773,1.853431971874759,0.0015624999650754035,0.004478893052328246,0.5898612281307578,0.12436223207416465,3.84375,2.4509297116834876,-0.5640810672193766,0.09816400992590049,0.0,0.0,0.1526324215810746,0.025066573195727148,0.067,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000
32,313,0.0017971246006389776,0.0038865374260039667,0.21875,0.42001344064515445,0.125,0.3360107525161235,0.09375,0.29614458108029906,0.5625,1.2164862143392416,0.5625,1.2164862143392416,1.510517316372954e-05,-24.552530705928802,1.899089388521246,0.002812499937135726,0.005226714758417806,0.5816926471889019,0.1280941858273302,4.15625,2.8972665092818874,-0.5565797525923699,0.10643841714706297,0.0,0.0,0.15383720770478249,0.028522587385154976,0.069,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000
32,313,0.0010982428115015974,0.002764994254845085,0.15625,0.36890203262847354,0.0625,0.24593468841898236,0.09375,0.29614458108029906,0.34375,0.8654432017665117,0.34375,0.8654432017665117,7.645193229326327e-06,-24.3191938996315,1.6124953912068822,0.0018749999580904841,0.004709290643337998,0.5660584354773164,0.1034602947662216,3.65625,1.9774433640598954,-0.5436193700879812,0.13172478051560452,0.0,0.0,0.1506574316881597,0.0241426234449982,0.07,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000
32,313,0.0026956869009584663,0.004808408570712569,0.25,0.43994134506405985,0.25,0.43994134506405985,0.0,0.0,0.84375,1.5050318826330342,0.84375,1.5050318826330342,2.3120792982902093e-05,-24.308817327022552,1.7302189147429032,0.0037499999161809683,0.008327955067678654,0.5714582549408078,0.10533235849083723,5.125,3.9246943583483813,-0.5271593418437988,0.16864478120706744,0.0,0.0,0.1604488524608314,0.02821318696929773,0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000
32,313,0.002895367412140575,0.005155395990752494,0.25,0.43994134506405985,0.25,0.43994134506405985,0.0,0.0,0.90625,1.6136389451055309,0.90625,1.6136389451055309,2.6578107821466892e-05,-24.513870120048523,1.6733033108336615,0.0015624999650754035,0.004478893052328246,0.5770457135513425,0.10720481712535299,4.96875,3.7285677869572766,-0.5665663713589311,0.0766700233993643,0.0,0.0,0.15994368330575526,0.02846479179613743,0.073,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000
