diag_n_seeds,late_g_eff_mean_mean,late_g_eff_mean_sd,late_g_raw_mean_mean,late_g_raw_mean_sd,late_alpha_g_eff_mean_mean,late_alpha_g_eff_mean_sd,late_debt_charge_mean_mean,late_debt_charge_mean_sd,late_margin_mean_mean,late_margin_mean_sd,late_break_even_alpha_est_mean,late_break_even_alpha_est_sd,late_debt_floor_frac_mean,late_debt_floor_frac_sd,late_negative_energy_frac_mean,late_negative_energy_frac_sd,late_debt_level_mean_mean,late_debt_level_mean_sd,late_update_u_mean_mean,late_update_u_mean_sd,late_cut_active_frac_mean,late_cut_active_frac_sd,alpha
32,0.06069402870202324,0.021853449839905795,0.10144056469360978,0.004096193102860193,0.003641641722121394,0.0013112069903943478,0.005981166951171875,5.188276186324533e-05,-0.0023395252290504803,0.001333706749327192,0.12723337278638935,0.09864570934384859,0.4248798076923077,0.2106089333706641,1.0,0.0,0.598119678447516,0.005179458720492379,0.0,0.0,0.5661057692307692,0.19808784744796504,0.06
32,0.06083733196053686,0.02452244369185211,0.1018813903203125,0.006120226833938628,0.0037110772495927485,0.0014958690652029788,0.005910807598176082,0.00042460512612124484,-0.0021997303485833328,0.0017563983706069027,0.1281425600092431,0.09931816081122598,0.4289863782051282,0.22000397741602074,1.0,0.0,0.5910658991965144,0.04254384567126199,0.00020032051282051281,0.0011331839442092107,0.5623998397435896,0.20935912817157878,0.061
32,0.06365776778515625,0.02588038186180955,0.10299976670412661,0.008198439517818413,0.004010439370464844,0.0016304640572940017,0.0057765857619120585,0.0006719760993473937,-0.001766146391447215,0.0021724150516188707,0.11912984579755256,0.09629773825000164,0.40564903846153844,0.21513586737267304,1.0,0.0,0.577648510635016,0.06724232181448968,0.0006009615384615384,0.002065561727047875,0.5814302884615384,0.20353701272588873,0.063
32,0.06272946392958734,0.024897114202375503,0.10270669054306891,0.007192349118547964,0.00401468569149359,0.0015934153089520325,0.005833790196563502,0.0005873025541252035,-0.0018191045050699114,0.0020436685803109002,0.1207690013744423,0.09569622058696892,0.4075520833333333,0.21439085843589892,1.0,0.0,0.5833326103465545,0.05892778773124605,0.00040064102564102563,0.0015765044129421944,0.5751201923076923,0.20125804184616775,0.064
32,0.06368501007021234,0.025998221102366145,0.1030281518560697,0.00796370630396963,0.004203210664634015,0.0017158825927561657,0.005748983707440905,0.0007119878591304656,-0.0015457730428068905,0.0022787297379419083,0.11929224027765571,0.09687176234043875,0.38341346153846156,0.2339024697789851,1.0,0.0,0.5748603859126602,0.07134353795268698,0.0006009615384615385,0.0020655617270478755,0.581630608974359,0.2069120001441869,0.066
32,0.06609376546504407,0.030234104108407416,0.10420270531440304,0.009666002552342302,0.004428282286157953,0.002025684975263297,0.005596520266134815,0.0009077578680312128,-0.0011682379799768626,0.002832140892116227,0.11746123125014633,0.09899756431632561,0.3810096153846154,0.23944571258139144,1.0,0.0,0.5597225313211138,0.09062954252877313,0.0014022435897435897,0.0033504582533615307,0.5941506410256411,0.23113906067739803,0.067
32,0.07075555093098959,0.031805583145403014,0.10584590432742388,0.011442189288718355,0.004882133014238281,0.002194585237032808,0.005463082615701221,0.0009827101457762152,-0.0005809496014629401,0.003087854264151596,0.10864550252592259,0.09874511344936758,0.32662259615384615,0.24820590066754059,1.0,0.0,0.5463438043193108,0.0982063614000021,0.0018028846153846153,0.0038989942767283384,0.6270032051282052,0.23123939731922494,0.069
32,0.06722801448697917,0.02607886742931383,0.10385265666646634,0.007848203980135384,0.004705961014088543,0.0018255207200519685,0.005616545061279047,0.0008386204899771686,-0.000910584047190504,0.0025754114747737044,0.10904153216812769,0.09405610282611736,0.3362379807692308,0.21960030722828575,1.0,0.0,0.5616064281864984,0.08400469683599236,0.0011017628205128205,0.002773856415918307,0.6111778846153846,0.2033685600620539,0.07
32,0.0747070372704327,0.03639003709631123,0.10855098061578525,0.014731524418458167,0.005378906683471154,0.002620082670934409,0.005330978837673377,0.001127325017889528,4.792784579777626e-05,0.0037001776885481176,0.10372830796267224,0.0977525024471448,0.31640625,0.23572508377325335,1.0,0.0,0.5331306957888621,0.11268792345262371,0.002704326923076923,0.00482382013664434,0.6401241987179487,0.24050001968589046,0.072
32,0.0719817864569311,0.03616027301737781,0.10739770743529647,0.013546690753103104,0.00525467041135597,0.00263969993026858,0.005329870160504206,0.0011309060344427927,-7.519974914823745e-05,0.003720086254663428,0.10841373111013819,0.098537365570795,0.3317307692307692,0.2461892227990674,1.0,0.0,0.5331621732268629,0.11278605295179128,0.002904647435897436,0.0051719196958510604,0.6227964743589745,0.2504442373131635,0.073
32,0.07858031935526844,0.03821408671172908,0.10927569134385015,0.013936496414892923,0.005893523951645132,0.002866056503379681,0.005005569781177884,0.0012141746145131799,0.0008879541704672478,0.0040284736161523916,0.09992783261354371,0.10275932694025881,0.2659254807692308,0.270649258091676,1.0,0.0,0.5005373622044771,0.12139382374620636,0.003705929487179487,0.005219753497353813,0.672275641025641,0.27082736838885246,0.075
32,0.0813296035660056,0.038957297636251366,0.11086173714923878,0.016153162330493544,0.006181049871016426,0.0029607546203551036,0.0049297105207501,0.0012640292757038702,0.0012513393502663263,0.00413436256248854,0.09518372719811266,0.10229877479973397,0.234375,0.2581847073725256,1.0,0.0,0.4928669875846855,0.12650132066778436,0.0039062499999999996,0.005445029586546129,0.6854967948717949,0.25962591499030857,0.076
32,0.08439348858864183,0.04338121794457997,0.11382363561628606,0.01909677902144087,0.0065826921099140625,0.003383734999677238,0.004906913457703426,0.0012865874134560579,0.0016757786522106374,0.004622032144869638,0.09525500384342588,0.10251075733912557,0.24268830128205127,0.2543655998254427,1.0,0.0,0.4906572677674279,0.128723174656037,0.004807692307692308,0.006146345718652543,0.6861979166666666,0.27167565235180297,0.078
32,0.08349473261127804,0.04302509353650708,0.11317815834314904,0.018349942949877615,0.006596083876290966,0.0033989823893840598,0.004907936061527444,0.0012965521334091226,0.0016881478147635217,0.004650973603860499,0.09610715725956762,0.10249523856891744,0.24799679487179488,0.2510393735191798,1.0,0.0,0.49072666019456124,0.12975071144272612,0.004807692307692308,0.006092191837326813,0.6830929487179487,0.27499437247091146,0.079
