alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,mean_update_fraction,final_update_counter,final_energy_E_post,final_depr_F_post,final_vartd_VarTD,total_support_s,total_debt_charge,max_debt_level_post
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,47,10.627511087921448,none,0.0,0.6,0.01,100.0,-23.16469955444336,26.0,0.0,0.4533495306968689,0.5199999809265137,4.0,104.0,0.024800000712275505,31.0,-0.4477764070034027,0.0,2.0869455337524414,0.0,3.8681092262268066,0.6000000238418579
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,48,10.60550022602547,none,0.0,0.6,0.01,100.0,-24.165687561035156,26.0,0.0,0.5193526148796082,0.3100000023841858,4.0,104.0,0.012799999676644802,16.0,-0.14163543283939362,0.0,0.33690115809440613,0.0,4.489413261413574,0.6000000238418579
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,49,10.621488444972783,none,0.0,0.6,0.01,100.0,-22.464096069335938,26.0,0.0,0.47327959537506104,0.4699999988079071,4.0,104.0,0.0272000003606081,34.0,-0.41165560483932495,0.0,2.5266623497009277,0.0,3.805873394012451,0.5880663990974426
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,50,10.626625977922231,none,0.0,0.6,0.01,100.0,-22.77782440185547,26.0,0.0,0.4763185977935791,0.4599999785423279,4.0,104.0,0.025599999353289604,32.0,-0.34965574741363525,0.0,2.340131998062134,0.0,3.870203971862793,0.599994957447052
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,51,10.605017535039224,none,0.0,0.6,0.01,100.0,-24.011133193969727,26.0,0.009999999776482582,0.5018917322158813,0.38999998569488525,4.0,104.0,0.015200000256299973,19.0,-0.24693191051483154,0.0,0.58193439245224,0.0,4.215283393859863,0.6000000238418579
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,52,10.546903508948162,none,0.0,0.6,0.01,100.0,-27.218544006347656,26.0,0.0,0.7903189659118652,0.14000000059604645,4.0,104.0,0.002400000113993883,3.0,-0.32378989458084106,0.0,0.1575106382369995,0.0,6.541711330413818,0.6000000238418579
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,53,10.625063044019043,none,0.0,0.6,0.01,100.0,-22.615272521972656,26.0,0.0,0.4924412965774536,0.38999998569488525,4.0,104.0,0.026399999856948853,33.0,-0.019036002457141876,0.0,2.3246309757232666,0.0,3.8192362785339355,0.5851014256477356
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,54,10.639080252032727,none,0.0,0.6,0.01,100.0,-23.551204681396484,26.0,0.0,0.4914545714855194,0.429999977350235,4.0,104.0,0.025599999353289604,32.0,-0.5055059194564819,0.0,2.3574113845825195,0.0,3.8050923347473145,0.5933791399002075
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,55,10.616525959922,none,0.0,0.6,0.01,100.0,-23.22218132019043,26.0,0.0,0.4829225540161133,0.3999999761581421,4.0,104.0,0.025599999353289604,32.0,-0.5586897730827332,0.0,2.060316562652588,0.0,3.889789581298828,0.5847123265266418
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,56,10.622839079936966,none,0.0,0.6,0.01,100.0,-24.2351016998291,26.0,0.0,0.5122389197349548,0.44999998807907104,4.0,104.0,0.024800000712275505,31.0,-0.06109590455889702,0.0,1.9392131567001343,0.0,3.9105401039123535,0.5828698873519897
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,57,10.63027320697438,none,0.0,0.6,0.01,100.0,-22.61893081665039,26.0,0.0,0.4774332642555237,0.4599999785423279,4.0,104.0,0.024000000208616257,30.0,-0.11688562482595444,0.0,1.9255750179290771,0.0,3.9383554458618164,0.5962421298027039
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,58,10.619789285003208,none,0.0,0.6,0.01,100.0,-24.599872589111328,26.0,0.0,0.5255497694015503,0.25,4.0,104.0,0.0272000003606081,34.0,-0.5222017765045166,0.0,2.5177197456359863,0.0,3.8137309551239014,0.5865079760551453
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,59,10.635838704067282,none,0.0,0.6,0.01,100.0,-23.779552459716797,26.0,0.0,0.5134012699127197,0.29999998211860657,4.0,104.0,0.024800000712275505,31.0,-0.4363516867160797,0.0,2.157369375228882,0.0,3.9219422340393066,0.5978848934173584
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,60,10.547005566069856,none,0.0,0.6,0.01,100.0,-28.769071578979492,26.0,0.0,0.8786344528198242,0.11999999731779099,4.0,104.0,0.002400000113993883,3.0,-0.5932499766349792,0.0,0.14025548100471497,0.0,6.493462562561035,0.6000000238418579
0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,61,10.578517559100874,none,0.0,0.6,0.01,100.0,-22.670740127563477,26.0,0.0,0.557884693145752,0.3100000023841858,4.0,104.0,0.0031999999191612005,4.0,-0.5684106945991516,0.0,0.14628563821315765,0.0,6.46957540512085,0.6000000238418579
