diag_n_seeds,late_g_eff_mean_mean,late_g_eff_mean_sd,late_g_raw_mean_mean,late_g_raw_mean_sd,late_alpha_g_eff_mean_mean,late_alpha_g_eff_mean_sd,late_debt_charge_mean_mean,late_debt_charge_mean_sd,late_margin_mean_mean,late_margin_mean_sd,late_break_even_alpha_est_mean,late_break_even_alpha_est_sd,late_debt_floor_frac_mean,late_debt_floor_frac_sd,late_negative_energy_frac_mean,late_negative_energy_frac_sd,late_debt_level_mean_mean,late_debt_level_mean_sd,late_update_u_mean_mean,late_update_u_mean_sd,late_cut_active_frac_mean,late_cut_active_frac_sd,alpha
12,0.13786057818135683,0.010988290718639736,0.13796506274305556,0.010753381859392196,0.00827163469088141,0.0006592974431183841,0.0,0.0,0.00827163469088141,0.0006592974431183841,0.0,0.0,0.0,0.0,1.0,0.0,0.30394220530582267,0.007672332422701448,0.014423076923076922,0.0016738236149586325,0.9989316239316239,0.003700963264036049,0.06
12,0.1371983441554487,0.007764929660789972,0.137224414928953,0.007727212381685586,0.008369098993482371,0.0004736607093081881,0.0,0.0,0.008369098993482371,0.0004736607093081881,0.0,0.0,0.0,0.0,1.0,0.0,0.3054627396006944,0.0059760975231571535,0.014155982905982906,0.0016504123414885804,0.999732905982906,0.0009252408160090122,0.061
12,0.14139751316613247,0.008964913107918152,0.14147733254113246,0.00879622456946744,0.008908043329466346,0.0005647895257988435,0.0,0.0,0.008908043329466346,0.0005647895257988435,0.0,0.0,0.0,0.0,1.0,0.0,0.3006675745570246,0.007260737204353197,0.01549145299145299,0.0012475944617973119,0.999198717948718,0.0027757224480270373,0.063
12,0.14416871824091884,0.007285744154093563,0.14416871824091884,0.007285744154093563,0.009226797967418805,0.0004662876258619878,0.0,0.0,0.009226797967418805,0.0004662876258619878,0.0,0.0,0.0,0.0,1.0,0.0,0.3009529418486912,0.006206040549848519,0.016025641025641024,0.0,1.0,0.0,0.064
12,0.1447725252767094,0.0077033701497813585,0.1447725252767094,0.0077033701497813585,0.009554986668262822,0.0005084224298855695,0.0,0.0,0.009554986668262822,0.0005084224298855695,0.0,0.0,0.0,0.0,1.0,0.0,0.2998976829368323,0.0052298243161572324,0.017094017094017092,0.0015780960381965748,1.0,0.0,0.066
12,0.1442268216869658,0.008468755949639013,0.1442268216869658,0.008468755949639013,0.00966319705302671,0.0005674066486258139,0.0,0.0,0.00966319705302671,0.0005674066486258139,0.0,0.0,0.0,0.0,1.0,0.0,0.30027404751028314,0.004890993168870124,0.016826923076923076,0.001992248591371991,1.0,0.0,0.067
12,0.14995684375320514,0.007245926082928543,0.14995684375320514,0.007245926082928543,0.010347022218971156,0.0004999688997220698,0.0,0.0,0.010347022218971156,0.0004999688997220698,0.0,0.0,0.0,0.0,1.0,0.0,0.30139017940050744,0.004180947712050784,0.018162393162393164,0.0015780960381965748,1.0,0.0,0.069
12,0.14744305935950855,0.010575382266369357,0.14744305935950855,0.010575382266369357,0.010321014155165599,0.0007402767586458551,0.0,0.0,0.010321014155165599,0.0007402767586458551,0.0,0.0,0.0,0.0,1.0,0.0,0.2955906224879808,0.003900018552999401,0.017628205128205128,0.0021608969950744944,1.0,0.0,0.07
12,0.14854071469925215,0.010614176159282127,0.14856740806997865,0.010549216683048828,0.010694931458346152,0.0007642206834683134,0.0,0.0,0.010694931458346152,0.0007642206834683134,0.0,0.0,0.0,0.0,1.0,0.0,0.29738566022849894,0.006675160880066912,0.01923076923076923,0.0013666712586898108,0.999732905982906,0.0009252408160090122,0.072
12,0.15155935687259614,0.007423409519513792,0.15155935687259614,0.007423409519513792,0.01106383305169952,0.0005419088949245066,0.0,0.0,0.01106383305169952,0.0005419088949245066,0.0,0.0,0.0,0.0,1.0,0.0,0.2991303063609776,0.0061133209393755905,0.01923076923076923,0.0013666712586898108,1.0,0.0,0.073
12,0.15056728343910256,0.01272956131855792,0.15056728343910256,0.01272956131855792,0.011292546257932691,0.0009547170988918437,0.0,0.0,0.011292546257932691,0.0009547170988918437,0.0,0.0,0.0,0.0,1.0,0.0,0.2968023441297276,0.005564831671305454,0.019764957264957268,0.002675792019027955,1.0,0.0,0.075
12,0.15291547819471155,0.010382508261068069,0.15291547819471155,0.010382508261068069,0.011621576342798076,0.0007890706278411732,0.0,0.0,0.011621576342798076,0.0007890706278411732,0.0,0.0,0.0,0.0,1.0,0.0,0.299508047142094,0.006920878989712945,0.020566239316239316,0.0016504123414885802,1.0,0.0,0.076
12,0.15258752551495725,0.01359534558940259,0.15258752551495725,0.01359534558940259,0.011901826990166666,0.0010604369559734019,0.0,0.0,0.011901826990166666,0.0010604369559734019,0.0,0.0,0.0,0.0,1.0,0.0,0.29934848444975964,0.0057195747064402785,0.020566239316239316,0.002541543144547304,1.0,0.0,0.078
12,0.15456864770806625,0.008290097389011201,0.15456864770806625,0.008290097389011201,0.012210923168937233,0.0006549176937318847,0.0,0.0,0.012210923168937233,0.0006549176937318847,0.0,0.0,0.0,0.0,1.0,0.0,0.29816149244262824,0.004831906606186898,0.021367521367521364,0.001578096038196573,1.0,0.0,0.079
12,0.16092620155982904,0.007713913306275457,0.16092620155982904,0.007713913306275457,0.013035022326346154,0.0006248269778083121,0.0,0.0,0.013035022326346154,0.0006248269778083121,0.0,0.0,0.0,0.0,1.0,0.0,0.2997682789540598,0.006493012578697855,0.022435897435897436,0.0023671440572948597,1.0,0.0,0.081
12,0.15860341440384612,0.008022737243481771,0.15860341440384612,0.008022737243481771,0.013005479981115385,0.0006578644539655054,0.0,0.0,0.013005479981115385,0.0006578644539655054,0.0,0.0,0.0,0.0,1.0,0.0,0.2963083615261752,0.005822199558407,0.022702991452991452,0.0016504123414885802,1.0,0.0,0.082
12,0.1591948215178953,0.009091727203132956,0.1591948215178953,0.009091727203132956,0.013372365007503205,0.0007637050850631683,0.0,0.0,0.013372365007503205,0.0007637050850631683,0.0,0.0,0.0,0.0,1.0,0.0,0.2952098231883547,0.004154271174780266,0.022970085470085472,0.002675792019027954,1.0,0.0,0.084
12,0.1580273208963675,0.00905760624740515,0.1580273208963675,0.00905760624740515,0.01343232227619124,0.0007698965310294376,0.0,0.0,0.01343232227619124,0.0007698965310294376,0.0,0.0,0.0,0.0,1.0,0.0,0.297224201679594,0.0065651286379537115,0.02216880341880342,0.0025415431445473037,1.0,0.0,0.085
12,0.1533435786605235,0.008843895854962858,0.1533435786605235,0.008843895854962858,0.013340891343465541,0.0007694189393817688,0.0,0.0,0.013340891343465541,0.0007694189393817688,0.0,0.0,0.0,0.0,1.0,0.0,0.296570977595219,0.003386355601484196,0.02297008547008547,0.0018504816320180305,1.0,0.0,0.087
12,0.15800805296233975,0.006111460822978839,0.15800805296233975,0.006111460822978839,0.013904708660685898,0.000537808552422138,0.0,0.0,0.013904708660685898,0.000537808552422138,0.0,0.0,0.0,0.0,1.0,0.0,0.29636482053434826,0.005856903945462959,0.024038461538461536,0.002160896995074493,1.0,0.0,0.088
12,0.15950272954033118,0.008391016633150776,0.15950272954033118,0.008391016633150776,0.014355245658629806,0.0007551914969835702,0.0,0.0,0.014355245658629806,0.0007551914969835702,0.0,0.0,0.0,0.0,1.0,0.0,0.2944620491111645,0.004448427166248921,0.024839743589743585,0.0019922485913719903,1.0,0.0,0.09
12,0.16123177335844016,0.008044258788273485,0.16123177335844016,0.008044258788273485,0.014994554922334938,0.0007481160673094341,0.0,0.0,0.014994554922334938,0.0007481160673094341,0.0,0.0,0.0,0.0,1.0,0.0,0.2941438684314369,0.004685323296644305,0.025641025641025637,0.001932765029344639,1.0,0.0,0.093
12,0.16113874550961538,0.008707692532040347,0.16113874550961538,0.008707692532040347,0.015469319568923076,0.0008359384830758733,0.0,0.0,0.015469319568923076,0.0008359384830758733,0.0,0.0,0.0,0.0,1.0,0.0,0.2938442922491186,0.005919488075371061,0.02670940170940171,0.0020876248310222113,1.0,0.0,0.096
12,0.16520975301495724,0.0071518053460837595,0.16520975301495724,0.0071518053460837595,0.01635576554848077,0.0007080287292622919,0.0,0.0,0.01635576554848077,0.0007080287292622919,0.0,0.0,0.0,0.0,1.0,0.0,0.2948647317978739,0.003776743488820873,0.028579059829059835,0.0016504123414885809,1.0,0.0,0.099
12,0.16127951091079062,0.008397316201080019,0.16127951091079062,0.008397316201080019,0.01645051011290064,0.0008565262525101618,0.0,0.0,0.01645051011290064,0.0008565262525101618,0.0,0.0,0.0,0.0,1.0,0.0,0.2934670135971955,0.005081720521362408,0.02884615384615385,0.001932765029344638,1.0,0.0,0.102
12,0.16325919487980767,0.0075013378986059235,0.16325919487980767,0.0075013378986059235,0.017142215462379807,0.0007876404793536215,0.0,0.0,0.017142215462379807,0.0007876404793536215,0.0,0.0,0.0,0.0,1.0,0.0,0.29424122460582264,0.0034321196639840335,0.0296474358974359,0.001992248591371989,1.0,0.0,0.105
12,0.16468525043135684,0.010141306962194573,0.16468525043135684,0.010141306962194573,0.017786007046586536,0.0010952611519170143,0.0,0.0,0.017786007046586536,0.0010952611519170143,0.0,0.0,0.0,0.0,1.0,0.0,0.29337614921228633,0.004042831610564649,0.030715811965811964,0.0021428138571202597,1.0,0.0,0.108
12,0.16728702325320513,0.00792368242356483,0.16728702325320513,0.00792368242356483,0.01907072065086539,0.000903299796286391,0.0,0.0,0.01907072065086539,0.000903299796286391,0.0,0.0,0.0,0.0,1.0,0.0,0.2914593215361378,0.003310569513267914,0.0328525641025641,0.0019922485913719907,1.0,0.0,0.114
12,0.17019457881143163,0.0063657333401167,0.17019457881143163,0.0063657333401167,0.020423349457371797,0.0007638880008140037,0.0,0.0,0.020423349457371797,0.0007638880008140037,0.0,0.0,0.0,0.0,0.998397435897436,0.0028991475440169477,0.2898845029428873,0.003014774116496425,0.03498931623931623,0.0016504123414885822,1.0,0.0,0.12
12,0.17022182260950855,0.006964334078593991,0.17022182260950855,0.006964334078593991,0.02144794964879808,0.0008775060939028427,0.0,0.0,0.02144794964879808,0.0008775060939028427,0.0,0.0,0.0,0.0,0.99732905982906,0.003004605341541951,0.28746705011962076,0.0033273819386583775,0.036591880341880344,0.0021428138571202627,1.0,0.0,0.126
12,0.17351709239049143,0.007240888662940609,0.17351709239049143,0.007240888662940609,0.022904256195544873,0.00095579730350816,0.0,0.0,0.022904256195544873,0.00095579730350816,0.0,0.0,0.0,0.0,0.9943910256410259,0.0030939336511648058,0.2864771377290945,0.0024951875164147363,0.03952991452991453,0.0020876248310222087,1.0,0.0,0.132
12,0.1726268561271367,0.006504390323427505,0.1726268561271367,0.006504390323427505,0.02382250614554488,0.0008976058646329957,0.0,0.0,0.02382250614554488,0.0008976058646329957,0.0,0.0,0.0,0.0,0.9927884615384616,0.0049512370244657435,0.28611618725180427,0.0031701081075765345,0.04086538461538461,0.001992248591371989,1.0,0.0,0.138
