n_seeds,late_window_updates,rho_mean,rho_sd,p_active_mean,p_active_sd,p_sustained_mean,p_sustained_sd,p_bursty_mean,p_bursty_sd,late_update_count_mean,late_update_count_sd,active_blocks_mean,active_blocks_sd,chi_rho,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,final_update_counter_mean,final_update_counter_sd,final_energy_E_post_mean,final_energy_E_post_sd,final_depr_F_post_mean,final_depr_F_post_sd,final_vartd_VarTD_mean,final_vartd_VarTD_sd,alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,support_mode,support_total,support_start_update,support_window_frac,borrow_limit,borrow_interest,total_timesteps
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.88889068365097,2.5783757920602395,0.0018749999580904841,0.005350610336984656,0.6844168454408646,0.15191976190463807,1.0,0.0,0.42000001668930054,0.0,0.0,0.0,0.1586923070717603,0.02468529556832429,0.0,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.0,0.0,4000000
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.88889068365097,2.5783757920602395,0.0018749999580904841,0.005350610336984656,0.6844168454408646,0.15191976190463807,1.0,0.0,0.4839178826659918,0.017585640030203152,0.0,0.0,0.1586923070717603,0.02468529556832429,0.003,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.0,0.0,4000000
32,313,0.0005990415335463259,0.0012669577298922237,0.1875,0.39655776945626603,0.0,0.0,0.1875,0.39655776945626603,0.1875,0.39655776945626603,0.1875,0.39655776945626603,1.6051818893336568e-06,-25.79998344182968,2.598245918523784,0.0009374999790452421,0.0039015091327692752,0.6776217110455036,0.15319023941339757,1.1875,0.39655776945626603,0.44289332104381174,0.1990115423109888,0.0,0.0,0.15794582851231098,0.025167207558573563,0.006,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.0,0.0,4000000
32,313,0.001297923322683706,0.001594220182862128,0.40625,0.49899091723584604,0.0,0.0,0.40625,0.49899091723584604,0.40625,0.49899091723584604,0.40625,0.49899091723584604,2.5415379914449566e-06,-25.56566822528839,2.679785952647144,0.0012499999720603228,0.004212117601722992,0.6592571437358856,0.1587552737059398,1.71875,0.45680340939917435,0.2420257758203661,0.21075240425769454,0.0,0.0,0.15527546242810786,0.02450137115815846,0.009,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.0,0.0,4000000
32,313,0.0006988817891373802,0.0013418959765020906,0.21875,0.42001344064515445,0.0,0.0,0.21875,0.42001344064515445,0.21875,0.42001344064515445,0.21875,0.42001344064515445,1.8006848117524994e-06,-24.97907030582428,2.410189148916729,0.0012499999720603228,0.0033601074500569797,0.6199110113084316,0.14178595209277053,1.90625,0.29614458108029906,0.27166618150658906,0.14521294049797723,0.0,0.0,0.1545478410553187,0.02471047368063024,0.012,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.0,0.0,4000000
32,313,0.0004992012779552715,0.0011786007432219602,0.15625,0.36890203262847354,0.0,0.0,0.15625,0.36890203262847354,0.15625,0.36890203262847354,0.15625,0.36890203262847354,1.3890997119233568e-06,-24.88041228055954,2.420941386828032,0.0006249999860301614,0.002459346829219137,0.622384243644774,0.12876749405149113,2.0625,0.3535533905932738,0.3173179626610363,0.15784169862241723,0.0,0.0,0.15461412514559925,0.023710622831324853,0.015,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.0,0.0,4000000
32,313,0.001297923322683706,0.001594220182862128,0.40625,0.49899091723584604,0.0,0.0,0.40625,0.49899091723584604,0.40625,0.49899091723584604,0.40625,0.49899091723584604,2.5415379914449566e-06,-25.00384396314621,2.238391738816311,0.0012499999720603228,0.0033601074500569797,0.621442255564034,0.12393154293105951,2.375,0.6599120175960898,0.2832255286630243,0.16269812435867315,0.0,0.0,0.15414819167926908,0.02341555669926935,0.018,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.0,0.0,4000000
32,313,0.0017971246006389776,0.001610275171802509,0.5625,0.5040161287741853,0.0,0.0,0.5625,0.5040161287741853,0.5625,0.5040161287741853,0.5625,0.5040161287741853,2.5929861289235997e-06,-24.86395364999771,2.2936981161477163,0.0012499999720603228,0.0033601074500569797,0.6074955221265554,0.13594579161582385,2.6875,0.6927039119836262,0.3441909628454596,0.15488278825733107,0.0,0.0,0.151032286696136,0.022197802783593897,0.021,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.0,0.0,4000000
32,313,0.0020966453674121405,0.0017422514489131378,0.625,0.4918693768379647,0.0,0.0,0.625,0.4918693768379647,0.65625,0.5453247035098121,0.65625,0.5453247035098121,3.035440111239928e-06,-24.38603776693344,1.2941729054540758,0.0024999999441206455,0.005679618215521286,0.5837038056924939,0.09915718090934687,3.0,0.8798826901281197,0.3669380721403286,0.16017668969816048,0.0,0.0,0.15098925004713237,0.02387926441434207,0.024,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.0,0.0,4000000
32,313,0.0024960063897763577,0.0017657171719179029,0.71875,0.45680340939917435,0.0,0.0,0.71875,0.45680340939917435,0.78125,0.5526694748103036,0.78125,0.5526694748103036,3.1177571312057566e-06,-24.67147523164749,1.780833515835284,0.002187499951105565,0.004908435683438705,0.5974596096202731,0.10736222703525866,3.21875,1.0075321174741456,0.30594440529239364,0.17518717783179316,0.0,0.0,0.15042767534032464,0.022979246980095545,0.025,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.0,0.0,4000000
