n_seeds,late_window_updates,rho_mean,rho_sd,p_active_mean,p_active_sd,p_sustained_mean,p_sustained_sd,p_bursty_mean,p_bursty_sd,late_update_count_mean,late_update_count_sd,active_blocks_mean,active_blocks_sd,chi_rho,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,final_update_counter_mean,final_update_counter_sd,final_energy_E_post_mean,final_energy_E_post_sd,final_depr_F_post_mean,final_depr_F_post_sd,final_vartd_VarTD_mean,final_vartd_VarTD_sd,alpha,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,total_timesteps
32,313,0.0024960063897763577,0.0017657171719179029,0.71875,0.45680340939917435,0.0,0.0,0.71875,0.45680340939917435,0.78125,0.5526694748103036,0.78125,0.5526694748103036,3.1177571312057566e-06,-24.671326220035553,1.780919852465555,0.002187499951105565,0.004908435683438705,0.5974348643794656,0.10736239329377435,3.21875,1.0075321174741456,0.30594440901768394,0.17518717071782094,0.0,0.0,0.15042797522619367,0.0229792958244456,0.025,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.0030950479233226836,0.0019004365948383354,0.8125,0.39655776945626603,0.0,0.0,0.8125,0.39655776945626603,0.96875,0.594836654184399,0.96875,0.594836654184399,3.6116592510007274e-06,-24.739587128162384,2.4148714167765943,0.002187499951105565,0.004908435683438705,0.6054022284224629,0.15221639376156046,3.6875,1.0606601717798212,0.334364585345611,0.1729093900213006,0.0,0.0,0.14949714834801853,0.023073624463329622,0.029,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.00439297124600639,0.002259127096442644,0.875,0.3360107525161235,0.0,0.0,0.875,0.3360107525161235,1.375,0.7071067811865476,1.375,0.7071067811865476,5.10365523788137e-06,-24.259557366371155,1.3671133029897775,0.0018749999580904841,0.004709290643337998,0.5659053176641464,0.09533162174836617,4.65625,1.4942767157477248,0.3158419565297663,0.1552912327772254,0.0,0.0,0.1477110900450498,0.023143976316931148,0.033,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.00509185303514377,0.0022750126659760537,0.90625,0.29614458108029906,0.03125,0.1767766952966369,0.875,0.3360107525161235,1.59375,0.7120789644505048,1.59375,0.7120789644505048,5.1756826303514705e-06,-24.781184196472168,1.954928105682428,0.0018749999580904841,0.003965577605925092,0.585663765668869,0.1271024763532394,5.3125,1.6546610607029015,0.27394204585289117,0.1732137523878686,0.0,0.0,0.14949258998967707,0.02174011728324851,0.037,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.00648961661341853,0.0030884437324549697,0.90625,0.29614458108029906,0.375,0.4918693768379647,0.53125,0.5070073486774164,2.03125,0.9666828882584055,2.03125,0.9666828882584055,9.538484688540384e-06,-24.433130383491516,2.0421096586527403,0.003124999930150807,0.005922891489219036,0.5712007200345397,0.1401037524951629,6.09375,2.204970557919158,0.2939497368497541,0.17838753425338694,0.0,0.0,0.14915076224133372,0.022005389083617165,0.041,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.007687699680511181,0.002794606818366044,0.96875,0.1767766952966369,0.5625,0.5040161287741853,0.40625,0.49899091723584604,2.40625,0.8747119341485718,2.40625,0.8747119341485718,7.809827269257982e-06,-24.20481377840042,1.4361317513479739,0.00468749989522621,0.006213603563294888,0.5489968741312623,0.09251262403435649,7.0625,2.3270845667154343,0.27332583360839635,0.1565136776921004,0.0,0.0,0.150528478436172,0.02158026924958437,0.045,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.008885782747603833,0.0027798399682881308,1.0,0.0,0.6875,0.47092907485988494,0.3125,0.47092907485988494,2.78125,0.8700899100741849,2.78125,0.8700899100741849,7.727510249292156e-06,-24.210560202598572,0.8145506117433046,0.002187499951105565,0.00659147773286864,0.5370156988501549,0.05487372927311583,7.96875,2.250224003186378,0.30930214366526343,0.15912095326330086,0.0,0.0,0.15582038508728147,0.019876623260587593,0.049,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.01018370607028754,0.003668628185631922,0.9375,0.24593468841898236,0.875,0.3360107525161235,0.0625,0.24593468841898236,3.1875,1.1482806221027917,3.1875,1.1482806221027917,1.3458832764412967e-05,-24.129497408866882,1.6617923497276113,0.005624999874271452,0.006690146673675223,0.5304444432258606,0.10639020826447614,9.15625,2.9083791628394517,0.2862235341453925,0.18313671511912666,0.0,0.0,0.16579256718978286,0.02547847691322728,0.053,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.010982428115015975,0.003339753913893922,1.0,0.0,0.8125,0.39655776945626603,0.1875,0.39655776945626603,3.4375,1.0453429750487975,3.40625,1.0115263139785182,1.1153956205369769e-05,-24.15462201833725,0.8104813213890486,0.0024999999441206455,0.004399413352306045,0.5319772539660335,0.06494319655259141,9.75,3.1004682268661377,0.29646758968010545,0.17380841141523204,0.0,0.0,0.18005535402335227,0.03389294254511912,0.057,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.012180511182108625,0.0034845028978262756,1.0,0.0,0.90625,0.29614458108029906,0.09375,0.29614458108029906,3.8125,1.0906494070196242,3.59375,0.9108441671187193,1.2141760444959712e-05,-23.887615442276,0.6644296909465931,0.00437499990221113,0.0066901466736752225,0.5146499555557966,0.0499364670856754,10.84375,3.3128233256690245,0.3132744813337922,0.14364477195875466,0.0,0.0,0.20042218128219247,0.05159393887414828,0.061,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
