mechanism_tag,alpha,family,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,energy_E_raw,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,0,1.0,1,1.0,0.42000002,0.42000002,1.0750173,0.0,0.08413616,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-27.862705,2.3650854,0.7883618,0.16,0.0,0.13813628,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,1,1.0,2,0.42000002,-0.15999997,-0.15999997,1.0383499,0.0,0.091548264,0.0,0.0,0.3,0.0,0.0,0.0,0.15999997,-27.47996,2.2844152,0.76147175,0.120000005,0.0,0.1479145,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,2,0.0,2,-0.15999997,-0.16319996,-0.16319996,1.0948973,0.0,0.080371626,0.0,0.0,0.3,0.0,0.0031999992,0.15999997,0.16319996,-28.205387,2.408822,0.8029407,0.112,0.0,0.19302548,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,3,0.0,2,-0.16319996,-0.13604504,-0.13604504,0.99397755,0.101396374,0.101396374,1.0,0.030418914,0.3,0.0,0.0032639992,0.16319996,0.13604504,-27.138102,2.1867943,0.7289314,0.128,0.0,0.16598615,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,4,0.0,2,-0.13604504,-0.13876595,-0.13876595,1.0926123,0.0,0.080795616,0.0,0.0,0.3,0.0,0.0027209008,0.13604504,0.13876595,-28.55214,2.403795,0.801265,0.120000005,0.0,0.15212221,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,5,0.0,2,-0.13876595,-0.14154127,-0.14154127,1.0158712,0.0,0.09641149,0.0,0.0,0.3,0.0,0.002775319,0.13876595,0.14154127,-27.623259,2.2349613,0.74498713,0.17600001,0.0,0.15692149,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,6,0.0,2,-0.14154127,-0.14437209,-0.14437209,1.0497366,0.0,0.08917917,0.0,0.0,0.3,0.0,0.0028308253,0.14154127,0.14437209,-27.614662,2.3094666,0.76982224,0.14400001,0.0,0.16106726,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,7,0.0,2,-0.14437209,-0.14725953,-0.14725953,1.0244557,0.0,0.09452447,0.0,0.0,0.3,0.0,0.0028874418,0.14437209,0.14725953,-27.494896,2.2538474,0.75128245,0.2,0.0,0.1564833,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,8,0.0,2,-0.14725953,-0.119450435,-0.119450435,0.98921555,0.10251429,0.10251429,1.0,0.030754289,0.3,0.0,0.0029451905,0.14725953,0.119450435,-26.932962,2.1763177,0.72543925,0.16000001,0.0,0.15234116,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,9,0.0,2,-0.119450435,-0.12183944,-0.12183944,1.0523314,0.0,0.08864791,0.0,0.0,0.3,0.0,0.0023890086,0.119450435,0.12183944,-28.152128,2.3151755,0.7717252,0.136,0.0,0.15706584,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,10,0.0,2,-0.12183944,-0.087681584,-0.087681584,0.91370374,0.12198214,0.12198214,1.0,0.036594644,0.3,0.0,0.0024367888,0.12183944,0.087681584,-25.600222,2.0101883,0.6700628,0.216,0.0,0.11717166,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,11,0.0,2,-0.087681584,-0.08943521,-0.08943521,1.005359,0.0,0.09877361,0.0,0.0,0.3,0.0,0.0017536316,0.087681584,0.08943521,-27.601904,2.211834,0.737278,0.23200001,0.0,0.17091459,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,12,0.0,2,-0.08943521,-0.09122392,-0.09122392,1.0039192,0.0,0.099101625,0.0,0.0,0.3,0.0,0.0017887042,0.08943521,0.09122392,-27.1474,2.2086663,0.73622215,0.192,0.0,0.18357752,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,13,0.0,2,-0.09122392,-0.093048394,-0.093048394,1.0084261,0.0,0.09807851,0.0,0.0,0.3,0.0,0.0018244783,0.09122392,0.093048394,-27.215889,2.2185817,0.7395272,0.14,0.0,0.151664,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,14,0.0,2,-0.093048394,-0.06282871,-0.06282871,0.97087806,0.10693549,0.10693549,1.0,0.03208065,0.3,0.0,0.0018609678,0.093048394,0.06282871,-26.354116,2.1359744,0.7119915,0.128,0.0,0.13470097,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,15,0.0,2,-0.06282871,-0.06408529,-0.06408529,1.024213,0.0,0.094577335,0.0,0.0,0.3,0.0,0.0012565742,0.06282871,0.06408529,-27.52093,2.2533135,0.75110453,0.14400001,0.0,0.14971629,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,16,0.0,2,-0.06408529,-0.065367,-0.065367,1.0229474,0.0,0.094853334,0.0,0.0,0.3,0.0,0.0012817058,0.06408529,0.065367,-27.001629,2.2505293,0.7501764,0.192,0.0,0.16807355,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,17,0.0,2,-0.065367,-0.06667434,-0.06667434,1.0357782,0.0,0.09209199,0.0,0.0,0.3,0.0,0.00130734,0.065367,0.06667434,-27.474451,2.2787573,0.7595858,0.112,0.0,0.14162551,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,18,0.0,2,-0.06667434,-0.037919637,-0.037919637,0.99872524,0.10029395,0.10029395,1.0,0.030088186,0.3,0.0,0.0013334868,0.06667434,0.037919637,-27.070282,2.1972394,0.7324132,0.192,0.0,0.1810153,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,19,0.0,2,-0.037919637,-0.008428294,-0.008428294,0.99639964,0.10083245,0.10083245,1.0,0.030249735,0.3,0.0,0.00075839274,0.037919637,0.008428294,-27.062372,2.192123,0.73070765,0.16000001,0.0,0.13873462,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,20,1.0,3,-0.008428294,-0.5885968,-0.5885968,1.0201603,0.0,0.09546401,0.0,0.0,0.3,0.0,0.00016856588,0.008428294,0.5885968,-27.144667,2.2443974,0.74813247,0.16000001,0.0,0.1541681,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,21,0.0,3,-0.5885968,-0.56913465,-0.56913465,0.9824924,0.10411363,0.10411363,1.0,0.031234091,0.3,0.0,0.011771936,0.5885968,0.56913465,-26.086813,2.1615264,0.7205088,0.16800001,0.0,0.14906187,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,22,0.0,3,-0.56913465,-0.54810303,-0.54810303,0.96638453,0.1080477,0.1080477,1.0,0.032414313,0.3,0.0,0.0113826925,0.56913465,0.54810303,-26.590576,2.1260884,0.7086961,0.18400002,0.0,0.1394379,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,23,0.0,3,-0.54810303,-0.5590651,-0.5590651,1.0421888,0.0,0.0907426,0.0,0.0,0.3,0.0,0.010962061,0.54810303,0.5590651,-28.848139,2.292861,0.764287,0.15200001,0.0,0.17809667,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,24,0.0,3,-0.5590651,-0.5362905,-0.5362905,0.9462067,0.11318615,0.11318615,1.0,0.033955846,0.3,0.0,0.011181301,0.5590651,0.5362905,-25.737959,2.0816963,0.6938988,0.208,0.008,0.14085726,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,25,0.0,3,-0.5362905,-0.51333255,-0.51333255,0.9497002,0.11227933,0.11227933,1.0,0.033683803,0.3,0.0,0.01072581,0.5362905,0.51333255,-25.842712,2.0893822,0.6964607,0.192,0.0,0.1557989,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,26,0.0,3,-0.51333255,-0.5235992,-0.5235992,1.0082994,0.0,0.098107144,0.0,0.0,0.3,0.0,0.0102666505,0.51333255,0.5235992,-26.800777,2.218303,0.73943436,0.13,0.0,0.1335886,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,27,0.0,3,-0.5235992,-0.5032988,-0.5032988,0.98896,0.102574624,0.102574624,1.0,0.030772388,0.3,0.0,0.010471984,0.5235992,0.5032988,-26.631472,2.1757555,0.72525185,0.14400001,0.0,0.13591741,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,28,0.0,3,-0.5032988,-0.48187095,-0.48187095,0.97889537,0.10497952,0.10497952,1.0,0.031493858,0.3,0.0,0.0100659765,0.5032988,0.48187095,-27.387701,2.1536129,0.71787095,0.192,0.0,0.13899083,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,29,0.0,3,-0.48187095,-0.4603003,-0.4603003,0.9828545,0.10402686,0.10402686,1.0,0.031208059,0.3,0.0,0.009637419,0.48187095,0.4603003,-26.028402,2.162323,0.72077435,0.14400001,0.0,0.16339469,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,30,0.0,3,-0.4603003,-0.43328017,-0.43328017,0.91809934,0.12075374,0.12075374,1.0,0.036226124,0.3,0.0,0.009206005,0.4603003,0.43328017,-25.01966,2.0198588,0.6732863,0.18400002,0.0,0.14969972,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,31,0.0,3,-0.43328017,-0.41110054,-0.41110054,0.98793334,0.102817416,0.102817416,1.0,0.030845227,0.3,0.0,0.008665604,0.43328017,0.41110054,-26.600847,2.1734967,0.7244989,0.208,0.0,0.1388354,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,32,0.0,3,-0.41110054,-0.38779208,-0.38779208,0.97839105,0.10510151,0.10510151,1.0,0.031530455,0.3,0.0,0.008222011,0.41110054,0.38779208,-25.943842,2.1525033,0.7175011,0.2,0.0,0.1623683,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,33,0.0,3,-0.38779208,-0.36355785,-0.36355785,0.9721058,0.106633626,0.106633626,1.0,0.03199009,0.3,0.0,0.0077558416,0.38779208,0.36355785,-26.925543,2.1386755,0.7128918,0.2,0.0,0.1831471,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,34,0.0,3,-0.36355785,-0.3387112,-0.3387112,0.9703751,0.107059404,0.107059404,1.0,0.03211782,0.3,0.0,0.0072711566,0.36355785,0.3387112,-26.585548,2.134868,0.71162266,0.216,0.0,0.13030775,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,35,0.0,3,-0.3387112,-0.31335273,-0.31335273,0.97017443,0.107108906,0.107108906,1.0,0.032132674,0.3,0.0,0.006774224,0.3387112,0.31335273,-27.011326,2.1344264,0.7114755,0.15200001,0.0,0.1558573,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,36,0.0,3,-0.31335273,-0.31961977,-0.31961977,1.0598818,0.0,0.087120056,0.0,0.0,0.3,0.0,0.0062670545,0.31335273,0.31961977,-27.594307,2.3317866,0.7772622,0.15200001,0.0,0.14508575,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,37,0.0,3,-0.31961977,-0.2949979,-0.2949979,0.9855596,0.103380926,0.103380926,1.0,0.031014279,0.3,0.0,0.006392395,0.31961977,0.2949979,-27.222525,2.1682744,0.7227582,0.224,0.0,0.15293063,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,38,0.0,3,-0.2949979,-0.26815748,-0.26815748,0.96203744,0.10913464,0.10913464,1.0,0.03274039,0.3,0.0,0.005899958,0.2949979,0.26815748,-26.436455,2.1165247,0.70550823,0.24000001,0.0,0.13056965,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,39,0.0,3,-0.26815748,-0.24311319,-0.24311319,0.9941414,0.10135814,0.10135814,1.0,0.030407442,0.3,0.0,0.0053631496,0.26815748,0.24311319,-26.821838,2.1871548,0.7290516,0.16,0.0,0.15243253,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,40,0.0,3,-0.24311319,-0.2148218,-0.2148218,0.9565898,0.110512175,0.110512175,1.0,0.033153653,0.3,0.0,0.004862264,0.24311319,0.2148218,-25.933636,2.1045396,0.70151323,0.24000001,0.008,0.14326178,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,41,0.0,3,-0.2148218,-0.21911824,-0.21911824,1.0069498,0.0,0.09841249,0.0,0.0,0.3,0.0,0.004296436,0.2148218,0.21911824,-26.673435,2.2153337,0.73844457,0.192,0.0,0.1517742,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,42,0.0,3,-0.21911824,-0.19129595,-0.19129595,0.9692026,0.10734887,0.10734887,1.0,0.03220466,0.3,0.0,0.0043823645,0.21911824,0.19129595,-26.215412,2.1322882,0.71076274,0.128,0.0,0.16972253,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,43,0.0,3,-0.19129595,-0.19512187,-0.19512187,1.031657,0.0,0.092970036,0.0,0.0,0.3,0.0,0.003825919,0.19129595,0.19512187,-27.668917,2.2696908,0.7565636,0.15200001,0.0,0.16522466,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,44,0.0,3,-0.19512187,-0.1655918,-0.1655918,0.9529525,0.11144165,0.11144165,1.0,0.033432495,0.3,0.0,0.0039024374,0.19512187,0.1655918,-25.938532,2.0965374,0.6988458,0.23200001,0.0,0.14912719,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,45,0.0,3,-0.1655918,-0.1367564,-0.1367564,0.9699775,0.10715748,0.10715748,1.0,0.032147247,0.3,0.0,0.0033118362,0.1655918,0.1367564,-26.243177,2.1339931,0.71133107,0.17600001,0.0,0.14162649,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,46,0.0,3,-0.1367564,-0.10340602,-0.10340602,0.91978824,0.12028506,0.12028506,1.0,0.03608552,0.3,0.0,0.002735128,0.1367564,0.10340602,-25.651588,2.0235746,0.6745249,0.23200001,0.0,0.12808304,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,47,0.0,3,-0.10340602,-0.07116682,-0.07116682,0.9417345,0.11435772,0.11435772,1.0,0.034307316,0.3,0.0,0.0020681203,0.10340602,0.07116682,-26.436039,2.0718572,0.6906191,0.224,0.0,0.13841225,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,48,0.0,3,-0.07116682,-0.04002696,-0.04002696,0.9643942,0.10854399,0.10854399,1.0,0.0325632,0.3,0.0,0.0014233363,0.07116682,0.04002696,-25.6585,2.1217096,0.7072365,0.16800001,0.0,0.13684076,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,49,0.0,3,-0.04002696,-0.007815834,-0.007815834,0.9584539,0.11003887,0.11003887,1.0,0.033011664,0.3,0.0,0.00080053916,0.04002696,0.007815834,-27.327114,2.1086407,0.70288026,0.24800001,0.0,0.14326441,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,50,1.0,4,-0.007815834,-0.55597615,-0.55597615,0.9720256,0.106653325,0.106653325,1.0,0.031996,0.3,0.0,0.00015631667,0.007815834,0.55597615,-26.644016,2.138499,0.71283305,0.136,0.0,0.14772423,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,51,0.0,4,-0.55597615,-0.5356435,-0.5356435,0.979471,0.10484049,0.10484049,1.0,0.03145215,0.3,0.0,0.011119523,0.55597615,0.5356435,-26.356665,2.1548793,0.71829313,0.24000001,0.0,0.13117337,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,52,0.0,4,-0.5356435,-0.5463564,-0.5463564,1.0361992,0.0,0.09200274,0.0,0.0,0.3,0.0,0.01071287,0.5356435,0.5463564,-27.39642,2.2796838,0.7598946,0.17999999,0.0,0.13617389,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.3,borrow,32,53,0.0,4,-0.5463564,-0.5205149,-0.5205149,0.9116443,0.12256197,0.12256197,1.0,0.036768593,0.3,0.0,0.010927128,0.5463564,0.5205149,-26.4813,2.0056574,0.6685525,0.16800001,0.0,0.14692916,0.0,0.0
