attempt_name,description,source_dir,source_summary_csv,source_locked_dir,alpha_values,z_cut,depr_lambda,depr_nu,depr_psi,raw_mechanism,raw_mechanism_tag,raw_c_upd,raw_z_cut,raw_depr_lambda,raw_depr_nu,raw_depr_psi,raw_left_edge_alpha,raw_right_edge_alpha,raw_left_edge_p_active,raw_right_edge_p_active,raw_left_edge_p_sustained,raw_right_edge_p_sustained,raw_left_edge_p_bursty,raw_right_edge_p_bursty,raw_left_edge_rho,raw_right_edge_rho,raw_left_edge_active_blocks_mean,raw_right_edge_active_blocks_mean,raw_left_edge_late_update_count_mean,raw_right_edge_late_update_count_mean,raw_p_sustained_violations,raw_rho_violations,raw_total_violations,raw_p_sustained_span,raw_p_active_span,raw_rho_span,raw_alpha_transition_lo,raw_alpha_transition_hi,raw_alpha_transition_guess,raw_n_seeds,raw_late_window_updates,raw_chi_peak_interior,raw_chi_peak_alpha,raw_chi_peak_value,raw_chi_peak_ratio,raw_candidate_pass,raw_candidate_pass_profile,raw_strict_candidate_pass,pool2_mechanism,pool2_mechanism_tag,pool2_c_upd,pool2_z_cut,pool2_depr_lambda,pool2_depr_nu,pool2_depr_psi,pool2_left_edge_alpha,pool2_right_edge_alpha,pool2_left_edge_p_active,pool2_right_edge_p_active,pool2_left_edge_p_sustained,pool2_right_edge_p_sustained,pool2_left_edge_p_bursty,pool2_right_edge_p_bursty,pool2_left_edge_rho,pool2_right_edge_rho,pool2_left_edge_active_blocks_mean,pool2_right_edge_active_blocks_mean,pool2_left_edge_late_update_count_mean,pool2_right_edge_late_update_count_mean,pool2_p_sustained_violations,pool2_rho_violations,pool2_total_violations,pool2_p_sustained_span,pool2_p_active_span,pool2_rho_span,pool2_alpha_transition_lo,pool2_alpha_transition_hi,pool2_alpha_transition_guess,pool2_n_seeds,pool2_late_window_updates,pool2_chi_peak_interior,pool2_chi_peak_alpha,pool2_chi_peak_value,pool2_chi_peak_ratio,pool2_candidate_pass,pool2_candidate_pass_profile,pool2_strict_candidate_pass,pool3_mechanism,pool3_mechanism_tag,pool3_c_upd,pool3_z_cut,pool3_depr_lambda,pool3_depr_nu,pool3_depr_psi,pool3_left_edge_alpha,pool3_right_edge_alpha,pool3_left_edge_p_active,pool3_right_edge_p_active,pool3_left_edge_p_sustained,pool3_right_edge_p_sustained,pool3_left_edge_p_bursty,pool3_right_edge_p_bursty,pool3_left_edge_rho,pool3_right_edge_rho,pool3_left_edge_active_blocks_mean,pool3_right_edge_active_blocks_mean,pool3_left_edge_late_update_count_mean,pool3_right_edge_late_update_count_mean,pool3_p_sustained_violations,pool3_rho_violations,pool3_total_violations,pool3_p_sustained_span,pool3_p_active_span,pool3_rho_span,pool3_alpha_transition_lo,pool3_alpha_transition_hi,pool3_alpha_transition_guess,pool3_n_seeds,pool3_late_window_updates,pool3_chi_peak_interior,pool3_chi_peak_alpha,pool3_chi_peak_value,pool3_chi_peak_ratio,pool3_candidate_pass,pool3_candidate_pass_profile,pool3_strict_candidate_pass,diag_isotonic_max_correction,diag_isotonic_rmse,diag_alpha_count,finite_resolution_strict_pass,certification_label,finalize_score
hardzero_step003,"Same hard-zero mechanism, coarse enough to reduce one-seed jitter while preserving the observed transition window.",/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/hardzero_step003,/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/hardzero_step003/alpha_sweep_phase_summary.csv,/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/hardzero_step003,"[0.025, 0.028, 0.031, 0.034, 0.037, 0.04, 0.043, 0.046, 0.049, 0.052, 0.055, 0.058, 0.061, 0.064, 0.067, 0.07, 0.073, 0.076, 0.079, 0.082, 0.085, 0.088]",1.0,0.0,0.5,0.0,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,0.025,0.088,0.71875,1.0,0.0,1.0,0.71875,0.0,0.0024960063897763577,0.02156549520766773,0.78125,4.0,0.78125,6.75,1,0,1,1.0,0.28125,0.01906948881789137,0.04,0.043,0.041499999999999995,32,313,1,0.079,2.267833900058577e-05,2.9328010645375917,1,strict,1,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,0.026500000000000003,0.0865,0.78125,1.0,0.0,1.0,0.78125,0.0,0.0027456070287539937,0.02121605431309904,0.859375,4.0,0.859375,6.640625,0,0,0,1.0,0.21875,0.01847044728434505,0.041499999999999995,0.0445,0.043,32,313,1,0.0775,1.8233219922431025e-05,2.1957868649318466,1,strict,1,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,0.028,0.085,0.8125,1.0,0.0,1.0,0.8125,0.0,0.003194888178913738,0.020899893503727368,1.0,4.0,1.0,6.541666666666667,0,0,0,1.0,0.1875,0.01770500532481363,0.043000000000000003,0.046000000000000006,0.044500000000000005,32,313,1,0.076,1.675151356304611e-05,2.0349999999999997,1,strict,1,0.0390625,0.012901919122574539,22,1,strict_raw_pass,3922.5
hardzero_step005,"Same hard-zero mechanism, conservative coarse grid to suppress fine-grid monotonic aliasing.",/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/hardzero_step005,/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/hardzero_step005/alpha_sweep_phase_summary.csv,/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/hardzero_step005,"[0.025, 0.03, 0.035, 0.04, 0.045, 0.05, 0.055, 0.06, 0.065, 0.07, 0.075, 0.08, 0.085, 0.09]",1.0,0.0,0.5,0.0,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,0.025,0.09,0.71875,1.0,0.0,1.0,0.71875,0.0,0.0024960063897763577,0.022064696485623002,0.78125,4.0,0.78125,6.90625,0,0,0,1.0,0.28125,0.019568690095846643,0.04,0.045,0.042499999999999996,32,313,1,0.08,2.0249986911593825e-05,2.5928853754940717,1,strict,1,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,0.0275,0.0875,0.765625,1.0,0.0,1.0,0.765625,0.0,0.0029452875399361023,0.021465654952076675,0.921875,4.0,0.921875,6.71875,0,0,0,1.0,0.234375,0.018520367412140575,0.042499999999999996,0.0475,0.045,32,313,1,0.0775,1.5866605598413455e-05,2.019646365422397,1,strict,1,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,0.03,0.085,0.8229166666666666,0.9895833333333334,0.010416666666666666,0.9791666666666666,0.8125,0.010416666666666666,0.003560969116080937,0.02056709265175719,1.1145833333333333,3.9375,1.1145833333333333,6.4375,0,0,0,0.96875,0.16666666666666674,0.01700612353567625,0.04,0.045000000000000005,0.0425,32,313,1,0.07500000000000001,1.4693588063900396e-05,1.5396226415094338,0,strict,0,0.02083333333333337,0.009021097956087902,14,0,strict_raw_pass,2347.5
hardzero_step004,"Same hard-zero mechanism, stronger finite-resolution coarse grid for certification.",/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/hardzero_step004,/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/hardzero_step004/alpha_sweep_phase_summary.csv,/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/hardzero_step004,"[0.025, 0.029, 0.033, 0.037, 0.041, 0.045, 0.049, 0.053, 0.057, 0.061, 0.065, 0.069, 0.073, 0.077, 0.081, 0.085, 0.089]",1.0,0.0,0.5,0.0,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,0.025,0.089,0.71875,1.0,0.0,1.0,0.71875,0.0,0.0024960063897763577,0.022064696485623002,0.78125,3.96875,0.78125,6.90625,1,0,1,1.0,0.28125,0.019568690095846643,0.041,0.045,0.043,32,313,1,0.077,2.1731693270978737e-05,2.2783171521035595,1,strict,1,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,0.027000000000000003,0.087,0.765625,1.0,0.0,1.0,0.765625,0.0,0.0027955271565495207,0.021465654952076675,0.875,3.984375,0.875,6.71875,0,0,0,1.0,0.234375,0.018670127795527153,0.043,0.047,0.045,32,313,1,0.079,2.0887943816328997e-05,1.8783252371038632,1,strict,1,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,0.029,0.085,0.8020833333333334,0.9895833333333334,0.0,0.9895833333333334,0.8020833333333334,0.0,0.00332800851970181,0.020500532481363153,1.0416666666666667,3.9375,1.0416666666666667,6.416666666666667,0,0,0,0.9895833333333334,0.1875,0.017172523961661343,0.041,0.045000000000000005,0.043000000000000003,32,313,1,0.077,1.8521329492311423e-05,1.7181037225580655,0,strict,0,0.03125,0.013127625787762592,17,0,strict_raw_pass,2322.5
weak_depr_step003,Weak depreciation fallback if pure hard-zero remains too bursty.,/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/weak_depr_step003,/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/weak_depr_step003/alpha_sweep_phase_summary.csv,/home/legend/jaxmarl_phase_project/JaxMARL_gate5_repair/runs/n3_locked_candidate_transition_finalize/attempts/weak_depr_step003,"[0.025, 0.028, 0.031, 0.034, 0.037, 0.04, 0.043, 0.046, 0.049, 0.052, 0.055, 0.058, 0.061, 0.064, 0.067, 0.07, 0.073, 0.076, 0.079, 0.082, 0.085, 0.088]",1.0,0.005,1.0,0.5,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,0.025,0.088,0.09375,0.9375,0.0,0.90625,0.09375,0.03125,0.0002995207667731629,0.01777156549520767,0.09375,3.65625,0.09375,5.5625,1,0,1,0.90625,0.90625,0.017571884984025562,0.052,0.055,0.0535,32,313,1,0.082,3.9007977836307e-05,2.01863684771033,1,strict,1,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,0.026500000000000003,0.0865,0.078125,0.9375,0.0,0.90625,0.078125,0.03125,0.00024960063897763577,0.017272364217252395,0.078125,3.640625,0.078125,5.40625,0,0,0,0.90625,0.859375,0.017022763578274758,0.0535,0.0565,0.055,32,313,1,0.0835,3.662592907104584e-05,1.8953674121405748,1,strict,1,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,0.028,0.085,0.125,0.9270833333333334,0.0,0.8958333333333334,0.125,0.03125,0.00039936102236421724,0.016540202342918,0.125,3.5729166666666665,0.125,5.177083333333333,0,0,0,0.8958333333333334,0.8125,0.01614084132055378,0.055,0.057999999999999996,0.056499999999999995,32,313,0,0.085,3.537916920614673e-05,1.871541322688923,0,strict,0,0.03125,0.009422229518055113,22,0,strict_raw_pass,2320.1863684771033
