condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,42,2.9057636149991595,none,0.0,0.0,0.0,1000000,100.0,-24.19523048400879,26.0,0.0,0.0,0.6534246206283569,0.6519273519515991,0.25999999046325684,0.17999999225139618,0.9894342422485352,0.9894761443138123,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.172084778547287,-27.918724060058594,1.2359212112270295,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,43,2.900365478000822,none,0.0,0.0,0.0,1000000,100.0,-29.750072479248047,26.0,0.0,0.0,0.9333300590515137,0.9239821434020996,0.03999999910593033,0.07999999821186066,1.3447730541229248,1.3312782049179077,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.16183558106422424,-27.312129974365234,-1.00669067436432,0.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,44,2.8491182159996242,none,0.0,0.0,0.0,1000000,100.0,-24.145353317260742,26.0,0.0,0.0,0.5540908575057983,0.5533486008644104,0.25999999046325684,0.25999999046325684,0.8088131546974182,0.8032121658325195,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.14509513974189758,-26.64383316040039,1.2560577204319099,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,45,2.699662900000476,none,0.0,0.0,0.0,1000000,100.0,-26.317577362060547,26.0,0.0,0.0,0.6919445991516113,0.6841830015182495,0.1599999964237213,0.20999999344348907,0.978682816028595,0.9726836681365967,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.13461248576641083,-26.68807029724121,0.37908309807354074,0.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,2.824874882000586,none,0.0,0.0,0.0,1000000,100.0,-28.051998138427734,26.0,0.0,0.0,0.8011283278465271,0.8006632328033447,0.25,0.17999999225139618,1.1356943845748901,1.141613245010376,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.15269069373607635,-27.29193878173828,-0.32114071585873954,0.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,47,2.7054059010006313,none,0.0,0.0,0.0,1000000,100.0,-24.031341552734375,26.0,0.0,0.0,0.5427258014678955,0.5406011939048767,0.26999998092651367,0.29999998211860657,0.7955707311630249,0.7915844321250916,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.2065119445323944,-28.43828010559082,1.302086777323754,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,48,2.892225927000254,none,0.0,0.0,0.0,1000000,100.0,-31.453136444091797,26.0,0.0,0.0,1.044795036315918,1.0326499938964844,0.14999999105930328,0.11999999731779099,1.4260663986206055,1.405663013458252,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.19475017488002777,-28.055044174194336,-1.6942550538289813,0.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,49,2.90520455800106,none,0.0,0.0,0.0,1000000,100.0,-24.142194747924805,26.0,0.0,0.0,0.6289983987808228,0.63127201795578,0.22999998927116394,0.25999999046325684,0.9231815934181213,0.93107670545578,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.17578062415122986,-26.686962127685547,1.257332904341787,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,50,2.703046460001133,none,0.0,0.0,0.0,1000000,100.0,-24.887733459472656,26.0,0.0,0.0,0.5683465600013733,0.5681164264678955,0.3700000047683716,0.38999998569488525,0.8568617701530457,0.8559311628341675,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.14617903530597687,-26.62088394165039,0.9563425292566611,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,51,2.949941572998796,none,0.0,0.0,0.0,1000000,100.0,-25.71695327758789,26.0,0.009999999776482582,0.0,0.6593223214149475,0.6559334397315979,0.1899999976158142,0.1599999964237213,0.9320536851882935,0.9254143834114075,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.1306411474943161,-27.614429473876953,0.6215682509843186,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,52,2.903982783000174,none,0.0,0.0,0.0,1000000,100.0,-25.975509643554688,26.0,0.0,0.0,0.7396109104156494,0.7268620729446411,0.14999999105930328,0.14999999105930328,1.06533944606781,1.0615798234939575,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.17541979253292084,-28.342496871948242,0.517183359405153,1.0,,
