seed,late_g_eff_mean,late_g_raw_mean,late_alpha_g_eff_mean,late_debt_charge_mean,late_margin_mean,late_break_even_alpha_est,late_debt_floor_frac,late_negative_energy_frac,late_debt_level_mean,late_update_u_mean,late_cut_active_frac,late_window_updates
30,0.13208296184294874,0.13208296184294874,0.008717475481634616,0.0,0.008717475481634616,0.0,0.0,0.47115384615384615,0.06975884227211539,0.016025641025641024,1.0,312
31,0.1505160303205128,0.1505160303205128,0.009934058001153845,0.0,0.009934058001153845,0.0,0.0,0.47435897435897434,0.07040405109743589,0.019230769230769232,1.0,312
32,0.15244765147435899,0.15244765147435899,0.010061544997307693,0.0,0.010061544997307693,0.0,0.0,0.5,0.0695039310628205,0.016025641025641024,1.0,312
33,0.1542611141346154,0.1542611141346154,0.010181233532884618,0.0,0.010181233532884618,0.0,0.0,0.5096153846153846,0.07120530220416667,0.016025641025641024,1.0,312
34,0.13651504040384616,0.13651504040384616,0.009009992666653846,0.0,0.009009992666653846,0.0,0.0,0.5192307692307693,0.07552607047964745,0.016025641025641024,1.0,312
35,0.1288470105929487,0.1288470105929487,0.008503902699134615,0.0,0.008503902699134615,0.0,0.0,0.4583333333333333,0.06809465503910257,0.016025641025641024,1.0,312
36,0.1269964182371795,0.1269964182371795,0.008381763603653848,0.0,0.008381763603653848,0.0,0.0,0.5448717948717948,0.07869911914871795,0.01282051282051282,1.0,312
37,0.14702565197435896,0.14702565197435896,0.009703693030307691,0.0,0.009703693030307691,0.0,0.0,0.47435897435897434,0.06914770149326924,0.016025641025641024,1.0,312
38,0.12446025853525643,0.12446025853525643,0.008214377063326924,0.0,0.008214377063326924,0.0,0.0,0.5,0.06847193624391026,0.01282051282051282,1.0,312
39,0.13252299972435896,0.13252299972435896,0.008746517981807691,0.0,0.008746517981807691,0.0,0.0,0.5352564102564102,0.07740665784663461,0.016025641025641024,1.0,312
40,0.1221431359102564,0.12245343270512819,0.008061446970076923,0.0,0.008061446970076923,0.0,0.0,0.5096153846153846,0.07848508877532051,0.016025641025641024,0.9967948717948718,312
41,0.13389118707371794,0.13420829800320513,0.008836818346865385,0.0,0.008836818346865385,0.0,0.0,0.5224358974358975,0.07598937980641025,0.016025641025641024,0.9967948717948718,312
