condition,horizon_label,alpha,c_upd,seed,runtime_sec,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,final_funding_z,final_funding_g,final_vartd,train_final_return_end_mean,train_final_min_dists_end_mean,train_final_occupied_end_mean,train_final_CSR_train,train_final_dbar_end
disabled_short,short,0.0,0.6,30,10.55763330499758,100.0,-25.233842849731445,26.0,0.0,0.0,0.6404814720153809,0.6380053758621216,0.23999999463558197,0.19999998807907104,0.9564338326454163,0.9450989961624146,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.9960104823112488,0.10092286020517349,0.13312853872776031,-26.0816593170166,2.1912667751312256,0.1600000113248825,0.0,0.7304222583770752
disabled_short,short,0.0,0.6,31,0.9618290929938667,100.0,-24.845096588134766,26.0,0.0,0.009999999776482582,0.6689586043357849,0.665542721748352,0.25,0.25999999046325684,1.0187177658081055,1.0110241174697876,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,1.0615798234939575,0.08678010106086731,0.17489728331565857,-28.015735626220703,2.335522174835205,0.1680000126361847,0.0,0.77850741147995
disabled_short,short,0.0,0.6,32,0.9601529630017467,100.0,-26.76552963256836,26.0,0.0,0.0,0.7406786680221558,0.7376197576522827,0.10999999940395355,0.10999999940395355,1.0135246515274048,1.008365273475647,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,1.0519965887069702,0.0887162834405899,0.17245572805404663,-27.5433292388916,2.314438581466675,0.20000000298023224,0.0,0.7714795470237732
disabled_short,short,0.0,0.6,33,0.9620799130061641,100.0,-25.359060287475586,26.0,0.0,0.0,0.6269007921218872,0.6283268928527832,0.32999998331069946,0.25999999046325684,0.9257553815841675,0.924391508102417,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,1.0682718753814697,0.08545316010713577,0.20461787283420563,-28.082782745361328,2.3502449989318848,0.09600000083446503,0.0,0.7834150195121765
disabled_short,short,0.0,0.6,34,0.9612118060176726,100.0,-28.71475601196289,26.0,0.0,0.0,0.7639579772949219,0.7662791609764099,0.17999999225139618,0.17000000178813934,1.1588743925094604,1.148382544517517,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,1.0370433330535889,0.09182409942150116,0.13817279040813446,-27.18588638305664,2.281540870666504,0.12800000607967377,0.0,0.7605136632919312
disabled_short,short,0.0,0.6,35,0.9588482569961343,100.0,-26.198461532592773,26.0,0.0,0.0,0.6914283633232117,0.684353768825531,0.22999998927116394,0.2800000011920929,0.9826812744140625,0.9817982912063599,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,1.0170150995254517,0.09615789353847504,0.14201891422271729,-27.385305404663086,2.2374777793884277,0.1680000126361847,0.0,0.7458259463310242
disabled_short,short,0.0,0.6,36,0.9626126980001573,100.0,-24.077821731567383,26.0,0.009999999776482582,0.0,0.609361469745636,0.6114078760147095,0.29999998211860657,0.3100000023841858,0.8830616474151611,0.8867604732513428,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,1.1092212200164795,0.07776404172182083,0.20347285270690918,-28.759572982788086,2.440335512161255,0.1600000113248825,0.0,0.8134452104568481
disabled_short,short,0.0,0.6,37,0.9619350679859053,100.0,-24.280658721923828,26.0,0.009999999776482582,0.0,0.5301930904388428,0.5287474393844604,0.35999998450279236,0.32999998331069946,0.7777040004730225,0.771553099155426,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,1.0443322658538818,0.09029582887887955,0.15108002722263336,-27.957719802856445,2.297576904296875,0.0560000017285347,0.0,0.7658590078353882
disabled_short,short,0.0,0.6,38,0.96489242700045,100.0,-28.925975799560547,26.0,0.0,0.0,0.8532305955886841,0.8467316627502441,0.08999999612569809,0.07000000029802322,1.2240411043167114,1.2147915363311768,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,1.08148992061615,0.08289150893688202,0.15572278201580048,-27.862003326416016,2.3793253898620605,0.14400000870227814,0.0,0.7931084632873535
disabled_short,short,0.0,0.6,39,0.9633225880097598,100.0,-24.551103591918945,26.0,0.0,0.0,0.6093488931655884,0.6079915761947632,0.25,0.22999998927116394,0.8784109354019165,0.8780871629714966,4.0,104.0,4.0,4.0,0.00800000037997961,1.0,0.3999999761581421,0.9636650681495667,0.1087263748049736,0.16528810560703278,-26.576122283935547,2.120105504989624,0.17600001394748688,0.0,0.7067018747329712
