run_dir,alpha,c_upd,roles,notes,seed,eval_return_end_mean,I_R_short,learned_0p5,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_VarTD,wall_seconds
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed37,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,37,-24.656443,0.5262553364690139,1,0.496899,0.43,0.0,0.096,0.176518,21.07
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed38,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,38,-23.313612,0.7980412757776275,1,0.580505,0.28,0.0,0.08,0.149079,20.95
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed39,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,39,-24.02726,0.6536005442070031,1,0.508502,0.35,0.01,0.088,0.161575,17.62
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed40,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,40,-23.312275,0.7983118815358022,1,0.506846,0.32,0.0,0.08,0.157829,20.99
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed41,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,41,-23.475389,0.7652979790384774,1,0.464813,0.46,0.0,0.088,0.173263,17.42
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed42,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,42,-22.158737,1.0317853483072572,1,0.475148,0.47,0.02,0.088,0.170081,21.09
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed43,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,43,-23.378256,0.7849574772499898,1,0.499564,0.4,0.0,0.088,0.193599,21.02
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed44,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,44,-24.952484,0.46633731159554814,0,0.50059,0.47,0.01,0.088,0.192182,17.83
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed45,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,45,-23.971998,0.6647854472797444,1,0.533685,0.28,0.0,0.088,0.165015,20.91
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed46,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,46,-25.152348,0.4258852927086017,0,0.583546,0.3,0.0,0.088,0.146694,17.48
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed47,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,47,-23.833632,0.6927904108815491,1,0.495458,0.37,0.0,0.088,0.182245,21.11
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed48,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,48,-24.316679,0.5950227970677426,1,0.514764,0.28,0.0,0.088,0.178551,17.92
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed49,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,49,-23.714594,0.7168834312567257,1,0.523375,0.35,0.0,0.08,0.161629,21.12
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed50,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,50,-23.860098,0.6874337526946727,1,0.504804,0.38,0.0,0.088,0.177145,17.5
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed51,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,51,-24.225473,0.613482683963846,1,0.507272,0.45,0.02,0.08,0.190048,21.09
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed52,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,52,-24.455147,0.566997188897999,1,0.591987,0.24,0.0,0.088,0.193593,17.44
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed53,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,53,-24.076757,0.6435824640182384,1,0.509623,0.34,0.0,0.088,0.155744,20.99
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed54,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,54,-23.586542,0.7428008647240396,1,0.500298,0.43,0.0,0.08,0.161355,17.45
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed55,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,55,-23.948168,0.6696085850638173,1,0.496552,0.37,0.0,0.088,0.197971,21.17
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed56,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,56,-23.31245,0.7982764619339472,1,0.488637,0.34,0.0,0.088,0.190905,21.28
