alpha,c_upd,roles,notes,n_seeds,successes_R_short_0p5,P_learn_R_short_0p5,bootstrap95_P_learn_lo,bootstrap95_P_learn_hi,mean_I_R_short,std_I_R_short,mean_eval_return_end_mean,std_eval_return_end_mean,bootstrap95_mean_return_lo,bootstrap95_mean_return_hi,mean_eval_dbar_post,mean_eval_occupied_post_mean,mean_eval_CSR_mean,mean_update_fraction,std_mean_update_fraction,mean_final_VarTD,mean_wall_seconds
0.0,0.1,enabled_anchor,highest 8-seed P=1 point,32,30,0.9375,0.84375,1.0,0.6805549877174941,0.1136759895879656,-23.894084375,0.5616465780485638,-24.09002978125,-23.7065708125,0.51234771875,0.3696875,0.001875,0.072,0.0,0.15979965625,19.4903125
0.0,0.5,boundary_proxy,closest current point above the 0.5 crossing,32,19,0.59375,0.4375,0.75,0.45892121228343696,0.39804845680366885,-24.98912521875,1.9666646797764915,-25.71880946875,-24.37821646875,0.6223744375,0.2834375,0.0015625,0.016,0.0,0.1600090625,19.331875
0.0,0.6,below_proxy,first current in-domain point below 0.5,32,12,0.375,0.21875,0.53125,0.27681072847596316,0.521857373766005,-25.8888906875,2.578375691009742,-26.86839278125,-25.1069153125,0.684416875,0.2390625,0.001875,0.008,0.0,0.16460940625,19.4090625
0.0,1.0,edge_max,top of physical c_upd domain,32,12,0.375,0.21875,0.53125,0.27681072847596316,0.521857373766005,-25.8888906875,2.578375691009742,-26.82837425,-25.09170540625,0.684416875,0.2390625,0.001875,0.008,0.0,0.1646094375,19.36625
0.0,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,32,1,0.03125,0.0,0.09375,-3.0093218446650103,1.7328653187899512,-42.1249060625,8.561683782521866,-45.0789125,-39.1466150625,1.73192084375,0.075,0.0003125,0.0,0.0,0.17053153125,19.3078125
0.1,0.1,enabled_anchor,highest 8-seed P=1 point,32,31,0.96875,0.90625,1.0,0.7443675053387461,0.13333581464387834,-23.57880159375,0.6587811929105905,-23.8057691875,-23.35941809375,0.49663534375,0.3990625,0.0046875,0.21875,0.006618644242811613,1.28605340625,19.42125
0.1,0.9,boundary_proxy,closest current point to 0.5,32,19,0.59375,0.4375,0.75,0.4353655515429082,0.4341842857582431,-25.10550825,2.1452033909928963,-25.87974328125,-24.41944821875,0.64386415625,0.2765625,0.0028125,0.016,0.0,0.16083796875,19.46625
0.1,1.0,edge_max,top of physical c_upd domain,32,24,0.75,0.59375,0.875,0.45947382764659817,0.5439042992492917,-24.986394875,2.687304412889024,-26.03758028125,-24.23904265625,0.61849075,0.2921875,0.0021875,0.016,0.0,0.16034265625,19.3765625
0.1,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,32,1,0.03125,0.0,0.09375,-3.0093218446650103,1.7328653187899512,-42.1249060625,8.561683782521866,-45.057375625,-39.1464376875,1.73192084375,0.075,0.0003125,0.0,0.0,0.17053153125,19.481875
0.2,0.8,enabled_anchor,highest 8-seed P=1 point,32,29,0.90625,0.78125,1.0,0.7064260151814487,0.16315335110763896,-23.76626165625,0.8061026930920356,-24.0480736875,-23.51205403125,0.5360558125,0.348125,0.001875,0.032,0.0,0.15608246875,19.2665625
