seed,late_g_eff_mean,late_g_raw_mean,late_alpha_g_eff_mean,late_debt_charge_mean,late_margin_mean,late_break_even_alpha_est,late_debt_floor_frac,late_negative_energy_frac,late_debt_level_mean,late_update_u_mean,late_cut_active_frac,late_window_updates
30,0.16041431971153847,0.16041431971153847,0.023099662038461536,0.0,0.023099662038461536,0.0,0.0,0.9967948717948718,0.2890009171878205,0.038461538461538464,1.0,312
31,0.17303555554487182,0.17303555554487182,0.02491711999846154,0.0,0.02491711999846154,0.0,0.0,0.9839743589743589,0.2804677147672115,0.04487179487179487,1.0,312
32,0.17487316189102564,0.17487316189102564,0.02518173531230769,0.0,0.02518173531230769,0.0,0.0,0.9935897435897436,0.2846567342120833,0.041666666666666664,1.0,312
33,0.1806389360897436,0.1806389360897436,0.026012006796923077,0.0,0.026012006796923077,0.0,0.0,0.9935897435897436,0.28598441904391025,0.04487179487179487,1.0,312
34,0.17874573217948717,0.17874573217948717,0.02573938543384615,0.0,0.02573938543384615,0.0,0.0,0.9935897435897436,0.2887885307048077,0.04487179487179487,1.0,312
35,0.17229416961538463,0.17229416961538463,0.024810360424615385,0.0,0.024810360424615385,0.0,0.0,1.0,0.28313454229878204,0.041666666666666664,1.0,312
36,0.17116122682692309,0.17116122682692309,0.024647216663076923,0.0,0.024647216663076923,0.0,0.0,0.9935897435897436,0.28734406273782054,0.041666666666666664,1.0,312
37,0.17566545288461538,0.17566545288461538,0.025295825215384614,0.0,0.025295825215384614,0.0,0.0,0.9935897435897436,0.28397461859166667,0.04487179487179487,1.0,312
38,0.17842904932692308,0.17842904932692308,0.02569378310307692,0.0,0.02569378310307692,0.0,0.0,0.9871794871794872,0.2851093385615385,0.04487179487179487,1.0,312
39,0.1715783992628205,0.1715783992628205,0.024707289493846152,0.0,0.024707289493846152,0.0,0.0,1.0,0.28403588238108973,0.041666666666666664,1.0,312
40,0.17030251294871795,0.17030251294871795,0.024523561864615382,0.0,0.024523561864615382,0.0,0.0,0.9903846153846154,0.286055786716,0.041666666666666664,1.0,312
41,0.17347200592948717,0.17347200592948717,0.02497996885384615,0.0,0.02497996885384615,0.0,0.0,0.9935897435897436,0.2777942845955128,0.041666666666666664,1.0,312
