condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,0.0,0.6,30,23.696014084000126,none,0.0,0.0,0.0,4000000,100.0,-25.200225830078125,26.0,0.0,0.0,0.6724503040313721,0.6602495312690735,0.17999999225139618,0.25999999046325684,0.988691508769989,0.9745728969573975,4.0,104.0,4.0,4.0,0.0007999999797903001,1.0,0.3999999761581421,0.0,0.0,0.0,0.19475676119327545,-27.64298439025879,0.8301824863468795,1.0
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,0.0,0.6,31,11.294543825999426,none,0.0,0.0,0.0,4000000,100.0,-28.074459075927734,26.0,0.0,0.0,0.7787419557571411,0.7710180282592773,0.17000000178813934,0.17000000178813934,1.1142163276672363,1.1020680665969849,4.0,104.0,4.0,4.0,0.0007999999797903001,1.0,0.3999999761581421,0.0,0.0,0.0,0.12513065338134766,-28.243717193603516,-0.33020869032897554,0.0
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,0.0,0.6,32,11.520605144000001,none,0.0,0.0,0.0,4000000,100.0,-23.69355583190918,26.0,0.0,0.0,0.5224872827529907,0.5165317058563232,0.3799999952316284,0.4899999797344208,0.7688555121421814,0.7803881764411926,4.0,104.0,4.0,4.0,0.0007999999797903001,1.0,0.3999999761581421,0.0,0.0,0.0,0.13567014038562775,-26.595474243164062,1.4384583020142592,1.0
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,0.0,0.6,33,11.777663591999953,none,0.0,0.0,0.0,4000000,100.0,-25.31313705444336,26.0,0.0,0.0,0.6782103776931763,0.6750922203063965,0.2199999988079071,0.20999999344348907,1.0120171308517456,1.0005384683609009,4.0,104.0,4.0,4.0,0.0007999999797903001,1.0,0.3999999761581421,0.0,0.0,0.0,0.12514762580394745,-27.03207778930664,0.7845977417231507,1.0
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,0.0,0.6,34,11.3077816240002,none,0.0,0.0,0.0,4000000,100.0,-25.09524154663086,26.0,0.0,0.0,0.6352347731590271,0.6314126253128052,0.25999999046325684,0.32999998331069946,0.9319955110549927,0.9219871163368225,4.0,104.0,4.0,4.0,0.0007999999797903001,1.0,0.3999999761581421,0.0,0.0,0.0,0.12436751276254654,-26.623798370361328,0.8725669505784294,1.0
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,0.0,0.6,35,11.12916601500001,none,0.0,0.0,0.0,4000000,100.0,-25.02705955505371,26.0,0.0,0.0,0.6345498561859131,0.6325442790985107,0.28999999165534973,0.26999998092651367,0.9339840412139893,0.9441099166870117,4.0,104.0,4.0,4.0,0.0007999999797903001,1.0,0.3999999761581421,0.0,0.0,0.0,0.15113097429275513,-27.983919143676758,0.9000935201595712,1.0
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,0.0,0.6,36,11.41837096600102,none,0.0,0.0,0.0,4000000,100.0,-29.639108657836914,26.0,0.0,0.0,0.9431816935539246,0.9289813041687012,0.11999999731779099,0.14000000059604645,1.2892141342163086,1.2662476301193237,4.0,104.0,4.0,4.0,0.0007999999797903001,1.0,0.3999999761581421,0.0,0.0,0.0,0.1815364807844162,-29.332767486572266,-0.9618921391439633,0.0
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,0.0,0.6,37,11.466107023001314,none,0.0,0.0,0.0,4000000,100.0,-25.09678077697754,26.0,0.0,0.0,0.5936335325241089,0.5966971516609192,0.3400000035762787,0.3499999940395355,0.8811118602752686,0.8766120076179504,4.0,104.0,4.0,4.0,0.0007999999797903001,1.0,0.3999999761581421,0.0,0.0,0.0,0.20343489944934845,-27.021425247192383,0.8719455294339422,1.0
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,0.0,0.6,38,11.640995810999812,none,0.0,0.0,0.0,4000000,100.0,-24.877288818359375,26.0,0.0,0.0,0.6845898628234863,0.6811196208000183,0.1899999976158142,0.2199999988079071,0.9488860964775085,0.9430826306343079,4.0,104.0,4.0,4.0,0.0007999999797903001,1.0,0.3999999761581421,0.0,0.0,0.0,0.22033630311489105,-28.268869400024414,0.9605592605914957,1.0
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,0.0,0.6,39,11.28686016500069,none,0.0,0.0,0.0,4000000,100.0,-25.976640701293945,26.0,0.0,0.0,0.7065731883049011,0.7028197646141052,0.25,0.22999998927116394,1.0055104494094849,1.0083268880844116,4.0,104.0,4.0,4.0,0.0007999999797903001,1.0,0.3999999761581421,0.0,0.0,0.0,0.14593753218650818,-26.97374725341797,0.516726726519551,1.0
