condition,phase,family,metric_horizon,alpha,c_upd,total_timesteps,n_seeds,runtime_sec_mean,runtime_sec_sd,support_total_mean,support_total_sd,borrow_limit_mean,borrow_limit_sd,borrow_interest_mean,borrow_interest_sd,total_timesteps_mean,total_timesteps_sd,eval_done_count_mean,eval_done_count_sd,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_len_end_mean_mean,eval_len_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_CSR_pre_mean,eval_CSR_pre_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,eval_dbar_pre_mean_mean,eval_dbar_pre_mean_sd,eval_occupied_post_mean_mean,eval_occupied_post_mean_sd,eval_occupied_pre_mean_mean,eval_occupied_pre_mean_sd,eval_max_tilde_post_mean_mean,eval_max_tilde_post_mean_sd,eval_max_tilde_pre_mean_mean,eval_max_tilde_pre_mean_sd,eval_episodes_per_env_mean,eval_episodes_per_env_sd,eval_t_eval_mean,eval_t_eval_sd,eval_done_per_env_min_mean,eval_done_per_env_min_sd,eval_done_per_env_max_mean,eval_done_per_env_max_sd,mean_update_fraction_mean,mean_update_fraction_sd,final_executed_updates_mean,final_executed_updates_sd,final_energy_mean,final_energy_sd,total_support_injected_mean,total_support_injected_sd,total_debt_charge_mean,total_debt_charge_sd,max_debt_level_mean,max_debt_level_sd,final_vartd_mean,final_vartd_sd,train_final_return_end_mean_mean,train_final_return_end_mean_sd,I_R_full_anchor_compat_mean,I_R_full_anchor_compat_sd,above_R_THRESH_FULL_anchor_mean,above_R_THRESH_FULL_anchor_sd
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,0.0,0.6,4000000,32,11.835757395312555,2.176619821252735,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,100.0,0.0,-25.88889068365097,2.5783757920602395,26.0,0.0,0.0018749999580904841,0.005350610336984656,0.0012499999720603228,0.004212117601722992,0.6844168454408646,0.15191976190463807,0.6800044775009155,0.1490391302717938,0.2390624945401214,0.0886951778727431,0.2515624922234565,0.09850853127494996,0.9865590408444405,0.19083641104103477,0.9830197021365166,0.18528173208989124,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.0007999999797903001,0.0,1.0,0.0,0.3999999761581421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15869230846874416,0.02468529444066217,-27.550857186317444,0.6809614338882473,0.5521533385988221,1.0409470155498541,0.71875,0.45680340939917435
anchor_fragile_full_probe__base__t4m__a0p00__c0p58,baseline_4m,base,long4m,0.0,0.58,4000000,32,11.783259590374996,2.1520941029328973,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,100.0,0.0,-25.88889068365097,2.5783757920602395,26.0,0.0,0.0018749999580904841,0.005350610336984656,0.0012499999720603228,0.004212117601722992,0.6844168454408646,0.15191976190463807,0.6800044775009155,0.1490391302717938,0.2390624945401214,0.0886951778727431,0.2515624922234565,0.09850853127494996,0.9865590408444405,0.19083641104103477,0.9830197021365166,0.18528173208989124,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.0007999999797903001,0.0,1.0,0.0,0.42000001668930054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15869230846874416,0.02468529444066217,-27.550857186317444,0.6809614338882473,0.5521533385988221,1.0409470155498541,0.71875,0.45680340939917435
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,4000000,32,11.731720200562506,2.336866799460333,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,100.0,0.0,-23.861319065093994,0.5406206351728313,26.0,0.0,0.0024999999441206455,0.005080004966460658,0.004999999888241291,0.0067202149001139595,0.49750006292015314,0.021126951703248787,0.4989517582580447,0.021549274249743487,0.39249999169260263,0.0632965342933165,0.40187498833984137,0.07226463053350879,0.7189239747822285,0.03378896883536942,0.7205248959362507,0.03581481282905708,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.01207499991869554,0.0005124262164393718,15.09375,0.640532792341279,0.5209992650197819,0.29230833050296096,0.0,0.0,0.0,0.0,0.0,0.0,0.29817934427410364,0.03259065287060661,-25.145486414432526,0.6420625186630505,1.370728595025664,0.21826044072425785,1.0,0.0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,4000000,32,12.178518614468885,2.2121145300307794,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,100.0,0.0,-26.696049749851227,3.044107394711932,26.0,0.0,0.0009374999790452421,0.002961445744609518,0.0012499999720603228,0.0033601074500569797,0.8015934061259031,0.24212992202929,0.7829698231071234,0.21980107535064636,0.20156249403953552,0.10773651515160401,0.21093749220017344,0.1071134225066327,1.1037630010396242,0.2703566668160292,1.0834255907684565,0.24622411621522247,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.1623500008136034,0.01876049335305479,202.9375,23.45061729705432,0.5845116246491671,0.27907218846752946,0.0,0.0,0.0,0.0,0.0,0.0,2.6213737167418003,1.021774953338884,-24.608876705169678,1.6789816748067419,0.22628547107443847,1.2289731067505287,0.40625,0.49899091723584604
