condition,phase,family,metric_horizon,authoritative_source,comparison_kind,stage_d_seed_match_available,stage_d_seed_exact_match,stage_d_seed_match_condition,stage_d_eval_return_end_mean_max_abs_diff,stage_d_eval_dbar_post_mean_max_abs_diff,stage_d_eval_CSR_post_max_abs_diff,stage_d_mean_update_fraction_max_abs_diff,stage_d_final_executed_updates_max_abs_diff,stage_d_final_energy_max_abs_diff,stage_d_final_vartd_max_abs_diff,note
anchor_short_fail_probe__base__t4m__a0p00__c0p60,baseline_4m,base,long4m,none,new_long_horizon_fact,1,0,disabled_short,10.399011611938477,0.6884475350379946,0.019999999552965164,0.0072000004001893,0.0,0.0,0.07947024703025815,No matched authoritative short/full baseline row exists for this condition.
anchor_fragile_full_probe__base__t4m__a0p00__c0p58,baseline_4m,base,long4m,none,new_long_horizon_fact,1,0,fragile_full,10.399011611938477,0.6884475350379946,0.019999999552965164,0.0024051282671279997,0.0,5.551115123125783e-17,0.06850583106279365,No matched authoritative short/full baseline row exists for this condition.
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,none,new_long_horizon_fact,0,0,,,,,,,,,No matched authoritative short/full baseline row exists for this condition.
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,none,new_long_horizon_fact,1,0,enabled_full,8.196643829345703,0.9285480976104736,0.0399999991059303,0.03893846273422244,202.0,0.7927703112363815,4.097766637802124,No matched authoritative short/full baseline row exists for this condition.
