run_dir,alpha,c_upd,candidate_type,stageB_classification,stageB_in_domain_bracket_lo,stageB_in_domain_bracket_hi_or_gateoff,seed,eval_return_end_mean,I_R_full,learned_R_full_0p5,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_executed_updates_mean,final_energy,final_VarTD,wall_seconds
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed55,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,55,-25.549818,0.689044438487303,1,0.589931,0.27,0.0,0.003205,1.0,0.48,0.118932,21.32
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed56,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,56,-23.205069,1.635671179740262,1,0.573247,0.28,0.0,0.003205,1.0,0.48,0.150122,21.39
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed57,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,57,-24.288401,1.19830622474719,1,0.610295,0.34,0.0,0.003205,1.0,0.48,0.16779,21.01
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed58,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,58,-23.813358,1.3900915318504363,1,0.517587,0.42,0.02,0.003205,1.0,0.48,0.144278,21.33
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed59,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,59,-24.065752,1.2881945229459442,1,0.613349,0.24,0.0,0.003205,1.0,0.48,0.133877,20.98
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed60,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,60,-35.292194,-3.2441670246335064,0,1.181441,0.03,0.0,0.003205,1.0,0.48,0.171083,21.19
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed61,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,61,-24.407141,1.1503682752027502,1,0.613476,0.29,0.0,0.003205,1.0,0.48,0.168705,21.18
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed30,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,30,-25.200226,0.8301824177456811,1,0.67245,0.18,0.0,0.003205,1.0,0.46,0.153091,21.19
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed31,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,31,-28.074459,-0.3302086596752796,0,0.778742,0.17,0.0,0.003205,1.0,0.46,0.163497,21.16
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed32,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,32,-23.693556,1.4384582341522976,1,0.522487,0.38,0.0,0.003205,1.0,0.46,0.18601,21.34
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed33,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,33,-25.313137,0.7845977637031318,1,0.67821,0.22,0.0,0.003205,1.0,0.46,0.163067,21.03
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed34,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,34,-25.095242,0.8725667675433364,1,0.635235,0.26,0.0,0.003205,1.0,0.46,0.170927,21.68
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed35,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,35,-25.02706,0.9000933405249688,1,0.63455,0.29,0.0,0.003205,1.0,0.46,0.156915,21.61
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed36,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,36,-29.639109,-0.9618922772827271,0,0.943182,0.12,0.0,0.003205,1.0,0.46,0.156775,21.5
