alpha,c_upd,candidate_type,stageB_classification,n_seeds,successes_R_full_0p5,P_learn_R_full_0p5,bootstrap95_P_learn_lo,bootstrap95_P_learn_hi,mean_I_R_full,std_I_R_full,mean_eval_return_end_mean,std_eval_return_end_mean,bootstrap95_mean_return_lo,bootstrap95_mean_return_hi,mean_eval_dbar_post,mean_eval_occupied_post_mean,mean_eval_CSR_mean,mean_update_fraction,std_mean_update_fraction,mean_final_executed_updates,mean_final_energy,mean_final_VarTD,mean_wall_seconds
0.5,0.950,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.4311643907512146,0.30686936466100273,-23.7116225,0.7601006865357992,-23.97485334375,-23.45074740625,0.49990175,0.385,0.0040625,0.06670703125,0.00263009959929615,20.8125,0.58990821875,0.69394075,21.634687500000002
0.5,1.000,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.3785564501249934,0.2548247630649582,-23.84192984375,0.6311887065232736,-24.064922625,-23.62797059375,0.50246334375,0.376875,0.0046875,0.06089715625,0.0018206016749056746,19.0,0.5044328125,0.51465284375,21.7275
0.6,0.900,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.5445525892306362,0.28330988207234475,-23.430765375,0.7017449790188577,-23.66528096875,-23.1911421875,0.495243125,0.37625000000000003,0.0040625,0.08904250000000001,0.0030173563305990977,27.78125,0.60147178125,1.49209471875,21.67
0.6,0.950,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.51379584919288,0.2534662099335865,-23.50694834375,0.6278236356274162,-23.717247718750002,-23.28870928125,0.49797084375,0.386875,0.0053125,0.0830325625,0.0031904959159221825,25.90625,0.5463285625,1.2410221875,21.6775
0.6,1.000,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.4495544069889135,0.24729184661931256,-23.6660713125,0.6125300340673988,-23.86700478125,-23.44727675,0.5022888437499999,0.376875,0.005625,0.07522034375,0.003254692885857281,23.46875,0.5300851875,0.9485265,21.6815625
0.7,0.900,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.4757951885018372,0.29965695222561817,-23.60107415625,0.7422358871291485,-23.84806925,-23.33663109375,0.4965218125,0.3940625,0.0040625,0.1088739375,0.003773486186004626,33.96875,0.51406728125,2.454228375,21.7253125
0.7,0.950,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.5096837388249764,0.3116339775879086,-23.51713384375,0.7719024040543245,-23.78697646875,-23.25361059375,0.49037603125,0.38875,0.0034375,0.09845759375,0.003661905073199053,30.71875,0.6039345,1.95230125,21.678125
0.7,1.000,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.4673973168434442,0.24790613240502052,-23.62187528125,0.6140515904728797,-23.8315855,-23.41163509375,0.49065121875,0.40499999999999997,0.0059375,0.090044125,0.003392158868673839,28.09375,0.55341934375,1.54028753125,21.66
0.8,0.900,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.5310404304362795,0.31139576282801296,-23.46423434375,0.7713123575283715,-23.72788371875,-23.19699825,0.48559653125,0.3965625,0.005,0.12720343750000002,0.00463645311416375,39.6875,0.562356875,3.43246178125,21.6271875
0.8,0.950,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.5231615686335476,0.2742172050381254,-23.48374990625,0.679222854453594,-23.70616425,-23.2431086875,0.491218125,0.4053125,0.0071875,0.1164864375,0.0047895258970537345,36.34375,0.52040471875,2.8702628125,21.7375
0.8,1.000,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.5493749727487667,0.3113729139606711,-23.4188205625,0.7712557619807113,-23.6732933125,-23.14472371875,0.48854140625,0.40125,0.00625,0.1035655625,0.0041857412411546915,32.3125,0.6400119375,2.1932061875,21.65
0.9,0.900,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.5640344463679567,0.26906110075480916,-23.38250975,0.6664514316368253,-23.60655621875,-23.149000875,0.48874965625,0.3959375,0.0053125,0.145533,0.0047370554621634815,45.40625,0.58784390625,4.36696978125,21.7515625
0.9,0.950,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.55282350293829,0.23381641685009583,-23.41027871875,0.5791520413496779,-23.606950375,-23.21295640625,0.48923559375,0.3990625,0.0046875,0.13131,0.004568102945001243,40.96875,0.5819845,3.62835915625,21.7115625
0.9,1.000,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.5094129549139437,0.2801713800927817,-23.5178045625,0.6939710602635749,-23.75742665625,-23.28527859375,0.48728290625,0.4046875,0.004375,0.1203928125,0.0030391674203424472,37.5625,0.58507040625,3.10537040625,21.7909375
1.0,0.900,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.6344942418141342,0.24210376504622483,-23.20798421875,0.599679405038776,-23.41653784375,-23.01018959375,0.48842515625,0.409375,0.0065625,0.164062625,0.0045648083996819,51.1875,0.5910030625,5.123532,21.7240625
1.0,0.950,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.6010434270627785,0.3241463433215474,-23.29084028125,0.8028949333829926,-23.56451346875,-23.01004903125,0.48880846875,0.4,0.0025,0.14733584375,0.005050151464412533,45.96875,0.6680875625,4.4581900625,21.7028125
1.0,1.000,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.5569999312663318,0.23515117179397385,-23.39993390625,0.5824581652774264,-23.5923599375,-23.19282740625,0.48825078125,0.396875,0.006875,0.1343149375,0.005777415310793145,41.90625,0.66887865625,3.77196584375,21.716875
