update,update_u_mean,update_u_q25,update_u_q75,update_u_std,update_counter_mean,update_counter_q25,update_counter_q75,update_counter_std,energy_E_pre_mean,energy_E_pre_q25,energy_E_pre_q75,energy_E_pre_std,energy_E_post_mean,energy_E_post_q25,energy_E_post_q75,energy_E_post_std,funding_z_mean,funding_z_q25,funding_z_q75,funding_z_std,funding_g_mean,funding_g_q25,funding_g_q75,funding_g_std,funding_g_raw_mean,funding_g_raw_q25,funding_g_raw_q75,funding_g_raw_std,funding_cut_active_mean,funding_cut_active_q25,funding_cut_active_q75,funding_cut_active_std,funding_income_mean,funding_income_q25,funding_income_q75,funding_income_std,funding_alpha_eff_mean,funding_alpha_eff_q25,funding_alpha_eff_q75,funding_alpha_eff_std,episode_return_end_mean_mean,episode_return_end_mean_q25,episode_return_end_mean_q75,episode_return_end_mean_std,terminal_min_dists_end_mean_mean,terminal_min_dists_end_mean_q25,terminal_min_dists_end_mean_q75,terminal_min_dists_end_mean_std,terminal_dbar_end_mean,terminal_dbar_end_q25,terminal_dbar_end_q75,terminal_dbar_end_std,terminal_occupied_end_mean_mean,terminal_occupied_end_mean_q25,terminal_occupied_end_mean_q75,terminal_occupied_end_mean_std,terminal_CSR_train_mean,terminal_CSR_train_q25,terminal_CSR_train_q75,terminal_CSR_train_std,vartd_VarTD_mean,vartd_VarTD_q25,vartd_VarTD_q75,vartd_VarTD_std,depr_F_mean,depr_F_q25,depr_F_q75,depr_F_std,depr_F_post_mean,depr_F_post_q25,depr_F_post_q75,depr_F_post_std,env_steps_mean,env_steps_q25,env_steps_q75,env_steps_std
396,0.0,0.0,0.0,0.0,2.25,2.0,3.0,0.672021505032247,0.41327688,0.3429914489388466,0.4942479729652405,0.13235816,0.4157933,0.3429914489388466,0.49912742525339127,0.13146117,1.0066512,0.9762875586748123,1.0390111804008484,0.03898182,0.043907043,0.0,0.10561179928481579,0.05404725,0.09886985,0.09140918962657452,0.10561179928481579,0.009045091,0.40625,0.0,1.0,0.49899092,0.002516403,0.0,0.005981599446386099,0.00316617,0.046519652,0.03912525996565819,0.05699477344751358,0.011815981,-26.893782,-27.475928783416748,-26.377461910247803,0.7769667,2.2146769,2.1478755474090576,2.2858701944351196,0.08576172,0.73822564,0.7159585505723953,0.7619567364454269,0.028587239,0.1675,0.14400000870227814,0.20000000298023224,0.034956194,0.00075,0.0,0.0,0.0023691568,0.15172352,0.13697128370404243,0.16477004438638687,0.01748053,0.96499926,0.4949996769428253,1.2474990487098694,0.518493,0.96999925,0.49999967217445374,1.2524990439414978,0.518493,1270400.0,1270400.0,1270400.0,0.0
397,0.0,0.0,0.0,0.0,2.25,2.0,3.0,0.672021505032247,0.4157933,0.3429914489388466,0.49912742525339127,0.13146117,0.41829515,0.3479645401239395,0.5052002668380737,0.13090706,1.0155762,0.9786693751811981,1.0395317077636719,0.049324136,0.046792783,0.0,0.10503487847745419,0.053993277,0.09707311,0.09130080230534077,0.10503487847745419,0.010802894,0.4375,0.0,1.0,0.5040161,0.0025018496,0.0,0.005358533700928092,0.0029855412,0.0464035,0.03902756702154875,0.056852471083402634,0.011786479,-27.131332,-27.838762760162354,-26.401997566223145,0.8805453,2.2343123,2.1531155705451965,2.2870153188705444,0.10851526,0.74477077,0.7177052199840546,0.7623384743928909,0.036171753,0.155,0.12600000575184822,0.17800001427531242,0.037838366,0.00025,0.0,0.0,0.0014142137,0.15242808,0.13853803649544716,0.16267908737063408,0.022556799,0.96999925,0.49999967217445374,1.2524990439414978,0.518493,0.97499925,0.5049996972084045,1.2574990391731262,0.518493,1273600.0,1273600.0,1273600.0,0.0
398,0.0,0.0,0.0,0.0,2.25,2.0,3.0,0.672021505032247,0.41829515,0.3479645401239395,0.5052002668380737,0.13090706,0.42039657,0.3479645401239395,0.5106780976057053,0.13149107,1.0085224,0.9852060526609421,1.0352883636951447,0.040879942,0.04037791,0.0,0.10346512123942375,0.05315915,0.098484084,0.09219594858586788,0.10346512123942375,0.009480956,0.375,0.0,1.0,0.4918694,0.002101423,0.0,0.004504046868532896,0.0028901154,0.046287637,0.03893012274056673,0.05671050772070885,0.01175705,-26.941269,-27.30308437347412,-26.569599628448486,0.74113744,2.2187936,2.1674965620040894,2.2776798605918884,0.08993768,0.7395979,0.722498893737793,0.7592266499996185,0.029979223,0.16475001,0.14400000870227814,0.19200000166893005,0.03918443,0.00025,0.0,0.0,0.0014142137,0.1495105,0.14021016657352448,0.15873314067721367,0.014572797,0.97499925,0.5049996972084045,1.2574990391731262,0.518493,0.97999924,0.509999692440033,1.2624990344047546,0.518493,1276800.0,1276800.0,1276800.0,0.0
399,0.0,0.0,0.0,0.0,2.25,2.0,3.0,0.672021505032247,0.42039657,0.3479645401239395,0.5106780976057053,0.13149107,0.42315835,0.3492018133401871,0.5163098871707916,0.13134338,1.0024091,0.9797170162200928,1.0220717787742615,0.031989995,0.055823315,0.0,0.10478125885128975,0.053379033,0.09970779,0.0950451921671629,0.10478125885128975,0.007320951,0.53125,0.0,1.0,0.50700736,0.0027617828,0.0,0.005186207708902657,0.0027945305,0.04617206,0.038832918740808964,0.05656891316175461,0.0117276935,-26.95293,-27.451865196228027,-26.577369689941406,0.67295283,2.2053442,2.155420422554016,2.2486027479171753,0.0703794,0.7351147,0.7184734791517258,0.7495342791080475,0.023459803,0.155,0.1420000083744526,0.17600001394748688,0.032112706,0.0,0.0,0.0,0.0,0.15058754,0.14038430899381638,0.16023875027894974,0.017027203,0.97999924,0.509999692440033,1.2624990344047546,0.518493,0.98499924,0.5149996876716614,1.267499029636383,0.518493,1280000.0,1280000.0,1280000.0,0.0
400,0.0625,0.0,0.0,0.2459347,2.3125,2.0,3.0,0.7378040652569472,0.42315835,0.3492018133401871,0.5163098871707916,0.13134338,0.3891233,0.31690043210983276,0.49094579368829727,0.16022594,1.0062747,0.9893153607845306,1.0291708409786224,0.046434246,0.04403966,0.0,0.10249323584139347,0.054376934,0.099117994,0.09350444935262203,0.10249323584139347,0.01078898,0.40625,0.0,1.0,0.49899092,0.00221496,0.0,0.004902483313344419,0.0028151073,0.046056774,0.03873595502227545,0.056427665054798126,0.01169841,-27.11926,-27.689457416534424,-26.670286655426025,0.718441,2.2138486,2.1765372157096863,2.2642211318016052,0.10215739,0.73794955,0.7255124449729919,0.7547404170036316,0.034052465,0.16200002,0.13600000739097595,0.18400001525878906,0.03363562,0.0,0.0,0.0,0.0,0.1518052,0.140356183052063,0.1626930795609951,0.019510614,0.98499924,0.5149996876716614,1.267499029636383,0.518493,0.92984307,0.4574997127056122,1.2412490546703339,0.5618276,1283200.0,1283200.0,1283200.0,0.0
401,0.0,0.0,0.0,0.0,2.3125,2.0,3.0,0.7378040652569472,0.3891233,0.31690043210983276,0.49094579368829727,0.16022594,0.39114514,0.31803303211927414,0.4962901175022125,0.1599012,1.0168995,0.9905646294355392,1.0360834896564484,0.04392751,0.039413247,0.0,0.10219676606357098,0.05178107,0.09665079,0.09202789887785912,0.10219676606357098,0.009472733,0.375,0.0,1.0,0.4918694,0.0020218515,0.0,0.00436489237472415,0.0027954078,0.04761531,0.03924600034952164,0.058074734173715115,0.013189992,-27.194721,-27.518330574035645,-26.64057683944702,0.63980436,2.2372234,2.1792856454849243,2.2794291377067566,0.096642464,0.7457411,0.7264285534620285,0.7598097324371338,0.032214157,0.16325001,0.13600000739097595,0.17800001427531242,0.0355954,0.0,0.0,0.0,0.0,0.15436064,0.14243532344698906,0.16327892243862152,0.01828528,0.92984307,0.4574997127056122,1.2412490546703339,0.5618276,0.93484306,0.4624997079372406,1.2462490499019623,0.5618276,1286400.0,1286400.0,1286400.0,0.0
402,0.0,0.0,0.0,0.0,2.3125,2.0,3.0,0.7378040652569472,0.39114514,0.31803303211927414,0.4962901175022125,0.1599012,0.3937022,0.31803303211927414,0.5028277933597565,0.159654,1.008525,0.9780149310827255,1.0346304774284363,0.03503337,0.04618691,0.0,0.10519260913133621,0.05326241,0.09836331,0.09233670122921467,0.10519260913133621,0.007846769,0.4375,0.0,1.0,0.5040161,0.0025570698,0.0,0.005780877196229994,0.0030467997,0.04749642,0.03914800751954317,0.05792973004281521,0.013157058,-27.104485,-27.517807006835938,-26.621450901031494,0.7241756,2.2187994,2.151675820350647,2.2762325406074524,0.07707497,0.7395998,0.7172253131866455,0.7587441951036453,0.025691655,0.16450001,0.14400000870227814,0.1860000118613243,0.034119338,0.001,0.0,0.0,0.0026880861,0.15760517,0.13633595407009125,0.1729925498366356,0.025165513,0.93484306,0.4624997079372406,1.2462490499019623,0.5618276,0.93984306,0.467499703168869,1.2512490451335907,0.56182766,1289600.0,1289600.0,1289600.0,0.0
403,0.03125,0.0,0.0,0.17677669,2.34375,2.0,3.0,0.745280852019624,0.3937022,0.31803303211927414,0.5028277933597565,0.159654,0.379179,0.30211130529642105,0.498015932738781,0.16875488,0.98687017,0.9690395891666412,1.0040468573570251,0.03343702,0.07051819,0.0,0.10741223581135273,0.05210513,0.10336651,0.09907367825508118,0.10741223581135273,0.007995019,0.65625,0.0,1.0,0.4825587,0.0036017895,0.0,0.006006416166201234,0.0029639264,0.047377825,0.0390502605587244,0.057785083539783955,0.013124208,-26.776207,-26.976563453674316,-26.472678184509277,0.6808838,2.1711576,2.131929636001587,2.208947241306305,0.07356292,0.72371924,0.7106432318687439,0.7363157570362091,0.02452097,0.1703125,0.13749999925494194,0.21249999478459358,0.044828303,0.000625,0.0,0.0,0.0024593468,0.14647403,0.13612207397818565,0.15691003948450089,0.01790676,0.93984306,0.467499703168869,1.2512490451335907,0.56182766,0.90687436,0.44999971985816956,1.2562490403652191,0.58361423,1292800.0,1292800.0,1292800.0,0.0
404,0.0,0.0,0.0,0.0,2.34375,2.0,3.0,0.745280852019624,0.379179,0.30211130529642105,0.498015932738781,0.16875488,0.38191774,0.30272939801216125,0.5038432329893112,0.16763812,1.0058624,0.977581188082695,1.0300166308879852,0.040653795,0.047000773,0.0,0.1052977554500103,0.0542562,0.09907712,0.09332250989973545,0.1052977554500103,0.009229219,0.4375,0.0,1.0,0.5040161,0.0027387221,0.0,0.0063739706529304385,0.0032444263,0.048298158,0.038952757604420185,0.05829169228672981,0.013777993,-27.009743,-27.44818687438965,-26.63818359375,0.78447694,2.2129412,2.150721549987793,2.2660818696022034,0.08944016,0.7376471,0.7169072031974792,0.7553606480360031,0.029813386,0.15875001,0.1340000070631504,0.17800001427531242,0.03691927,0.00025,0.0,0.0,0.0014142137,0.15340441,0.14504686370491982,0.163673747330904,0.016868524,0.90687436,0.44999971985816956,1.2562490403652191,0.58361423,0.91187435,0.454999715089798,1.2612490355968475,0.58361423,1296000.0,1296000.0,1296000.0,0.0
405,0.0,0.0,0.0,0.0,2.34375,2.0,3.0,0.745280852019624,0.38191774,0.30272939801216125,0.5038432329893112,0.16763812,0.38480714,0.307264544069767,0.5103026777505875,0.16639295,1.0022281,0.9587149173021317,1.0310722291469574,0.04569423,0.051249254,0.0,0.10997284390032291,0.05557228,0.100021146,0.09309545159339905,0.10997284390032291,0.010475155,0.46875,0.0,1.0,0.50700736,0.0028894085,0.0,0.006224085460416973,0.003279939,0.048177563,0.03885549493134022,0.05814614146947861,0.013743591,-26.894361,-27.371154308319092,-26.125948905944824,0.922955,2.204946,2.1092149019241333,2.268404245376587,0.10052932,0.734982,0.7030716389417648,0.7561347782611847,0.033509772,0.16175,0.13600000739097595,0.18400001525878906,0.035062157,0.00025,0.0,0.0,0.0014142137,0.1561326,0.14166917651891708,0.1679847314953804,0.02055796,0.91187435,0.454999715089798,1.2612490355968475,0.58361423,0.91687435,0.4599997103214264,1.266249030828476,0.58361423,1299200.0,1299200.0,1299200.0,0.0
