condition,horizon_label,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_post,funding_z,funding_g,funding_income,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0
disabled_short,short,0.0,0.6,32,25,0.0,1,16,0.39999998,0.39999998,1.0318304,0.09293292,0.0,-27.012754,26.000002,2.2700722,0.75669074,0.120000005,0.0,125,0.13473211,,,,,
disabled_short,short,0.0,0.6,32,26,0.0,1,16,0.39999998,0.39999998,1.0279588,0.09376511,0.0,-27.999763,26.0,2.2615545,0.75385153,0.12,0.0,100,0.13770898,,,,,
disabled_short,short,0.0,0.6,32,27,0.0,1,16,0.39999998,0.39999998,1.0355095,0.09214898,0.0,-27.887346,26.000002,2.2781663,0.7593888,0.17600001,0.0,125,0.1690538,,,,,
disabled_short,short,0.0,0.6,32,28,0.0,1,16,0.39999998,0.39999998,1.0228418,0.0948764,0.0,-27.665546,26.000002,2.2502968,0.75009894,0.16000001,0.0,125,0.13629755,,,,,
disabled_short,short,0.0,0.6,32,29,0.0,1,16,0.39999998,0.39999998,0.9930995,0.101601586,0.0,-26.74596,26.000002,2.1848626,0.7282876,0.224,0.0,125,0.15046898,,,,,
disabled_short,short,0.0,0.6,32,30,0.0,1,16,0.39999998,0.39999998,1.043778,0.090411164,0.0,-27.00512,26.000002,2.2963574,0.7654525,0.17600001,0.0,125,0.16142939,,,,,
disabled_short,short,0.0,0.6,32,31,0.0,1,16,0.39999998,0.39999998,1.0317154,0.09295754,0.0,-26.627323,26.000002,2.2698193,0.75660646,0.16800001,0.0,125,0.13945769,,,,,
disabled_short,short,0.0,0.6,32,32,0.0,1,16,0.39999998,0.39999998,1.048437,0.089446425,0.0,-26.928959,26.000002,2.3066075,0.76886916,0.136,0.0,125,0.17824538,,,,,
disabled_short,short,0.0,0.6,32,33,0.0,1,16,0.39999998,0.39999998,1.0355309,0.092144415,0.0,-26.726997,26.000002,2.2782135,0.75940454,0.128,0.0,125,0.15323707,,,,,
disabled_short,short,0.0,0.6,32,34,0.0,1,16,0.39999998,0.39999998,1.0293148,0.0934728,0.0,-26.787685,26.000002,2.2645378,0.754846,0.14400001,0.0,125,0.12513387,,,,,
