condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,18,0.0,1,16,0.16611771,0.17438334,0.17438334,1.0827245,0.08265623,0.008265623,0.0,0.0,0.0,0.0,-28.688948,26.000002,2.3820415,0.79401386,0.17600001,0.0,125,0.18750508,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,19,0.0,1,16,0.17438334,0.18367785,0.18367785,1.0317734,0.09294511,0.009294511,0.0,0.0,0.0,0.0,-26.5932,26.000002,2.2699468,0.75664896,0.14400001,0.0,125,0.1669637,,,,,,-26.574673,0.0,0.66981983,1
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,20,0.0,1,16,0.18367785,0.1939392,0.1939392,0.98879564,0.10261347,0.0102613475,0.0,0.0,0.0,0.0,-26.447033,26.000002,2.1753938,0.7251313,0.16800001,0.0,125,0.1688117,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,21,0.0,1,16,0.1939392,0.20437773,0.20437773,0.9813607,0.104385294,0.01043853,0.0,0.0,0.0,0.0,-25.984526,26.000002,2.1590366,0.7196789,0.16800001,0.0,125,0.13968824,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,22,0.0,1,16,0.20437773,0.21359825,0.21359825,1.0352443,0.09220525,0.009220525,0.0,0.0,0.0,0.0,-27.884672,26.000002,2.2775831,0.7591944,0.14400001,0.0,125,0.20526816,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,23,0.0,1,16,0.21359825,0.22339718,0.22339718,1.0088212,0.09798933,0.009798933,0.0,0.0,0.0,0.0,-26.804142,26.000002,2.2194512,0.7398171,0.17600001,0.0,125,0.15702856,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,24,0.0,1,16,0.22339718,0.2320738,0.2320738,1.0616492,0.086766236,0.008676624,0.0,0.0,0.0,0.0,-27.522299,26.000002,2.335675,0.7785584,0.136,0.0,125,0.15978053,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,25,0.0,1,16,0.2320738,0.24147843,0.24147843,1.0266582,0.09404632,0.009404632,0.0,0.0,0.0,0.0,-27.369333,26.000002,2.258693,0.7528977,0.112,0.0,125,0.14761585,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,26,0.0,1,16,0.24147843,0.24997123,0.24997123,1.0709491,0.084928,0.0084928,0.0,0.0,0.0,0.0,-28.599663,26.0,2.356135,0.78537834,0.16,0.0,100,0.19601794,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,27,0.0,1,16,0.24997123,0.26005208,0.26005208,0.9965019,0.100808725,0.010080873,0.0,0.0,0.0,0.0,-27.041615,26.000002,2.192348,0.7307827,0.120000005,0.0,125,0.14096855,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,28,0.0,1,16,0.26005208,0.26922092,0.26922092,1.0376862,0.09168827,0.009168827,0.0,0.0,0.0,0.0,-27.589272,26.000002,2.2829552,0.7609851,0.16800001,0.0,125,0.14833176,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,29,0.0,1,16,0.26922092,0.27858308,0.27858308,1.0286238,0.093621634,0.009362164,0.0,0.0,0.0,0.0,-27.927961,26.000002,2.2630177,0.7543392,0.072000004,0.0,125,0.14951716,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,30,0.0,1,16,0.27858308,0.28714237,0.28714237,1.0675622,0.08559289,0.008559289,0.0,0.0,0.0,0.0,-28.09503,26.000002,2.3486838,0.7828946,0.17600001,0.0,125,0.1679172,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,31,0.0,1,16,0.28714237,0.2971171,0.2971171,1.0010976,0.0997476,0.00997476,0.0,0.0,0.0,0.0,-27.131008,26.000002,2.2024586,0.7341529,0.192,0.008,125,0.1702487,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,32,0.0,1,16,0.2971171,0.3056378,0.3056378,1.069525,0.08520693,0.0085206935,0.0,0.0,0.0,0.0,-28.28085,26.000002,2.353002,0.78433406,0.16800001,0.0,125,0.16582401,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,33,0.0,1,16,0.3056378,0.31387472,0.31387472,1.0842351,0.0823692,0.00823692,0.0,0.0,0.0,0.0,-28.283413,26.000002,2.3853648,0.7951216,0.120000005,0.0,125,0.16850695,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,34,0.0,1,16,0.31387472,0.32289037,0.32289037,1.0450026,0.090156585,0.009015659,0.0,0.0,0.0,0.0,-27.941505,26.000002,2.2990515,0.7663505,0.120000005,0.0,125,0.15246697,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,35,0.0,1,16,0.32289037,0.33121178,0.33121178,1.0798031,0.08321408,0.008321408,0.0,0.0,0.0,0.0,-28.007517,26.000002,2.3756144,0.7918715,0.120000005,0.0,125,0.18499202,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,36,0.0,1,16,0.33121178,0.33884025,0.33884025,1.1175631,0.0762846,0.0076284604,0.0,0.0,0.0,0.0,-29.805294,26.000002,2.458688,0.8195627,0.15200001,0.0,125,0.20736347,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,37,0.0,1,16,0.33884025,0.3473589,0.3473589,1.0696281,0.08518672,0.008518673,0.0,0.0,0.0,0.0,-27.163067,26.000002,2.3532288,0.78440964,0.16800001,0.0,125,0.13965745,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,38,0.0,1,16,0.3473589,0.35678238,0.35678238,1.0257894,0.094234645,0.009423465,0.0,0.0,0.0,0.0,-28.309856,26.000002,2.2567816,0.75226057,0.2,0.0,125,0.16752976,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,39,0.0,1,16,0.35678238,0.36523584,0.36523584,1.0729657,0.084534556,0.008453456,0.0,0.0,0.0,0.0,-27.989319,26.0,2.3605719,0.7868573,0.11,0.0,100,0.14542665,,,,,,-26.574673,0.0,0.66981983,1
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,40,0.0,1,16,0.36523584,0.37460166,0.37460166,1.0284536,0.093658336,0.009365833,0.0,0.0,0.0,0.0,-27.499983,26.000002,2.262643,0.7542144,0.16800001,0.0,125,0.15374807,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,41,0.0,1,16,0.37460166,0.3836941,0.3836941,1.0413185,0.090924606,0.00909246,0.0,0.0,0.0,0.0,-27.530642,26.000002,2.2909465,0.76364887,0.128,0.0,125,0.15946859,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,42,0.0,1,16,0.3836941,0.3924632,0.3924632,1.0570451,0.087690964,0.008769097,0.0,0.0,0.0,0.0,-28.062716,26.000002,2.3255458,0.77518195,0.136,0.0,125,0.1612801,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,43,0.0,1,16,0.3924632,0.40150544,0.40150544,1.0437243,0.09042233,0.009042233,0.0,0.0,0.0,0.0,-26.542759,26.000002,2.2962394,0.76541317,0.15200001,0.0,125,0.15863678,,,,,,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,44,1.0,2,32,0.40150544,-0.58904535,-0.58904535,1.0246048,0.094492026,0.009449203,0.0,0.0,0.0,0.58904535,-28.298906,26.000002,2.2541757,0.7513919,0.16800001,0.0,125,0.14192247,-0.0005219127,49.423294,1.6087048,24.695038,1.0,,,,0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,45,0.0,2,32,-0.58904535,-0.59171367,-0.59171367,1.0403591,0.0911257,0.0091125695,0.0,0.0117809065,0.58904535,0.59171367,-27.997833,26.000002,2.2888358,0.7629453,0.15200001,0.0,125,0.16363071,,,,,,,,,0
