update,update_u_mean,update_u_q25,update_u_q75,update_u_std,update_counter_mean,update_counter_q25,update_counter_q75,update_counter_std,energy_E_pre_mean,energy_E_pre_q25,energy_E_pre_q75,energy_E_pre_std,energy_E_post_mean,energy_E_post_q25,energy_E_post_q75,energy_E_post_std,funding_z_mean,funding_z_q25,funding_z_q75,funding_z_std,funding_g_mean,funding_g_q25,funding_g_q75,funding_g_std,funding_g_raw_mean,funding_g_raw_q25,funding_g_raw_q75,funding_g_raw_std,funding_cut_active_mean,funding_cut_active_q25,funding_cut_active_q75,funding_cut_active_std,funding_income_mean,funding_income_q25,funding_income_q75,funding_income_std,funding_alpha_eff_mean,funding_alpha_eff_q25,funding_alpha_eff_q75,funding_alpha_eff_std,episode_return_end_mean_mean,episode_return_end_mean_q25,episode_return_end_mean_q75,episode_return_end_mean_std,terminal_min_dists_end_mean_mean,terminal_min_dists_end_mean_q25,terminal_min_dists_end_mean_q75,terminal_min_dists_end_mean_std,terminal_dbar_end_mean,terminal_dbar_end_q25,terminal_dbar_end_q75,terminal_dbar_end_std,terminal_occupied_end_mean_mean,terminal_occupied_end_mean_q25,terminal_occupied_end_mean_q75,terminal_occupied_end_mean_std,terminal_CSR_train_mean,terminal_CSR_train_q25,terminal_CSR_train_q75,terminal_CSR_train_std,vartd_VarTD_mean,vartd_VarTD_q25,vartd_VarTD_q75,vartd_VarTD_std,depr_F_mean,depr_F_q25,depr_F_q75,depr_F_std,depr_F_post_mean,depr_F_post_q25,depr_F_post_q75,depr_F_post_std,env_steps_mean,env_steps_q25,env_steps_q75,env_steps_std
304,0.0,0.0,0.0,0.0,1.9166666666666667,2.0,2.0,0.28867513459481287,0.18814577,0.10550576634705067,0.2574939653277397,0.13442513,0.18945123,0.10777493193745613,0.2574939653277397,0.13429137,1.0091078,0.9927350282669067,1.0384421646595001,0.031248441,0.043515127,0.0,0.10169732198119164,0.053829316,0.0981567,0.09152908995747566,0.10169732198119164,0.0070363516,0.41666666,0.0,1.0,0.51492864,0.0013054538,0.0,0.0030509195057675242,0.0016148795,0.03,0.029999999329447746,0.029999999329447746,0.0,-27.017023,-27.676308631896973,-26.371493339538574,0.8051604,2.2200816,2.1840606331825256,2.284618318080902,0.06874793,0.7400272,0.7280202507972717,0.7615394592285156,0.022915969,0.164,0.14000000804662704,0.17600001022219658,0.04028986,0.0,0.0,0.0,0.0,0.15285842,0.13832798227667809,0.15666335448622704,0.025397819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976000.0,976000.0,976000.0,0.0
305,0.0,0.0,0.0,0.0,1.9166666666666667,2.0,2.0,0.28867513459481287,0.18945123,0.10777493193745613,0.2574939653277397,0.13429137,0.19047274,0.10777493193745613,0.2574939653277397,0.13414057,1.0341449,0.9963968098163605,1.0655000805854797,0.047395784,0.034050327,0.0,0.10083330050110817,0.050308302,0.09293107,0.08600110560655594,0.10083330050110817,0.009738413,0.33333334,0.0,1.0,0.49236596,0.0010215098,0.0,0.003024999052286148,0.0015092491,0.03,0.029999999329447746,0.029999999329447746,0.0,-27.391745,-27.91224193572998,-26.79099702835083,0.9618604,2.2751644,2.1921167373657227,2.3441470861434937,0.10427281,0.7583881,0.7307056039571762,0.7813823819160461,0.034757603,0.16133334,0.15000000968575478,0.17000001296401024,0.03671347,0.0,0.0,0.0,0.0,0.15775856,0.14708572253584862,0.1723836213350296,0.01707898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979200.0,979200.0,979200.0,0.0
306,0.0,0.0,0.0,0.0,1.9166666666666667,2.0,2.0,0.28867513459481287,0.19047274,0.10777493193745613,0.2574939653277397,0.13414057,0.19155025,0.10777493193745613,0.25839047878980637,0.13396698,1.0223104,0.9904637038707733,1.0583598911762238,0.045991298,0.035916824,0.0,0.10222146287560463,0.05322032,0.09549541,0.08742591366171837,0.10222146287560463,0.010538388,0.33333334,0.0,1.0,0.49236596,0.0010775047,0.0,0.00306664383970201,0.0015966096,0.03,0.029999999329447746,0.029999999329447746,0.0,-27.218447,-27.610616207122803,-26.669005870819092,0.92151105,2.2491279,2.1790636777877808,2.3284382820129395,0.1011829,0.7497093,0.726354569196701,0.7761460989713669,0.033727635,0.14733334,0.12000000476837158,0.1680000089108944,0.037283517,0.0,0.0,0.0,0.0,0.14916904,0.14288059994578362,0.15310882776975632,0.014247619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982400.0,982400.0,982400.0,0.0
307,0.0,0.0,0.0,0.0,1.9166666666666667,2.0,2.0,0.28867513459481287,0.19155025,0.10777493193745613,0.25839047878980637,0.13396698,0.19236559,0.11016260646283627,0.25839047878980637,0.13352133,1.0126011,0.9975117295980453,1.0271851420402527,0.03714448,0.0271777,0.0,0.026529746130108833,0.049180325,0.0974643,0.0939343310892582,0.10062343999743462,0.008269157,0.25,0.0,0.25,0.45226702,0.000815331,0.0,0.0007958923815749586,0.0014754097,0.03,0.029999999329447746,0.029999999329447746,0.0,-27.022444,-27.33560609817505,-26.693633556365967,0.68480426,2.227767,2.1945695877075195,2.2598525285720825,0.08171949,0.742589,0.7315232008695602,0.7532841861248016,0.027239822,0.16133334,0.14000000804662704,0.18200001120567322,0.04091084,0.0006666667,0.0,0.0,0.0023094013,0.149631,0.13527360558509827,0.15825878828763962,0.017504813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985600.0,985600.0,985600.0,0.0
308,0.0,0.0,0.0,0.0,1.9166666666666667,2.0,2.0,0.28867513459481287,0.19236559,0.11016260646283627,0.25839047878980637,0.13352133,0.19294305,0.11016260646283627,0.25839047878980637,0.13369693,1.021643,1.0077004134654999,1.056015431880951,0.046772733,0.01924928,0.0,0.0,0.044957682,0.09565711,0.08791406638920307,0.09824253618717194,0.010661917,0.16666667,0.0,0.0,0.38924947,0.0005774784,0.0,0.0,0.0013487304,0.03,0.029999999329447746,0.029999999329447746,0.0,-27.05497,-27.65423583984375,-26.469584941864014,0.8667092,2.2476597,2.216985285282135,2.3232803344726562,0.10290207,0.7492199,0.7389951348304749,0.7744268029928207,0.03430069,0.15933333,0.12600000575184822,0.19200000166893005,0.040714826,0.0006666667,0.0,0.0,0.0023094013,0.1560223,0.14626047387719154,0.16074830666184425,0.018987847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988800.0,988800.0,988800.0,0.0
309,0.0,0.0,0.0,0.0,1.9166666666666667,2.0,2.0,0.28867513459481287,0.19294305,0.11016260646283627,0.25839047878980637,0.13369693,0.19373359,0.11016260646283627,0.26156656444072723,0.13391316,1.017985,1.003967672586441,1.0337466299533844,0.029638408,0.026351532,0.0,0.025407785549759865,0.04769209,0.096149735,0.09252381138503551,0.09910121001303196,0.0066289892,0.25,0.0,0.25,0.45226702,0.0007905459,0.0,0.0007622335688211024,0.0014307627,0.03,0.029999999329447746,0.029999999329447746,0.0,-27.093443,-27.609581470489502,-26.678516387939453,0.6960686,2.2396114,2.2087729573249817,2.2742879390716553,0.06520579,0.7465372,0.7362576574087143,0.7580960094928741,0.02173526,0.15266667,0.12600000575184822,0.18400001525878906,0.035688896,0.0,0.0,0.0,0.0,0.1492068,0.1354001946747303,0.15915871411561966,0.01805469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992000.0,992000.0,992000.0,0.0
310,0.0,0.0,0.0,0.0,1.9166666666666667,2.0,2.0,0.28867513459481287,0.19373359,0.11016260646283627,0.26156656444072723,0.13391316,0.19450952,0.11016260646283627,0.26156656444072723,0.1335837,1.0248041,1.0064620971679688,1.0416808128356934,0.031318948,0.02586441,0.0,0.025349315255880356,0.04680001,0.09467321,0.09085419587790966,0.09853672981262207,0.0067918086,0.25,0.0,0.25,0.45226702,0.0007759323,0.0,0.0007604794227518141,0.0014040003,0.03,0.029999999329447746,0.029999999329447746,0.0,-27.435965,-27.83826971054077,-26.797595500946045,0.6397172,2.254614,2.2142608761787415,2.291743516921997,0.06890306,0.75153804,0.738086998462677,0.7639145255088806,0.022967678,0.14733334,0.12000000476837158,0.17000001296401024,0.043075692,0.0,0.0,0.0,0.0,0.15368278,0.138118714094162,0.1615503430366516,0.021551847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995200.0,995200.0,995200.0,0.0
311,0.0,0.0,0.0,0.0,1.9166666666666667,2.0,2.0,0.28867513459481287,0.19450952,0.11016260646283627,0.26156656444072723,0.1335837,0.1955653,0.11016260646283627,0.26156656444072723,0.1339366,1.0113926,0.9815163612365723,1.0344949066638947,0.029745368,0.035191964,0.0,0.10434789769351482,0.051990494,0.09762105,0.09236817434430122,0.10434789769351482,0.0067120744,0.33333334,0.0,1.0,0.49236596,0.0010557589,0.0,0.0031304368749260902,0.0015597148,0.03,0.029999999329447746,0.029999999329447746,0.0,-27.199514,-27.53454303741455,-27.081007957458496,0.42829123,2.2251084,2.1593791246414185,2.275934338569641,0.06544114,0.7417028,0.7197930812835693,0.7586448043584824,0.021813713,0.16200002,0.12800000607967377,0.19200000166893005,0.03738741,0.0,0.0,0.0,0.0,0.15532623,0.14983287081122398,0.1631728895008564,0.01517665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998400.0,998400.0,998400.0,0.0
312,0.0,0.0,0.0,0.0,1.9166666666666667,2.0,2.0,0.28867513459481287,0.1955653,0.11016260646283627,0.26156656444072723,0.1339366,0.19659047,0.11093349196016788,0.2645984962582588,0.13377762,1.0146501,0.992663562297821,1.0280416905879974,0.028059848,0.034172457,0.0,0.10170453041791916,0.050477818,0.09686466,0.09374750219285488,0.10170453041791916,0.0060861954,0.33333334,0.0,1.0,0.49236596,0.0010251737,0.0,0.0030511358636431396,0.0015143345,0.03,0.029999999329447746,0.029999999329447746,0.0,-27.223028,-27.66603708267212,-26.8342227935791,0.70423865,2.2322748,2.183903455734253,2.2617369890213013,0.061732884,0.7440916,0.7279678285121918,0.7539123594760895,0.02057763,0.14583333,0.11999999731779099,0.16249999776482582,0.037284732,0.0008333333,0.0,0.0,0.0028867512,0.15484263,0.13850568607449532,0.1725710891187191,0.019131772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001600.0,1001600.0,1001600.0,0.0
313,0.0,0.0,0.0,0.0,1.9166666666666667,2.0,2.0,0.28867513459481287,0.19659047,0.11093349196016788,0.2645984962582588,0.13377762,0.19740945,0.11433279886841774,0.2669691666960716,0.13351567,1.0190195,0.9957453012466431,1.0446350574493408,0.04124206,0.0272993,0.0,0.02634071558713913,0.04944206,0.0961175,0.09023932740092278,0.10101510211825371,0.00934165,0.25,0.0,0.25,0.45226702,0.000818979,0.0,0.0007902214420028031,0.0014832617,0.03,0.029999999329447746,0.029999999329447746,0.0,-27.246826,-27.754812717437744,-26.817601203918457,0.78792894,2.2418876,2.1906834840774536,2.29824298620224,0.090734325,0.74729586,0.7302278429269791,0.7660810053348541,0.030244775,0.17,0.14000000804662704,0.1940000019967556,0.04080998,0.0,0.0,0.0,0.0,0.15487951,0.1458752565085888,0.16267308220267296,0.017256584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004800.0,1004800.0,1004800.0,0.0
