n_seeds,late_window_updates,rho_mean,rho_sd,p_active_mean,p_active_sd,p_sustained_mean,p_sustained_sd,p_bursty_mean,p_bursty_sd,late_update_count_mean,late_update_count_sd,active_blocks_mean,active_blocks_sd,chi_rho,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,final_update_counter_mean,final_update_counter_sd,final_energy_E_post_mean,final_energy_E_post_sd,final_depr_F_post_mean,final_depr_F_post_sd,final_vartd_VarTD_mean,final_vartd_VarTD_sd,alpha,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,total_timesteps
32,313,0.0033945686900958465,0.002137427100067622,0.8125,0.39655776945626603,0.0,0.0,0.8125,0.39655776945626603,1.0625,0.6690146823211658,1.0625,0.6690146823211658,4.568594608103484e-06,-24.48200488090515,1.4406113462326195,0.0015624999650754035,0.0036890202438287054,0.5878699477761984,0.09498043750635586,3.90625,1.1460837947184006,0.3059609546326101,0.16303342087275843,0.0,0.0,0.14869780535809696,0.02349810657106735,0.03,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.004093450479233226,0.0021826812709423078,0.875,0.3360107525161235,0.0,0.0,0.875,0.3360107525161235,1.28125,0.6831792378049423,1.28125,0.6831792378049423,4.764097530522327e-06,-24.355299651622772,1.6920374625068362,0.0024999999441206455,0.005080004966460658,0.5653862943872809,0.1182844709299831,4.40625,1.3406636536648797,0.2829692598897964,0.17066017652285226,0.0,0.0,0.14924338972195983,0.023258953928050084,0.031,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.003893769968051118,0.0017657171719179029,0.9375,0.24593468841898236,0.0,0.0,0.9375,0.24593468841898236,1.21875,0.5526694748103036,1.21875,0.5526694748103036,3.1177571312057566e-06,-24.347411453723907,1.8623705248534304,0.002187499951105565,0.004908435683438705,0.5744030587375164,0.12742518933379207,4.28125,1.1425600852415145,0.2869483481044881,0.17599223432733221,0.0,0.0,0.14868366392329335,0.02329642274795728,0.032,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.00439297124600639,0.002259127096442644,0.875,0.3360107525161235,0.0,0.0,0.875,0.3360107525161235,1.375,0.7071067811865476,1.375,0.7071067811865476,5.10365523788137e-06,-24.259557366371155,1.3671133029897775,0.0018749999580904841,0.004709290643337998,0.5659053176641464,0.09533162174836617,4.65625,1.4942767157477248,0.31584264105185866,0.15529114944303862,0.0,0.0,0.14771119598299265,0.0231440226463007,0.033,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.004692492012779553,0.0022930328498120774,0.875,0.3360107525161235,0.0,0.0,0.875,0.3360107525161235,1.46875,0.7177192819911804,1.46875,0.7177192819911804,5.257999650317298e-06,-24.371490359306335,1.9908409953151807,0.002812499937135726,0.004568033991888224,0.5563744176179171,0.12450399555396727,4.8125,1.490561704039248,0.30268707731738687,0.18148059841392222,0.0,0.0,0.14774192706681788,0.02145507222434611,0.034,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.004792332268370607,0.0021470335624033453,0.9375,0.24593468841898236,0.03125,0.1767766952966369,0.90625,0.29614458108029906,1.5,0.672021505032247,1.5,0.672021505032247,4.609753118086399e-06,-24.36831307411194,1.5046145225730179,0.0015624999650754035,0.0036890202438287054,0.5684905238449574,0.09653758007393946,4.8125,1.490561704039248,0.30584840942174196,0.16824590925209512,0.0,0.0,0.1489358248654753,0.02161457601231751,0.035,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.00509185303514377,0.002125357962938206,0.96875,0.1767766952966369,0.0625,0.24593468841898236,0.90625,0.29614458108029906,1.59375,0.6652370423996586,1.59375,0.6652370423996586,4.517146470624842e-06,-24.343296468257904,1.7242469385079329,0.002812499937135726,0.005811209837949301,0.5577706536278129,0.10892913688642175,5.25,1.5862310778250641,0.28702592762419954,0.16518667419736258,0.0,0.0,0.14677007519640028,0.019820792302629328,0.036,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.00509185303514377,0.0022750126659760537,0.90625,0.29614458108029906,0.03125,0.1767766952966369,0.875,0.3360107525161235,1.59375,0.7120789644505048,1.59375,0.7120789644505048,5.1756826303514705e-06,-24.78131091594696,1.954593409646744,0.0018749999580904841,0.003965577605925092,0.5856703817844391,0.12709659834194786,5.3125,1.6546610607029015,0.2739412858936703,0.17321345669482133,0.0,0.0,0.14949282864108682,0.021740087626580334,0.037,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.005491214057507987,0.0024660028081848534,0.9375,0.24593468841898236,0.125,0.3360107525161235,0.8125,0.39655776945626603,1.71875,0.7718588789618592,1.71875,0.7718588789618592,6.0811698499755834e-06,-24.172368466854095,1.4056754639385667,0.0012499999720603228,0.0033601074500569797,0.5566772390156984,0.08663557999786979,5.34375,1.7340866332490148,0.2501536567142466,0.1775885411802194,0.0,0.0,0.14826554036699235,0.022228954780607955,0.038,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.006190095846645367,0.002426039349960495,0.96875,0.1767766952966369,0.21875,0.42001344064515445,0.75,0.43994134506405985,1.9375,0.759350316537635,1.9375,0.759350316537635,5.885666927556741e-06,-24.2334486246109,1.8412559791933913,0.002187499951105565,0.004908435683438706,0.5547666596248746,0.10802935980087491,5.875,1.7367006167610077,0.24746925540966913,0.16944674327094011,0.0,0.0,0.14932203385978937,0.023000410884958127,0.039,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.006589456869009584,0.002426039349960495,0.9375,0.24593468841898236,0.25,0.43994134506405985,0.6875,0.47092907485988494,2.0625,0.759350316537635,2.0625,0.759350316537635,5.885666927556741e-06,-24.532499194145203,2.0570451621480665,0.002812499937135726,0.005226714758417806,0.5712129799649119,0.16153051915671143,6.09375,1.8379402040187236,0.2674838664242998,0.15287602296842953,0.0,0.0,0.14815621520392597,0.023022846678330256,0.04,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.00648961661341853,0.0030884437324549697,0.90625,0.29614458108029906,0.375,0.4918693768379647,0.53125,0.5070073486774164,2.03125,0.9666828882584055,2.03125,0.9666828882584055,9.538484688540384e-06,-24.433131098747253,2.0421092362699023,0.003124999930150807,0.005922891489219036,0.5712081035599113,0.14010395375876786,6.09375,2.204970557919158,0.2939469559205463,0.17838618832610884,0.0,0.0,0.14915055665187538,0.0220053472382252,0.041,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.006888977635782747,0.002938196295164139,0.9375,0.24593468841898236,0.4375,0.5040161287741853,0.5,0.508000508000762,2.15625,0.9196554403863755,2.15625,0.9196554403863755,8.632997468916271e-06,-24.65959519147873,2.658421164847064,0.002187499951105565,0.006082430935743279,0.5855980953201652,0.19613733449715107,6.4375,2.139301966349259,0.2560264876228757,0.15384232222408825,0.0,0.0,0.1489225123077631,0.02075960003057729,0.042,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.006988817891373802,0.003083442200861433,0.96875,0.1767766952966369,0.53125,0.5070073486774164,0.4375,0.5040161287741853,2.1875,0.9651174088696285,2.1875,0.9651174088696285,9.507615806053198e-06,-24.251489400863647,2.410584680639181,0.002812499937135726,0.005226714758417806,0.5631829043850303,0.17078972777345974,6.625,2.2824717784355713,0.3274180919979699,0.15781185459897845,0.0,0.0,0.1514237893279642,0.021047898658552427,0.043,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.007388178913738019,0.003083442200861433,0.9375,0.24593468841898236,0.59375,0.49899091723584604,0.34375,0.48255870443481425,2.3125,0.9651174088696285,2.3125,0.9651174088696285,9.507615806053198e-06,-24.27078914642334,2.379435120153632,0.003124999930150807,0.005350610336984656,0.5488553754985332,0.16318052003259337,7.0,2.3827335887250825,0.27349772094748914,0.146758545306035,0.0,0.0,0.15187405981123447,0.02137009399089169,0.044,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.007687699680511181,0.002794606818366044,0.96875,0.1767766952966369,0.5625,0.5040161287741853,0.40625,0.49899091723584604,2.40625,0.8747119341485718,2.40625,0.8747119341485718,7.809827269257982e-06,-24.204940676689148,1.4362152229175142,0.00468749989522621,0.006213603563294888,0.5490240631625056,0.09252464260965942,7.0625,2.3270845667154343,0.27332501963246614,0.15651834027900804,0.0,0.0,0.15052834432572126,0.02158007938919804,0.045,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.008386581469648562,0.0027816901115666863,0.96875,0.1767766952966369,0.65625,0.48255870443481425,0.3125,0.47092907485988494,2.625,0.8706690049203728,2.625,0.8706690049203728,7.737799876787884e-06,-24.36152720451355,1.8462271909111576,0.0018749999580904841,0.003965577605925092,0.5484236190095544,0.11532667337590546,7.46875,1.9835513117768375,0.25014027339057066,0.16649456303313567,0.0,0.0,0.15047068730928004,0.019024711167449474,0.046,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.007987220447284345,0.002811126805521149,0.9375,0.24593468841898236,0.5625,0.5040161287741853,0.375,0.4918693768379647,2.5,0.8798826901281197,2.5,0.8798826901281197,7.902433916719541e-06,-24.20606631040573,2.1517715026365347,0.0015624999650754035,0.004478893052328246,0.5448183175176382,0.14224807651819973,7.5625,2.3546453742994244,0.3029963885201141,0.19351788296627276,0.0,0.0,0.15508930035866797,0.018192099468380563,0.047,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
32,313,0.007787539936102236,0.0029188716255538296,0.9375,0.24593468841898236,0.59375,0.49899091723584604,0.34375,0.48255870443481425,2.4375,0.9136068187983487,2.4375,0.9136068187983487,8.519811566463256e-06,-24.318971872329712,2.3508139898983833,0.002187499951105565,0.004200134312571224,0.5555038116872311,0.15857929356469147,7.71875,2.3587089825826606,0.3679192503914237,0.18673543224140032,0.0,0.0,0.15474518132396042,0.021501401988692142,0.048,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,4000000
