mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,19,0.0,2,0.09765053,0.10512916,1.016441,0.096285075,0.096285075,1.0,0.007478631,0.07767176,-27.446133,2.2362149,0.74540496,0.14400001,0.0,0.1649876,0.435,0.465,64000
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,20,0.0,2,0.10512916,0.11298826,0.9818612,0.10426506,0.10426506,1.0,0.007859104,0.075376205,-27.327347,2.1601377,0.7200459,0.16000001,0.0,0.1455071,0.465,0.495,67200
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,21,0.0,2,0.11298826,0.12104916,0.9578221,0.11019905,0.11019905,1.0,0.008060897,0.07314851,-26.355072,2.1072507,0.7024169,0.224,0.008,0.13985503,0.495,0.525,70400
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,22,0.0,2,0.12104916,0.12823644,0.9946115,0.10124848,0.10124848,1.0,0.0071872897,0.07098664,-26.446268,2.188189,0.72939634,0.16800001,0.0,0.1312951,0.525,0.55499995,73600
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,23,0.0,2,0.12823644,0.12823644,1.0694726,0.0,0.08521724,0.0,0.0,0.06888867,-28.765188,2.3528867,0.78429556,0.15200001,0.0,0.20855938,0.55499995,0.5849999,76800
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,24,0.0,2,0.12823644,0.13541394,0.96914524,0.107363015,0.107363015,1.0,0.007177508,0.0668527,-26.53873,2.132162,0.7107207,0.2,0.0,0.13545983,0.5849999,0.6149999,80000
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,25,0.0,2,0.13541394,0.14141028,1.0342046,0.09242626,0.09242626,1.0,0.0059963306,0.064876914,-27.372849,2.2752955,0.75843185,0.2,0.0,0.18522634,0.6149999,0.64499986,83200
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,26,0.0,2,0.14141028,0.1472437,1.033138,0.09265351,0.09265351,1.0,0.00583342,0.062959515,-28.078056,2.272949,0.75764966,0.14999999,0.0,0.17332113,0.64499986,0.67499983,86400
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,27,0.0,2,0.1472437,0.15278389,1.042508,0.090675935,0.090675935,1.0,0.0055401884,0.061098773,-27.243114,2.2935634,0.7645211,0.16000001,0.0,0.16009854,0.67499983,0.7049998,89600
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,28,0.0,2,0.15278389,0.15815938,1.0425853,0.090659805,0.090659805,1.0,0.005375495,0.05929304,-27.968254,2.2937334,0.7645778,0.17600001,0.0,0.18474333,0.7049998,0.7349998,92800
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,29,0.0,2,0.15815938,0.16344567,1.0368232,0.09187065,0.09187065,1.0,0.005286298,0.057540666,-27.818623,2.2810564,0.76035213,0.2,0.0,0.16705598,0.7349998,0.76499975,96000
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,30,0.0,2,0.16344567,0.1686728,1.028682,0.09360909,0.09360909,1.0,0.0052271397,0.055840086,-27.184685,2.2631454,0.75438184,0.2,0.0,0.16789897,0.76499975,0.7949997,99200
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,31,0.0,2,0.1686728,0.1686728,1.0849835,0.0,0.082227394,0.0,0.0,0.054189764,-28.007723,2.3870113,0.79567045,0.080000006,0.0,0.19158317,0.7949997,0.8249997,102400
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,32,0.0,2,0.1686728,0.17395431,0.99812984,0.10043154,0.10043154,1.0,0.0052815154,0.052588213,-27.49126,2.1959295,0.7319765,0.23200001,0.0,0.16209823,0.8249997,0.85499966,105600
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,33,0.0,2,0.17395431,0.17871079,1.0305732,0.09320231,0.09320231,1.0,0.0047564865,0.051034,-27.45597,2.2673063,0.7557688,0.14400001,0.0,0.19149706,0.85499966,0.88499963,108800
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,34,0.0,2,0.17871079,0.17871079,1.0541329,0.0,0.08828096,0.0,0.0,0.049525723,-27.510727,2.3191388,0.77304626,0.14400001,0.0,0.14299984,0.88499963,0.9149996,112000
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,35,0.0,2,0.17871079,0.17871079,1.0521345,0.0,0.08868812,0.0,0.0,0.048062015,-27.818651,2.314742,0.7715807,0.136,0.0,0.15604745,0.9149996,0.9449996,115200
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,36,0.0,2,0.17871079,0.18343398,0.9945372,0.10126582,0.10126582,1.0,0.004723197,0.04664157,-26.43613,2.1880255,0.72934186,0.17600001,0.0,0.15218109,0.9449996,0.97499955,118400
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,37,0.0,2,0.18343398,0.1875256,1.0438484,0.09039651,0.09039651,1.0,0.004091626,0.0452631,-27.553444,2.2965124,0.7655041,0.120000005,0.0,0.1885039,0.97499955,1.0049995,121600
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,38,0.0,2,0.1875256,0.19190136,1.0016619,0.09961806,0.09961806,1.0,0.004375761,0.04392538,-26.99549,2.2037,0.7345667,0.128,0.0,0.14940964,1.0049995,1.0349995,124800
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,39,0.0,2,0.19190136,0.1966669,0.95157427,0.11179586,0.11179586,1.0,0.004765543,0.04262719,-26.200085,2.0935051,0.6978351,0.14,0.0,0.15745465,1.0349995,1.0649995,128000
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,40,0.0,2,0.1966669,0.20058501,1.0235809,0.09471507,0.09471507,1.0,0.003918113,0.041367367,-26.779787,2.251923,0.75064105,0.16000001,0.0,0.14254738,1.0649995,1.0949994,131200
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,41,0.0,2,0.20058501,0.20450169,1.0107105,0.09756398,0.09756398,1.0,0.003916684,0.040144775,-26.58419,2.2236075,0.74120253,0.16000001,0.0,0.16168828,1.0949994,1.1249994,134400
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,42,0.0,2,0.20450169,0.20868807,0.96876127,0.107457995,0.107457995,1.0,0.0041863825,0.038958315,-26.63344,2.1313174,0.71043915,0.24800001,0.0,0.14579073,1.1249994,1.1549994,137600
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,43,0.0,2,0.20868807,0.20868807,1.0609243,0.0,0.08691119,0.0,0.0,0.037806924,-26.96381,2.33408,0.7780267,0.14400001,0.0,0.17094679,1.1549994,1.1849993,140800
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,44,0.0,2,0.20868807,0.21239224,0.99585074,0.100959964,0.100959964,1.0,0.0037041774,0.03668957,-27.242992,2.1909153,0.73030514,0.216,0.0,0.15493122,1.1849993,1.2149993,144000
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,45,0.0,2,0.21239224,0.21565592,1.0378065,0.09166287,0.09166287,1.0,0.0032636772,0.035605226,-27.988157,2.2832198,0.7610733,0.136,0.0,0.17009647,1.2149993,1.2449993,147200
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,46,0.0,2,0.21565592,0.2191116,0.99995035,0.100011446,0.100011446,1.0,0.0034556887,0.03455293,-26.810581,2.1999347,0.7333116,0.17600001,0.0,0.14971212,1.2449993,1.2749993,150400
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,47,0.0,2,0.2191116,0.22267698,0.97335106,0.10632832,0.10632832,1.0,0.0035653738,0.03353174,-26.144339,2.141415,0.7138051,0.17600001,0.0,0.14541459,1.2749993,1.3049992,153600
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,48,0.0,2,0.22267698,0.22590636,1.0033083,0.09924112,0.09924112,1.0,0.0032293787,0.03254073,-26.745667,2.2073224,0.73577416,0.128,0.0,0.13832532,1.3049992,1.3349992,156800
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,49,0.0,2,0.22590636,0.22893545,1.0180864,0.09592097,0.09592097,1.0,0.003029089,0.031579006,-27.732958,2.2398348,0.7466116,0.17600001,0.0,0.16065821,1.3349992,1.3649992,160000
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,50,0.0,2,0.22893545,0.23175718,1.0358553,0.09207564,0.09207564,1.0,0.002821723,0.030645708,-27.395338,2.278927,0.75964236,0.136,0.0,0.14624172,1.3649992,1.3949991,163200
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,51,0.0,2,0.23175718,0.23175718,1.0689764,0.0,0.085314654,0.0,0.0,0.029739989,-28.329865,2.351795,0.7839317,0.15200001,0.0,0.18929213,1.3949991,1.4249991,166400
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,52,0.0,2,0.23175718,0.23441693,1.0354699,0.09215737,0.09215737,1.0,0.0026597576,0.02886104,-27.027172,2.2780793,0.7593598,0.19,0.0,0.12829296,1.4249991,1.4549991,169600
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,53,0.0,2,0.23441693,0.23719214,1.0039879,0.09908596,0.09908596,1.0,0.0027752062,0.028008068,-27.391928,2.2088175,0.7362725,0.272,0.0,0.1640842,1.4549991,1.4849991,172800
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,54,0.0,2,0.23719214,0.23967281,1.0396839,0.09126748,0.09126748,1.0,0.002480678,0.027180307,-26.492271,2.2873504,0.76245016,0.14400001,0.0,0.1427889,1.4849991,1.514999,176000
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,55,0.0,2,0.23967281,0.2426017,0.9545241,0.11103911,0.11103911,1.0,0.0029288793,0.026377007,-26.333498,2.099995,0.6999983,0.224,0.0,0.1603806,1.514999,1.544999,179200
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,56,0.0,2,0.2426017,0.2426017,1.0650561,0.0,0.08608825,0.0,0.0,0.02559745,-28.3721,2.3431702,0.78105676,0.120000005,0.0,0.17860934,1.544999,1.574999,182400
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,57,0.0,2,0.2426017,0.24498096,1.0187232,0.09578043,0.09578043,1.0,0.0023792752,0.02484093,-26.294655,2.241236,0.74707866,0.104,0.0,0.14105585,1.574999,1.604999,185600
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,58,0.0,2,0.24498096,0.24728854,1.0189813,0.09572352,0.09572352,1.0,0.002307585,0.02410677,-27.59174,2.2418036,0.7472679,0.18400002,0.0,0.16502702,1.604999,1.6349989,188800
hardzero_plus_depr__c0p52__z1p05__lam0p030__nu0p50__psi1p00,hardzero_plus_depr,0.12,30,59,0.0,2,0.24728854,0.24728854,1.0502592,0.0,0.0890719,0.0,0.0,0.023394309,-28.236364,2.3106165,0.7702055,0.192,0.0,0.17556076,1.6349989,1.6649989,192000
