seed,late_g_eff_mean,late_g_raw_mean,late_alpha_g_eff_mean,late_debt_charge_mean,late_margin_mean,late_break_even_alpha_est,late_debt_floor_frac,late_negative_energy_frac,late_debt_level_mean,late_update_u_mean,late_cut_active_frac,late_window_updates
30,0.044442764022435896,0.09916044030128206,0.004399833638221154,0.011999999999999999,-0.007600166361778845,0.27001020894969713,1.0,1.0,0.6,0.0,0.4198717948717949,312
31,0.06764430901282051,0.10231983957371794,0.006696786592269231,0.011999992153846154,-0.005303205561576923,0.17739839949539313,0.9967948717948718,1.0,0.5999996076923076,0.0,0.6346153846153846,312
32,0.08801120747115385,0.10623550709615384,0.00871310953964423,0.011999929038461535,-0.003286819498817305,0.1363454653476329,0.9871794871794872,1.0,0.599996451826923,0.0,0.8108974358974359,312
33,0.09079723557051282,0.10626886218589746,0.00898892632148077,0.011999908897435897,-0.003010982575955126,0.1321616106705893,0.9807692307692307,1.0,0.5999954450641025,0.0,0.8397435897435898,312
34,0.07156328820192308,0.10339736469871795,0.007084765531990385,0.01199991171474359,-0.0049151461827532045,0.16768250895465592,0.9871794871794872,1.0,0.599995585576923,0.0,0.6666666666666666,312
35,0.06820761303525641,0.10258488630769232,0.006752553690490385,0.01199995624679487,-0.005247402556304485,0.1759327985952552,0.9871794871794872,1.0,0.5999978125320512,0.0,0.6378205128205128,312
36,0.027428173467948718,0.09554043376923078,0.002715389173326923,0.011999999999999999,-0.009284610826673076,0.43750634777130304,1.0,1.0,0.6,0.0,0.26282051282051283,312
37,0.0617319929551282,0.10112303860576922,0.006111467302557692,0.01199998448076923,-0.005888517178211538,0.19438841848977384,0.9967948717948718,1.0,0.5999992240384615,0.0,0.5801282051282052,312
38,0.022042926772435897,0.09452055481089744,0.002182249750471154,0.011999999999999999,-0.009817750249528846,0.5443923179478001,1.0,1.0,0.6,0.0,0.21153846153846154,312
39,0.05498639387820513,0.10072673327564104,0.005443652993942308,0.011999999999999999,-0.0065563470060576905,0.21823580623562985,1.0,1.0,0.6,0.0,0.5160256410256411,312
40,0.06265752880128204,0.10203170738141026,0.006203095351326923,0.011999975541666664,-0.005796880190339741,0.19151689782922193,0.9967948717948718,1.0,0.5999987770192308,0.0,0.5865384615384616,312
41,0.06862556008012821,0.10224343022435899,0.006793930447932694,0.011999999999999999,-0.005206069552067305,0.17486196084940686,1.0,1.0,0.6,0.0,0.6442307692307693,312
42,0.07511710774679486,0.10395862610256411,0.007436593666932692,0.011999951862179486,-0.0045633581952467936,0.15974991878852665,0.9935897435897436,1.0,0.5999975930448718,0.0,0.6987179487179487,312
43,0.02380425959294872,0.09454139725,0.0023566216997019233,0.011999999999999999,-0.009643378300298076,0.5041114575794086,1.0,1.0,0.6,0.0,0.22756410256410256,312
44,0.0833611128621795,0.10621316834294871,0.00825275017335577,0.011999710971153845,-0.0037469607977980747,0.14394854578048769,0.9615384615384616,1.0,0.599985549102564,0.0,0.7628205128205128,312
