alpha_transition_guess,alpha_transition_hi,alpha_transition_lo,c_upd,candidate_pass,candidate_pass_profile,chi_peak_alpha,chi_peak_interior,chi_peak_ratio,chi_peak_value,depr_lambda,depr_nu,depr_psi,late_window_updates,left_edge_active_blocks_mean,left_edge_alpha,left_edge_late_update_count_mean,left_edge_p_active,left_edge_p_bursty,left_edge_p_sustained,left_edge_rho,mechanism,mechanism_tag,n_seeds,p_active_span,p_sustained_span,p_sustained_violations,rho_span,rho_violations,right_edge_active_blocks_mean,right_edge_alpha,right_edge_late_update_count_mean,right_edge_p_active,right_edge_p_bursty,right_edge_p_sustained,right_edge_rho,strict_candidate_pass,total_violations,z_cut
0.045,0.05,0.04,0.58,1,strict,0.06,1,3.5714285714285707,1.546562193297385e-05,0.0,0.5,0.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,12,1.0,1.0,0,0.034345047923322686,0,4.0,0.12,10.75,1.0,0.0,1.0,0.034345047923322686,1,0,1.0
0.035,0.04,0.03,0.52,1,strict,0.1,1,2.7777777777777777,5.799608224865194e-06,0.0,0.5,0.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_only,hardzero_only__c0p52__z1p05__lam0p000__nu0p50__psi0p00,12,1.0,1.0,0,0.03966986155484558,0,4.0,0.12,12.416666666666666,1.0,0.0,1.0,0.03966986155484558,1,0,1.05
0.035,0.04,0.03,0.54,1,strict,0.08,1,2.666666666666666,5.258311457211108e-06,0.0,0.5,0.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_only,hardzero_only__c0p54__z1p05__lam0p000__nu0p50__psi0p00,12,1.0,1.0,0,0.03807241746538871,0,4.0,0.12,11.916666666666666,1.0,0.0,1.0,0.03807241746538871,1,0,1.05
0.045,0.05,0.04,0.54,1,strict,0.08,1,2.6486486486486487,1.136723212073578e-05,0.0,0.5,0.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_only,hardzero_only__c0p54__z1p00__lam0p000__nu0p50__psi0p00,12,1.0,1.0,0,0.03647497337593184,0,4.0,0.12,11.416666666666666,1.0,0.0,1.0,0.03647497337593184,1,0,1.0
0.035,0.04,0.03,0.54,1,strict,0.1,1,2.608695652173913,4.639686579892155e-06,0.0,0.5,0.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_only,hardzero_only__c0p54__z1p10__lam0p000__nu0p50__psi0p00,12,1.0,1.0,0,0.03780617678381257,0,4.0,0.12,11.833333333333334,1.0,0.0,1.0,0.03780617678381257,1,0,1.1
0.035,0.04,0.03,0.5,1,strict,0.1,1,2.5783132530120483,8.27410773414101e-06,0.0,0.5,0.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_only,hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,12,1.0,1.0,0,0.0410010649627263,0,4.0,0.12,12.833333333333334,1.0,0.0,1.0,0.0410010649627263,1,0,1.0
0.035,0.04,0.03,0.56,1,strict,0.08,1,1.9999999999999996,3.402436825254246e-06,0.0,0.5,0.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_only,hardzero_only__c0p56__z1p10__lam0p000__nu0p50__psi0p00,12,1.0,1.0,0,0.03567625133120341,0,4.0,0.12,11.166666666666666,1.0,0.0,1.0,0.03567625133120341,1,0,1.1
0.045,0.05,0.04,0.56,1,strict,0.05,1,1.9264705882352942,1.0129982366097872e-05,0.0,0.5,0.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_only,hardzero_only__c0p56__z1p00__lam0p000__nu0p50__psi0p00,12,1.0,1.0,0,0.03407880724174654,0,4.0,0.12,10.666666666666666,1.0,0.0,1.0,0.03407880724174654,1,0,1.0
0.035,0.04,0.03,0.58,1,strict,0.08,1,1.8888888888888886,3.943733592908331e-06,0.0,0.5,0.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_only,hardzero_only__c0p58__z1p10__lam0p000__nu0p50__psi0p00,12,1.0,1.0,0,0.034345047923322686,0,4.0,0.12,10.75,1.0,0.0,1.0,0.034345047923322686,1,0,1.1
0.035,0.04,0.03,0.5,1,strict,0.08,1,1.7288135593220342,3.943733592908332e-06,0.0,0.5,0.0,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,12,1.0,1.0,0,0.042598509052183174,0,4.0,0.12,13.333333333333334,1.0,0.0,1.0,0.042598509052183174,1,0,1.05
