n_seeds,late_window_updates,rho_mean,rho_sd,p_active_mean,p_active_sd,p_sustained_mean,p_sustained_sd,p_bursty_mean,p_bursty_sd,late_update_count_mean,late_update_count_sd,active_blocks_mean,active_blocks_sd,chi_rho,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,final_update_counter_mean,final_update_counter_sd,final_energy_E_post_mean,final_energy_E_post_sd,final_depr_F_post_mean,final_depr_F_post_sd,final_vartd_VarTD_mean,final_vartd_VarTD_sd,alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,support_mode,support_total,support_start_update,support_window_frac,borrow_limit,borrow_interest,total_timesteps,diag_n_seeds,late_g_eff_mean_mean,late_g_eff_mean_sd,late_g_raw_mean_mean,late_g_raw_mean_sd,late_alpha_g_eff_mean_mean,late_alpha_g_eff_mean_sd,late_debt_charge_mean_mean,late_debt_charge_mean_sd,late_margin_mean_mean,late_margin_mean_sd,late_break_even_alpha_est_mean,late_break_even_alpha_est_sd,late_debt_floor_frac_mean,late_debt_floor_frac_sd,late_negative_energy_frac_mean,late_negative_energy_frac_sd,late_debt_level_mean_mean,late_debt_level_mean_sd,late_update_u_mean_mean,late_update_u_mean_sd,late_cut_active_frac_mean,late_cut_active_frac_sd
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.0,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.0,0.0,0.011999999999999999,0.0,-0.011999999999999999,0.0,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.003,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.00011810587663942308,3.483357538570579e-05,0.011999999999999999,0.0,-0.011881894123360576,3.4833575385705705e-05,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.006,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.00023621175327884615,6.966715077141159e-05,0.011999999999999999,0.0,-0.011763788246721151,6.966715077141165e-05,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.009,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.00035431762991826923,0.00010450072615711738,0.011999999999999999,0.0,-0.01164568237008173,0.0001045007261571172,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.012,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.0004724235065576923,0.00013933430154282317,0.011999999999999999,0.0,-0.011527576493442306,0.00013933430154282325,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.015,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.0005905293831971153,0.00017416787692852898,0.011999999999999999,0.0,-0.011409470616802883,0.00017416787692852906,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.018,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.0007086352598365385,0.00020900145231423476,0.011999999999999999,0.0,-0.01129136474016346,0.00020900145231423481,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.021,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.0008267411364759616,0.0002438350276999406,0.011999999999999999,0.0,-0.011173258863524037,0.00024383502769994065,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.024,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.0009448470131153846,0.00027866860308564635,0.011999999999999999,0.0,-0.011055152986884614,0.00027866860308564645,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.025,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.0009842156386618592,0.00029027979488088166,0.011999999999999999,0.0,-0.01101578436133814,0.00029027979488088155,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.027,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.0010629528897548078,0.0003135021784713522,0.011999999999999999,0.0,-0.01093704711024519,0.00031350217847135234,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.028,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000,32,0.03936862554647436,0.011611191795235266,0.09764354145663061,0.002210884998258853,0.0011023215153012822,0.00032511337026658744,0.011999999999999999,0.0,-0.010897678484698716,0.00032511337026658733,0.3447947111128301,0.16871404029754916,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.3738982371794872,0.10828373510094541
