n_seeds,late_window_updates,rho_mean,rho_sd,p_active_mean,p_active_sd,p_sustained_mean,p_sustained_sd,p_bursty_mean,p_bursty_sd,late_update_count_mean,late_update_count_sd,active_blocks_mean,active_blocks_sd,chi_rho,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,final_update_counter_mean,final_update_counter_sd,final_energy_E_post_mean,final_energy_E_post_sd,final_depr_F_post_mean,final_depr_F_post_sd,final_vartd_VarTD_mean,final_vartd_VarTD_sd,alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,support_mode,support_total,support_start_update,support_window_frac,borrow_limit,borrow_interest,total_timesteps,diag_n_seeds,late_g_eff_mean_mean,late_g_eff_mean_sd,late_g_raw_mean_mean,late_g_raw_mean_sd,late_alpha_g_eff_mean_mean,late_alpha_g_eff_mean_sd,late_debt_charge_mean_mean,late_debt_charge_mean_sd,late_margin_mean_mean,late_margin_mean_sd,late_break_even_alpha_est_mean,late_break_even_alpha_est_sd,late_debt_floor_frac_mean,late_debt_floor_frac_sd,late_negative_energy_frac_mean,late_negative_energy_frac_sd,late_debt_level_mean_mean,late_debt_level_mean_sd,late_update_u_mean_mean,late_update_u_mean_sd,late_cut_active_frac_mean,late_cut_active_frac_sd
12,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.188365777333576,1.1169227576231489,0.0016666666294137638,0.003892494633803578,0.5611217866341273,0.03388371721474534,2.8333333333333335,0.38924947208076144,-0.5996476709842682,0.0006966240552461063,0.0,0.0,0.15512831012407938,0.03423831019875491,0.06,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000,12,0.061575339427884616,0.020006182786607752,0.10158436854700854,0.00359150674227243,0.0036945203656730766,0.001200370967196465,0.005991508927270299,8.323947015353297e-06,-0.002296988561597222,0.0012069730151995806,0.11494065127281496,0.06321046482104531,0.42094017094017094,0.18618022324742267,1.0,0.0,0.5991510350186965,0.00083314270848736,0.0,0.0,0.5753205128205129,0.18171332184801156
12,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.489381313323975,0.929127831292868,0.0016666666294137638,0.003892494633803578,0.5793812473615011,0.039229359242226376,2.8333333333333335,0.38924947208076144,-0.5976433455944061,0.0065512782760507,0.0,0.0,0.15375401886800924,0.03357902516959869,0.061,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000,12,0.059712394498130345,0.022068650238694913,0.10127862609401711,0.003851025187337225,0.0036424560643859506,0.0013461876645603898,0.005979473811672009,4.03469713890685e-05,-0.002337017747286058,0.001372806464000337,0.1196935942458361,0.06333071007456612,0.4286858974358974,0.22005157977537917,1.0,0.0,0.5979441294471154,0.004042820672440271,0.0,0.0,0.5579594017094017,0.19969989332011828
12,313,0.0005324813631522896,0.0018445695501265998,0.08333333333333333,0.28867513459481287,0.0,0.0,0.08333333333333333,0.28867513459481287,0.16666666666666666,0.5773502691896257,0.16666666666666666,0.5773502691896257,3.402436825254247e-06,-24.039167563120525,0.8047284951982099,0.0033333332588275275,0.004923659529120939,0.5461762597163519,0.029615536166885205,3.3333333333333335,1.825741858350554,-0.561951624850432,0.12964120043311322,0.0,0.0,0.1556777637451887,0.03245609955354262,0.063,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000,12,0.06369342710229701,0.02701368179305207,0.10305744966639957,0.008392669564554884,0.004012685907444712,0.0017018619529622805,0.005777987717604166,0.0007286007247352287,-0.0017653018101594549,0.002301683432311265,0.11350917340547245,0.06666236934488692,0.4102564102564102,0.2162409093921552,1.0,0.0,0.5777256574449786,0.07311123996062563,0.0005341880341880341,0.0018504816320180314,0.5811965811965812,0.21090767954188297
12,313,0.0005324813631522896,0.0018445695501265998,0.08333333333333333,0.28867513459481287,0.0,0.0,0.08333333333333333,0.28867513459481287,0.16666666666666666,0.5773502691896257,0.16666666666666666,0.5773502691896257,3.402436825254247e-06,-24.39179563522339,1.3272472074983792,0.0008333333147068819,0.0028867512814242076,0.5788541634877523,0.0793785891951362,3.4166666666666665,2.1087839379532696,-0.5643356802562872,0.12010201567378091,0.0,0.0,0.1576816930125157,0.0312997028759791,0.064,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000,12,0.061319541076923084,0.028808616726734185,0.10297333493055555,0.009202463781416637,0.003924450628923077,0.001843751470510988,0.005781799631258012,0.000688848434012866,-0.0018573490023349355,0.00241594996357103,0.1190215371128563,0.06616716261897652,0.42628205128205127,0.24037878780814975,1.0,0.0,0.5780973125053418,0.0691792146577187,0.0005341880341880341,0.0018504816320180314,0.5566239316239318,0.22175618680736925
12,313,0.0005324813631522896,0.0018445695501265998,0.08333333333333333,0.28867513459481287,0.0,0.0,0.08333333333333333,0.28867513459481287,0.16666666666666666,0.5773502691896257,0.16666666666666666,0.5773502691896257,3.402436825254247e-06,-24.112473964691162,0.7734176976846089,0.0016666666294137638,0.003892494633803578,0.5624336128433546,0.040226599584431755,3.25,1.5447859516333116,-0.5518668272222081,0.16034455840205533,0.0,0.0,0.15553222534557185,0.03368562714596591,0.066,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000,12,0.06260117162500001,0.028282928279233167,0.10288565665224358,0.008358653035918567,0.004131677327250001,0.0018666732664293884,0.00574898096261485,0.0007489523368837565,-0.0016173036353648498,0.0024792443110517267,0.11722866240855705,0.06845820388976061,0.3971688034188034,0.2506881119861173,1.0,0.0,0.574790279886752,0.07526970424401469,0.0005341880341880341,0.0018504816320180314,0.5710470085470085,0.22518095070904595
12,313,0.0007987220447284345,0.0027668543251898993,0.08333333333333333,0.28867513459481287,0.08333333333333333,0.28867513459481287,0.0,0.0,0.25,0.8660254037844386,0.25,0.8660254037844386,7.655482856822053e-06,-24.101146539052326,0.9514061510821324,0.0024999999441206455,0.004522670067576898,0.5662325645486513,0.0394292752935178,3.3333333333333335,1.825741858350554,-0.5956193109353384,0.009178864948189645,0.0,0.0,0.155020197853446,0.03275484724266763,0.067,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000,12,0.060888147597756424,0.025393501964831002,0.10184961765811967,0.005548473095591467,0.00407950588904968,0.0017013646316436772,0.005774598760251067,0.0007010721286070338,-0.0016950928712013884,0.0022475514580640723,0.11834759778682485,0.06739163108837543,0.40625,0.23657282790252784,1.0,0.0,0.577569938613782,0.0697107493208493,0.0008012820512820514,0.002775722448027047,0.5638354700854701,0.21809203746795816
12,313,0.001597444089456869,0.003194888178913738,0.25,0.45226701686664544,0.08333333333333333,0.28867513459481287,0.16666666666666666,0.38924947208076144,0.5,1.0,0.5,1.0,1.0207310475762742e-05,-23.89575481414795,0.8238042631657101,0.0033333332588275275,0.004923659529120941,0.5493559762835503,0.036638610495326324,3.9166666666666665,2.2746961169005466,-0.5591325983405113,0.08574090441175419,0.0,0.0,0.15546101393798986,0.03363025349110545,0.069,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000,12,0.07008164602003204,0.02965471603366137,0.10492248931570514,0.009132748226031554,0.004835633575382212,0.0020461754063226347,0.005433657273189102,0.0009995069268750015,-0.0005980236978068902,0.0029745667772553817,0.09879513251860668,0.06329394161123839,0.3266559829059829,0.24284659340578538,1.0,0.0,0.543308296298611,0.10004072154061397,0.0016025641025641023,0.003205128205128205,0.6303418803418803,0.22619269505833006
12,313,0.0007987220447284345,0.0019858835798979586,0.16666666666666666,0.38924947208076144,0.0,0.0,0.16666666666666666,0.38924947208076144,0.25,0.621581560508061,0.25,0.621581560508061,3.943733592908332e-06,-23.980697790781658,0.8708296856677403,0.0008333333147068819,0.002886751281424208,0.5482311894496282,0.03782405976199996,3.3333333333333335,1.2309149097933272,-0.5439760647714138,0.12696632168971358,0.0,0.0,0.15357526329656443,0.03232152352031743,0.07,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000,12,0.06774973630582266,0.02293192962523694,0.10311536981383547,0.005239396598945038,0.004742481541407585,0.001605235073766586,0.005610607634794338,0.0008437940148747822,-0.0008681260933867512,0.0023298320428922804,0.09935184389215768,0.05982501429635833,0.31383547008547014,0.21800209450830824,1.0,0.0,0.560924896480235,0.08468133530380653,0.0008012820512820514,0.0019922485913719903,0.625267094017094,0.19378057913886423
12,313,0.002928647497337593,0.0053561860204502315,0.25,0.45226701686664544,0.25,0.45226701686664544,0.0,0.0,0.9166666666666666,1.6764862244009227,0.9166666666666666,1.6764862244009227,2.8688728685666485e-05,-23.989734331766766,0.8930382604347913,0.0024999999441206455,0.004522670067576898,0.5537577569484711,0.0432314834199782,5.166666666666667,4.152399817265222,-0.543596480662624,0.1637630586832585,0.0,0.0,0.16880488395690918,0.030279803896324106,0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000,12,0.07523491188354701,0.03694884479567835,0.10854077351201923,0.01468140884156942,0.005416913655615384,0.0026603168252888414,0.005301076397988783,0.0012078616533576828,0.00011583725762660256,0.003817702776476065,0.09618729532284881,0.0663153437487469,0.3082264957264957,0.24058396292600567,1.0,0.0,0.5302437368660523,0.12053666522782842,0.002938034188034188,0.005373353283336291,0.6458333333333334,0.24552773117155505
12,313,0.002928647497337593,0.0053561860204502315,0.25,0.45226701686664544,0.25,0.45226701686664544,0.0,0.0,0.9166666666666666,1.6764862244009227,0.9166666666666666,1.6764862244009227,2.8688728685666485e-05,-24.026802221934002,0.9933499067673413,0.0,0.0,0.5538273503383001,0.047200546222582254,5.083333333333333,4.033007750445257,-0.5695792362093925,0.05331236544240515,0.0,0.0,0.16897215011219183,0.03093903955075133,0.073,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000,12,0.07170135198290599,0.037426733236287854,0.10749322737553418,0.014356589590305802,0.005234198694752136,0.002732151526249013,0.005335616262076389,0.0011502688818663925,-0.00010141756732425249,0.0038358853088219695,0.1022851938497354,0.06705559030029433,0.3357371794871795,0.2502468933583929,1.0,0.0,0.5337522706428953,0.1146866106165311,0.002938034188034188,0.005373353283336291,0.6191239316239315,0.2554499548588172
12,313,0.002928647497337593,0.004808440993689733,0.3333333333333333,0.49236596391733095,0.25,0.45226701686664544,0.08333333333333333,0.28867513459481287,0.9166666666666666,1.5050420310248867,0.9166666666666666,1.5050420310248867,2.31211047897959e-05,-24.05839506785075,0.8200011971303127,0.0016666666294137638,0.005773502562848415,0.546936238805453,0.04602212370004155,5.25,4.1587804156332355,-0.48481134201089543,0.18766415233538797,0.0,0.0,0.16846940418084463,0.03211717846893744,0.075,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.01,4000000,12,0.07630106315731838,0.036908097087449465,0.10865685563060899,0.014382053906374846,0.005722579736798877,0.0027681072815587096,0.00513754856509749,0.0012349869687293305,0.0005850311717013891,0.003947856249898964,0.09314270145195526,0.06757295297819893,0.27564102564102566,0.2504478685066404,1.0,0.0,0.5135838684843751,0.12371437948895707,0.002938034188034188,0.004823852663541303,0.655715811965812,0.24950064562328803
