condition,phase,family,metric_horizon,alpha,c_upd,total_timesteps,n_seeds,runtime_sec_mean,runtime_sec_sd,support_total_mean,support_total_sd,borrow_limit_mean,borrow_limit_sd,borrow_interest_mean,borrow_interest_sd,total_timesteps_mean,total_timesteps_sd,eval_done_count_mean,eval_done_count_sd,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_len_end_mean_mean,eval_len_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_CSR_pre_mean,eval_CSR_pre_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,eval_dbar_pre_mean_mean,eval_dbar_pre_mean_sd,eval_occupied_post_mean_mean,eval_occupied_post_mean_sd,eval_occupied_pre_mean_mean,eval_occupied_pre_mean_sd,eval_max_tilde_post_mean_mean,eval_max_tilde_post_mean_sd,eval_max_tilde_pre_mean_mean,eval_max_tilde_pre_mean_sd,eval_episodes_per_env_mean,eval_episodes_per_env_sd,eval_t_eval_mean,eval_t_eval_sd,eval_done_per_env_min_mean,eval_done_per_env_min_sd,eval_done_per_env_max_mean,eval_done_per_env_max_sd,mean_update_fraction_mean,mean_update_fraction_sd,final_executed_updates_mean,final_executed_updates_sd,final_energy_mean,final_energy_sd,total_support_injected_mean,total_support_injected_sd,total_debt_charge_mean,total_debt_charge_sd,max_debt_level_mean,max_debt_level_sd,final_vartd_mean,final_vartd_sd,train_final_return_end_mean_mean,train_final_return_end_mean_sd,I_R_short_mean,I_R_short_sd,learned_R_short_0p5_mean,learned_R_short_0p5_sd,I_R_full_mean,I_R_full_sd,learned_R_full_0p5_mean,learned_R_full_0p5_sd
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,0.0,0.6,400000,32,1.628928614374729,2.7124659088375584,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0.0,100.0,0.0,-25.88889068365097,2.5783757920602395,26.0,0.0,0.0018749999580904841,0.005350610336984656,0.0012499999720603228,0.004212117601722992,0.6844168454408646,0.15191976190463807,0.6800044775009155,0.1490391302717938,0.2390624945401214,0.0886951778727431,0.2515624922234565,0.09850853127494996,0.9865590408444405,0.19083641104103477,0.9830197021365166,0.18528173208989124,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.00800000037997961,0.0,1.0,0.0,0.3999999761581421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16460936795920134,0.02071082693469619,-27.47185128927231,0.6614936462540678,0.27681072925499806,0.5218573942183957,0.375,0.4918693768379647,,,,
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,1000000,32,3.2742968789997917,2.267288367631179,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,100.0,0.0,-25.88889068365097,2.5783757920602395,26.0,0.0,0.0018749999580904841,0.005350610336984656,0.0012499999720603228,0.004212117601722992,0.6844168454408646,0.15191976190463807,0.6800044775009155,0.1490391302717938,0.2390624945401214,0.0886951778727431,0.2515624922234565,0.09850853127494996,0.9865590408444405,0.19083641104103477,0.9830197021365166,0.18528173208989124,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.0032051282469183207,0.0,1.0,0.0,0.42000001668930054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15727191790938377,0.020084383079363104,-27.3337841629982,0.6640834132409204,,,,,0.5521533385988221,1.0409470155498541,0.71875,0.45680340939917435
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,1000000,32,3.2809853665311834,2.2471002922755305,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,100.0,0.0,-24.524365484714508,2.3396838648418044,26.0,0.0,0.0012499999720603228,0.0033601074500569797,0.0012499999720603228,0.0033601074500569797,0.584230937063694,0.14317850399024262,0.5816302560269833,0.13831035953693394,0.3199999928474426,0.09370509702566648,0.3218749933876097,0.0882239634169866,0.8505675662308931,0.18158804179212207,0.8491638898849487,0.17523205061097102,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.011818910483270884,0.00150938797048181,3.6875,0.47092907485988494,0.34356025952729397,0.4176239375270963,0.0,0.0,0.0,0.0,0.0,0.0,0.14927926380187273,0.018042083220630837,-26.696829676628113,0.6108115766600012,,,,,1.103042172511011,0.9445818347880004,0.90625,0.29614458108029906
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,1000000,32,3.3858935797811682,2.238708008141715,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,100.0,0.0,-23.265288412570953,0.6168212237819317,26.0,0.0,0.0037499999161809683,0.0065991200284590676,0.002812499937135726,0.004568033991888224,0.4872190188616514,0.01929326448529717,0.48742163833230734,0.018708619920911468,0.3962499895133078,0.07303335264736407,0.3934374889358878,0.058066108918457315,0.6989935003221035,0.03374119976753165,0.6993716657161713,0.03229596172321763,4.0,0.0,104.0,0.0,4.0,0.0,4.0,0.0,0.16406250139698386,0.004417025161495778,51.1875,1.3781123134153823,0.6291862879879773,0.25375610596345927,0.0,0.0,0.0,0.0,0.0,0.0,5.117909863591194,0.1725219616277772,-23.254618108272552,0.5215052416063627,,,,,1.6113592784313342,0.24902429428666054,1.0,0.0
