condition,phase,family,metric_horizon,authoritative_source,comparison_kind,stage_d_seed_match_available,stage_d_seed_exact_match,stage_d_seed_match_condition,stage_d_eval_return_end_mean_max_abs_diff,stage_d_eval_dbar_post_mean_max_abs_diff,stage_d_eval_CSR_post_max_abs_diff,stage_d_mean_update_fraction_max_abs_diff,stage_d_final_executed_updates_max_abs_diff,stage_d_final_energy_max_abs_diff,stage_d_final_vartd_max_abs_diff,eval_return_end_mean_measured,eval_return_end_mean_reference,eval_return_end_mean_diff,mean_update_fraction_measured,mean_update_fraction_reference,mean_update_fraction_diff,final_vartd_measured,final_vartd_reference,final_vartd_diff,learned_R_short_0p5_measured,learned_R_short_0p5_reference,learned_R_short_0p5_diff,baseline_return_tol,baseline_learn_prob_tol,baseline_return_pass,baseline_learn_prob_pass,baseline_reproduction_pass,final_executed_updates_measured,final_executed_updates_reference,final_executed_updates_diff,final_energy_measured,final_energy_reference,final_energy_diff,learned_R_full_0p5_measured,learned_R_full_0p5_reference,learned_R_full_0p5_diff
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,stageB_bridge_by_point,baseline_reproduction,1,0,disabled_short,10.399011611938477,0.6884475350379946,0.019999999552965164,1.0408340855860843e-17,0.0,0.0,0.07190315425395971,-25.88889068365097,-25.8888906875,3.8490313158945355e-09,0.00800000037997961,0.008,3.799796102765818e-10,0.16460936795920134,0.16460940625,-3.8290798670681525e-08,0.375,0.375,0.0,0.35,0.1,1,1,1,,,,,,,,,
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,stageC_subset_refine_by_point,baseline_reproduction,1,0,fragile_full,10.399011611938477,0.6884475350379946,0.019999999552965164,2.0816681711721685e-17,0.0,5.551115123125783e-17,0.08099302649497987,-25.88889068365097,-25.8888906875,3.8490313158945355e-09,0.0032051282469183207,0.003205,1.282469183207062e-07,0.15727191790938377,0.157271875,4.290938376838582e-08,,,,0.35,0.1,1,1,1,1.0,1.0,0.0,0.42000001668930054,0.42,1.6689300552652497e-08,0.71875,0.71875,0.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,stageC_subset_refine_by_point,baseline_reproduction,0,0,,,,,,,,,-24.524365484714508,-24.5243654375,-4.7214509635296054e-08,0.011818910483270884,0.011819125,-2.1451672911620978e-07,0.14927926380187273,0.14927921875,4.505187273240452e-08,,,,0.35,0.1,1,1,1,3.6875,3.6875,0.0,0.34356025952729397,0.34356021875,4.0777293985883034e-08,0.90625,0.90625,0.0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,stageC_subset_refine_by_point,baseline_reproduction,1,0,enabled_full,2.4284706115722656,0.05201733112335205,0.0399999991059303,0.016025632619857788,5.0,0.7927703112363815,0.6686196327209473,-23.265288412570953,-23.20798421875,-0.0573041938209542,0.16406250139698386,0.164062625,-1.2360301612779345e-07,5.117909863591194,5.123532,-0.005622136408805822,,,,0.35,0.1,1,1,1,51.1875,51.1875,0.0,0.6291862879879773,0.5910030625,0.03818322548797726,1.0,1.0,0.0
