mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,971,0.0,5,0.18670116,0.19140819,0.9505031,0.11207193,0.11207193,1.0,0.004707021,0.042,-27.087866,2.0911486,0.69704956,0.2,0.0,0.14779025,0.0,0.0,3110400
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,972,0.0,5,0.19140819,0.19609696,0.95219046,0.111637354,0.111637354,1.0,0.0046887686,0.042,-25.952047,2.0948608,0.69828695,0.208,0.0,0.13160197,0.0,0.0,3113600
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,973,0.0,5,0.19609696,0.2010179,0.9312012,0.11716524,0.11716524,1.0,0.00492094,0.042,-25.471165,2.0486836,0.6828946,0.18400002,0.0,0.1335089,0.0,0.0,3116800
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,974,0.0,5,0.2010179,0.2057992,0.943703,0.11384055,0.11384055,1.0,0.004781303,0.042,-26.424183,2.076188,0.69206274,0.136,0.0,0.13447584,0.0,0.0,3120000
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,975,0.0,5,0.2057992,0.21072112,0.93111575,0.11718829,0.11718829,1.0,0.004921908,0.042,-26.246168,2.0484955,0.6828319,0.22,0.01,0.13631712,0.0,0.0,3123200
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,976,0.0,5,0.21072112,0.21578456,0.91880363,0.1205581,0.1205581,1.0,0.00506344,0.042,-26.131388,2.0214083,0.6738028,0.208,0.0,0.14139156,0.0,0.0,3126400
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,977,0.0,5,0.21578456,0.22080356,0.9226321,0.11949999,0.11949999,1.0,0.0050189993,0.042,-25.848692,2.0298312,0.6766104,0.256,0.0,0.16241786,0.0,0.0,3129600
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,978,0.0,5,0.22080356,0.2254177,0.9591584,0.10986049,0.10986049,1.0,0.0046141404,0.042,-26.36233,2.1101906,0.7033969,0.2,0.008,0.16095836,0.0,0.0,3132800
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,979,0.0,5,0.2254177,0.2306703,0.90287495,0.12506191,0.12506191,1.0,0.0052526,0.042,-25.278723,1.9863645,0.66212153,0.272,0.0,0.14297023,0.0,0.0,3136000
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,980,0.0,5,0.2306703,0.23515117,0.971887,0.10668736,0.10668736,1.0,0.004480869,0.042,-27.441147,2.138194,0.71273136,0.120000005,0.0,0.15976556,0.0,0.0,3139200
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,981,0.0,5,0.23515117,0.24004315,0.93376476,0.11647568,0.11647568,1.0,0.0048919786,0.042,-26.630453,2.0543234,0.6847745,0.16800001,0.0,0.12615478,0.0,0.0,3142400
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,982,0.0,5,0.24004315,0.24452868,0.9714354,0.10679834,0.10679834,1.0,0.0044855303,0.042,-27.377617,2.1372006,0.7124002,0.296,0.008,0.17446132,0.0,0.0,3145600
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,983,0.0,5,0.24452868,0.24978976,0.9021739,0.12526393,0.12526393,1.0,0.005261085,0.042,-25.246153,1.9848222,0.6616074,0.16000001,0.0,0.11591418,0.0,0.0,3148800
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,984,0.0,5,0.24978976,0.25422084,0.97674066,0.10550167,0.10550167,1.0,0.00443107,0.042,-27.223398,2.1488724,0.71629083,0.14400001,0.0,0.14664215,0.0,0.0,3152000
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,985,0.0,5,0.25422084,0.2592249,0.9239269,0.11914423,0.11914423,1.0,0.0050040577,0.042,-26.177355,2.0326798,0.67756,0.18400002,0.0,0.12904343,0.0,0.0,3155200
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,986,0.0,5,0.2592249,0.2635935,0.9829067,0.10401436,0.10401436,1.0,0.004368603,0.042,-27.269009,2.162438,0.7208127,0.2,0.0,0.17726639,0.0,0.0,3158400
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,987,0.0,5,0.2635935,0.26858684,0.92485845,0.11888897,0.11888897,1.0,0.0049933367,0.042,-25.178076,2.0347292,0.6782431,0.2,0.0,0.13404058,0.0,0.0,3161600
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,988,0.0,5,0.26858684,0.2734899,0.93278277,0.11673935,0.11673935,1.0,0.0049030525,0.042,-26.084799,2.0521631,0.6840544,0.17,0.0,0.14226952,0.0,0.0,3164800
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,989,0.0,5,0.2734899,0.2782099,0.94930714,0.112381,0.112381,1.0,0.004720002,0.042,-25.975199,2.0885174,0.6961725,0.096,0.0,0.13246725,0.0,0.0,3168000
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,990,0.0,5,0.2782099,0.28328377,0.91791064,0.12080624,0.12080624,1.0,0.005073862,0.042,-26.050552,2.0194438,0.6731479,0.2,0.0,0.119389094,0.0,0.0,3171200
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,991,0.0,5,0.28328377,0.28792983,0.9561653,0.11062025,0.11062025,1.0,0.0046460507,0.042,-26.140774,2.1036057,0.7012019,0.208,0.0,0.13798356,0.0,0.0,3174400
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,992,0.0,5,0.28792983,0.29256606,0.9570832,0.11038669,0.11038669,1.0,0.004636241,0.042,-26.437786,2.1056252,0.7018751,0.24000001,0.008,0.1713,0.0,0.0,3177600
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,993,0.0,5,0.29256606,0.2974007,0.93888545,0.115110405,0.115110405,1.0,0.004834637,0.042,-26.246292,2.0655892,0.68852973,0.224,0.0,0.14156403,0.0,0.0,3180800
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,994,0.0,5,0.2974007,0.30256078,0.9105932,0.12285896,0.12285896,1.0,0.005160076,0.042,-25.1573,2.003345,0.6677817,0.23200001,0.0,0.13824427,0.0,0.0,3184000
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,995,0.0,5,0.30256078,0.30728674,0.9487586,0.11252302,0.11252302,1.0,0.0047259666,0.042,-26.391369,2.0873106,0.6957702,0.16000001,0.0,0.14636216,0.0,0.0,3187200
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,996,0.0,5,0.30728674,0.31210282,0.9405551,0.11466872,0.11466872,1.0,0.004816086,0.042,-26.800497,2.0692625,0.6897542,0.17600001,0.0,0.13291752,0.0,0.0,3190400
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,997,0.0,5,0.31210282,0.31667542,0.9630865,0.10887132,0.10887132,1.0,0.0045725955,0.042,-26.639605,2.1188326,0.70627755,0.096,0.0,0.15112013,0.0,0.0,3193600
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,998,0.0,5,0.31667542,0.3220891,0.88975716,0.12889701,0.12889701,1.0,0.0054136743,0.042,-25.622463,1.9575049,0.65250164,0.208,0.0,0.14756784,0.0,0.0,3196800
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,999,0.0,5,0.3220891,0.32651028,0.9777109,0.10526622,0.10526622,1.0,0.004421181,0.042,-26.486122,2.151007,0.71700233,0.16000001,0.0,0.1521913,0.0,0.0,3200000
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,1000,0.0,5,0.32651028,0.32651028,1.0081156,0.0,0.09814865,0.0,0.0,0.042,-26.449678,2.2178986,0.73929954,0.17600001,0.0,0.16801982,0.0,0.0,3203200
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.042,47,1001,0.0,5,0.32651028,0.32651028,1.0067201,0.0,0.09846455,0.0,0.0,0.042,-27.65635,2.2148285,0.7382762,0.19999999,0.0,0.15232569,0.0,0.0,3206400
