condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,42,2.9071572729990294,none,0.0,0.0,0.0,1000000,100.0,-24.37215805053711,26.0,0.0,0.009999999776482582,0.511355996131897,0.518180787563324,0.29999998211860657,0.29999998211860657,0.7145017981529236,0.7248244285583496,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.009752437472343445,0.0,0.0,0.0,0.15651191771030426,-27.306596755981445,1.1644916613090979,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,43,2.898282766000193,none,0.0,0.0,0.0,1000000,100.0,-23.679296493530273,26.0,0.009999999776482582,0.0,0.5693968534469604,0.5667345523834229,0.32999998331069946,0.25999999046325684,0.851255476474762,0.8502627611160278,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.021201418712735176,0.0,0.0,0.0,0.14741827547550201,-26.583606719970703,1.4442151105349355,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,44,2.957761894000214,none,0.0,0.0,0.0,1000000,100.0,-25.244237899780273,26.0,0.0,0.0,0.640830397605896,0.6375223994255066,0.2199999988079071,0.20999999344348907,0.931621253490448,0.9343275427818298,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.04106768220663071,0.0,0.0,0.0,0.1274764984846115,-25.928363800048828,0.8124138458152308,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,45,2.85675925599935,none,0.0,0.0,0.0,1000000,100.0,-23.895538330078125,26.0,0.0,0.009999999776482582,0.5121186375617981,0.5145630836486816,0.3400000035762787,0.3799999952316284,0.7473049759864807,0.7549218535423279,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.10382331907749176,0.0,0.0,0.0,0.12765321135520935,-25.79576301574707,1.356913525139719,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,46,2.9650520870000037,none,0.0,0.0,0.0,1000000,100.0,-25.31760597229004,26.0,0.0,0.0,0.6301940679550171,0.6292683482170105,0.20999999344348907,0.25,0.9080819487571716,0.9139677286148071,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.04932084679603577,0.0,0.0,0.0,0.13775870203971863,-26.34096908569336,0.7827935412999371,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,47,2.9491051139993942,none,0.0,0.0,0.0,1000000,100.0,-24.338050842285156,26.0,0.0,0.0,0.6051848530769348,0.598741352558136,0.3199999928474426,0.32999998331069946,0.9343330264091492,0.9218571186065674,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.0304226353764534,0.0,0.0,0.0,0.18126729130744934,-27.43412208557129,1.1782614914277085,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,48,2.807809547999568,none,0.0,0.0,0.0,1000000,100.0,-26.15215492248535,26.0,0.0,0.0,0.675838828086853,0.6589062213897705,0.25999999046325684,0.28999999165534973,1.0136704444885254,0.992527961730957,4.0,104.0,4.0,4.0,0.009615384973585606,3.0,0.9929851293563843,0.0,0.0,0.0,0.18730118870735168,-27.513118743896484,0.44586777519897375,0.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,49,2.9760108689988556,none,0.0,0.0,0.0,1000000,100.0,-22.912399291992188,26.0,0.0,0.0,0.5942928791046143,0.5913276076316833,0.28999999165534973,0.25999999046325684,0.8556959629058838,0.8506687879562378,4.0,104.0,4.0,4.0,0.009615384973585606,3.0,0.9543116092681885,0.0,0.0,0.0,0.17269907891750336,-26.54591941833496,1.753828377783589,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,50,3.056368093999481,none,0.0,0.0,0.0,1000000,100.0,-24.242748260498047,26.0,0.0,0.0,0.5257893800735474,0.5243357419967651,0.3199999928474426,0.3499999940395355,0.7424325346946716,0.7506576180458069,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.09848031401634216,0.0,0.0,0.0,0.1396576464176178,-25.849353790283203,1.216737239761592,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,51,3.0188135910011624,none,0.0,0.0,0.0,1000000,100.0,-24.178796768188477,26.0,0.0,0.0,0.6098713278770447,0.6045610904693604,0.28999999165534973,0.25,0.906225860118866,0.900874137878418,4.0,104.0,4.0,4.0,0.009615384973585606,3.0,0.9706240296363831,0.0,0.0,0.0,0.12862589955329895,-27.23764991760254,1.2425558637436356,1.0
