update,update_u_mean,update_u_q25,update_u_q75,update_u_std,update_counter_mean,update_counter_q25,update_counter_q75,update_counter_std,energy_E_pre_mean,energy_E_pre_q25,energy_E_pre_q75,energy_E_pre_std,energy_E_post_mean,energy_E_post_q25,energy_E_post_q75,energy_E_post_std,energy_E_raw_mean,energy_E_raw_q25,energy_E_raw_q75,energy_E_raw_std,funding_z_mean,funding_z_q25,funding_z_q75,funding_z_std,funding_g_mean,funding_g_q25,funding_g_q75,funding_g_std,funding_g_raw_mean,funding_g_raw_q25,funding_g_raw_q75,funding_g_raw_std,funding_cut_active_mean,funding_cut_active_q25,funding_cut_active_q75,funding_cut_active_std,funding_income_mean,funding_income_q25,funding_income_q75,funding_income_std,funding_alpha_eff_mean,funding_alpha_eff_q25,funding_alpha_eff_q75,funding_alpha_eff_std,support_s_mean,support_s_q25,support_s_q75,support_s_std,debt_charge_mean,debt_charge_q25,debt_charge_q75,debt_charge_std,debt_level_pre_mean,debt_level_pre_q25,debt_level_pre_q75,debt_level_pre_std,debt_level_post_mean,debt_level_post_q25,debt_level_post_q75,debt_level_post_std,episode_return_end_mean_mean,episode_return_end_mean_q25,episode_return_end_mean_q75,episode_return_end_mean_std,terminal_min_dists_end_mean_mean,terminal_min_dists_end_mean_q25,terminal_min_dists_end_mean_q75,terminal_min_dists_end_mean_std,terminal_dbar_end_mean,terminal_dbar_end_q25,terminal_dbar_end_q75,terminal_dbar_end_std,terminal_occupied_end_mean_mean,terminal_occupied_end_mean_q25,terminal_occupied_end_mean_q75,terminal_occupied_end_mean_std,terminal_CSR_train_mean,terminal_CSR_train_q25,terminal_CSR_train_q75,terminal_CSR_train_std,vartd_VarTD_mean,vartd_VarTD_q25,vartd_VarTD_q75,vartd_VarTD_std,depr_F_mean,depr_F_q25,depr_F_q75,depr_F_std,depr_F_post_mean,depr_F_post_q25,depr_F_post_q75,depr_F_post_std
399,0.0,0.0,0.0,0.0,5.583333333333333,4.0,6.5,1.8319554050414562,-0.31811455,-0.3973677381873131,-0.2189224325120449,0.1583145,-0.30985102,-0.3877550736069679,-0.20825646817684174,0.15751323,-0.30985102,-0.3877550736069679,-0.20825646817684174,0.15751323,0.9558029,0.9346315413713455,0.9701106399297714,0.043455303,0.09537241,0.10715992003679276,0.11627721227705479,0.045301504,0.111222774,0.10715992003679276,0.11627721227705479,0.011179067,0.8333333,1.0,1.0,0.38924947,0.011444689,0.012859190115705132,0.013953265501186252,0.0054361806,0.12,0.11999999731779099,0.11999999731779099,0.0,0.0,0.0,0.0,0.0,0.0031811455,0.002189224207540974,0.003973677230533212,0.001583145,0.31811455,0.2189224325120449,0.3973677381873131,0.1583145,0.30985102,0.20825646817684174,0.3877550736069679,0.15751323,-26.53483,-26.996306896209717,-26.210835933685303,0.7038109,2.1028082,2.0562304258346558,2.134286046028137,0.095603585,0.70093614,0.6854101568460464,0.711428701877594,0.031867858,0.17333335,0.1600000113248825,0.18800001218914986,0.02245534,0.0,0.0,0.0,0.0,0.15232174,0.14458295702934265,0.15653273463249207,0.015702626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,5.583333333333333,4.0,6.5,1.8319554050414562,-0.30985102,-0.3877550736069679,-0.20825646817684174,0.15751323,-0.30148014,-0.37816983461380005,-0.20644712448120117,0.15650724,-0.30148014,-0.37816983461380005,-0.20644712448120117,0.15650724,0.9586647,0.9174370914697647,0.9964013993740082,0.053939268,0.095578425,0.10083295963704586,0.12094158306717873,0.045727532,0.110757835,0.10083295963704586,0.12094158306717873,0.013562738,0.8333333,1.0,1.0,0.38924947,0.01146941,0.01209995523095131,0.014512989902868867,0.0054873037,0.12,0.11999999731779099,0.11999999731779099,0.0,0.0,0.0,0.0,0.0,0.0030985102,0.0020825645769946277,0.003877550654578954,0.0015751322,0.30985102,0.20825646817684174,0.3877550736069679,0.15751323,0.30148014,0.20644712448120117,0.37816983461380005,0.15650724,-26.573893,-26.949272632598877,-26.140002250671387,0.8483485,2.1091046,2.0184019207954407,2.1921268105506897,0.11866874,0.7030349,0.6728006452322006,0.7307089567184448,0.039556246,0.17866667,0.1640000119805336,0.19600000232458115,0.02840401,0.0,0.0,0.0,0.0,0.15387441,0.14338038861751556,0.15988648310303688,0.013707594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.0,5.583333333333333,4.0,6.5,1.8319554050414562,-0.30148014,-0.37816983461380005,-0.20644712448120117,0.15650724,-0.29533577,-0.3689020648598671,-0.2085115946829319,0.15842257,-0.29533577,-0.3689020648598671,-0.2085115946829319,0.15842257,0.9754161,0.9181285351514816,1.0124832093715668,0.05869115,0.07632632,0.0,0.12074566073715687,0.056887414,0.10670334,0.09718103893101215,0.12074566073715687,0.01418778,0.6666667,0.0,1.0,0.49236596,0.009159158,0.0,0.0144894786644727,0.006826489,0.12,0.11999999731779099,0.11999999731779099,0.0,0.0,0.0,0.0,0.0,0.003014801,0.0020644712494686246,0.003781698294915259,0.0015650725,0.30148014,0.20644712448120117,0.37816983461380005,0.15650724,0.29533577,0.2085115946829319,0.3689020648598671,0.15842257,-26.708899,-27.16575860977173,-26.13376760482788,0.8653196,2.1459582,2.0199230909347534,2.227507531642914,0.12912309,0.7153194,0.6733077317476273,0.7425025105476379,0.043041028,0.168,0.1420000083744526,0.18000001087784767,0.039634697,0.0006666667,0.0,0.0,0.0023094013,0.15559287,0.13519595563411713,0.17303404957056046,0.023219436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,0.0,0.0,0.0,0.0,5.583333333333333,4.0,6.5,1.8319554050414562,-0.29533577,-0.3689020648598671,-0.2085115946829319,0.15842257,-0.28678918,-0.3689449056982994,-0.19716546311974525,0.15865615,-0.28678918,-0.3689449056982994,-0.19716546311974525,0.15865615,0.9521969,0.9213599860668182,0.9903455525636673,0.0417197,0.095832914,0.10224802233278751,0.11985446140170097,0.045540597,0.11210846,0.10224802233278751,0.11985446140170097,0.01076154,0.8333333,1.0,1.0,0.38924947,0.011499949,0.012269762344658375,0.014382534893229604,0.005464872,0.12,0.11999999731779099,0.11999999731779099,0.0,0.0,0.0,0.0,0.0,0.0029533578,0.002085115818772465,0.003689020639285445,0.0015842258,0.29533577,0.2085115946829319,0.3689020648598671,0.15842257,0.28678918,0.19716546311974525,0.3689449056982994,0.15865615,-26.261162,-26.490927696228027,-25.956400871276855,0.51827586,2.094875,2.027032434940338,2.1788037419319153,0.09178519,0.6982917,0.6756775081157684,0.72626793384552,0.03059507,0.20666666,0.17400001361966133,0.2420000098645687,0.04574501,0.0006666667,0.0,0.0,0.0023094013,0.15377481,0.13823869451880455,0.17726551368832588,0.021812445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0,5.583333333333333,4.0,6.5,1.8319554050414562,-0.28678918,-0.3689449056982994,-0.19716546311974525,0.15865615,-0.2761664,-0.3584720715880394,-0.18606511130928993,0.16028422,-0.2761664,-0.3584720715880394,-0.18606511130928993,0.16028422,0.9501867,0.9319474995136261,0.974866196513176,0.031227263,0.112422206,0.10595834255218506,0.11696938052773476,0.008199932,0.112422206,0.10595834255218506,0.11696938052773476,0.008199932,1.0,1.0,1.0,0.0,0.013490665,0.012715000659227371,0.01403632527217269,0.0009839919,0.12,0.11999999731779099,0.11999999731779099,0.0,0.0,0.0,0.0,0.0,0.0028678917,0.0019716546521522105,0.0036894489312544465,0.0015865614,0.28678918,0.19716546311974525,0.3689449056982994,0.15865615,0.2761664,0.18606511130928993,0.3584720715880394,0.16028422,-26.235985,-26.620388984680176,-25.743649005889893,0.64115834,2.0904527,2.050325393676758,2.1447484493255615,0.06870135,0.6968176,0.6834418177604675,0.7149161845445633,0.022900453,0.18083332,0.14749999344348907,0.21249999478459358,0.04010403,0.0,0.0,0.0,0.0,0.14589602,0.13585050404071808,0.15651679039001465,0.019618833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,0.083333336,0.0,0.0,0.28867513,5.666666666666667,4.75,6.5,1.775250729197189,-0.2761664,-0.3584720715880394,-0.18606511130928993,0.16028422,-0.31588963,-0.4144325628876686,-0.24207081273198128,0.16628431,-0.31588963,-0.4144325628876686,-0.24207081273198128,0.16628431,0.95975876,0.931554839015007,0.9847244769334793,0.04419643,0.094764985,0.10358431003987789,0.11707041412591934,0.044817187,0.110220075,0.10358431003987789,0.11707041412591934,0.0108892685,0.8333333,1.0,1.0,0.38924947,0.011371798,0.01243011699989438,0.01404844899661839,0.005378062,0.12,0.11999999731779099,0.11999999731779099,0.0,0.0,0.0,0.0,0.0,0.0027616639,0.0018606511293910444,0.0035847206017933786,0.0016028424,0.2761664,0.18606511130928993,0.3584720715880394,0.16028422,0.31588963,0.24207081273198128,0.4144325628876686,0.16628431,-26.413004,-26.94921112060547,-25.871456623077393,0.7806435,2.1115115,2.049461603164673,2.166437089443207,0.097234085,0.70383716,0.68315389752388,0.7221457064151764,0.03241136,0.19000001,0.17400001361966133,0.21000000461935997,0.022659533,0.0006666667,0.0,0.0,0.0023094013,0.15349193,0.14184408262372017,0.16046587750315666,0.017589036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,0.0,5.666666666666667,4.75,6.5,1.775250729197189,-0.31588963,-0.4144325628876686,-0.24207081273198128,0.16628431,-0.30979294,-0.4039723202586174,-0.24026167765259743,0.1693033,-0.30979294,-0.4039723202586174,-0.24026167765259743,0.1693033,0.96712065,0.9179325699806213,1.003597766160965,0.05742904,0.0771297,0.0,0.1208304613828659,0.05776614,0.10873366,0.09917896240949631,0.1208304613828659,0.014417967,0.6666667,0.0,1.0,0.49236596,0.009255564,0.0,0.014499654760584235,0.0069319364,0.12,0.11999999731779099,0.11999999731779099,0.0,0.0,0.0,0.0,0.0,0.003158896,0.0024207081005442888,0.0041443255031481385,0.001662843,0.31588963,0.24207081273198128,0.4144325628876686,0.16628431,0.30979294,0.24026167765259743,0.4039723202586174,0.1693033,-26.689627,-27.537578105926514,-25.82311725616455,0.9113304,2.127708,2.019491970539093,2.2079591751098633,0.12634644,0.70923597,0.6731640100479126,0.7359863966703415,0.042115483,0.16933334,0.1340000070631504,0.1940000019967556,0.034759782,0.0,0.0,0.0,0.0,0.15128797,0.14437922462821007,0.15567273274064064,0.014532006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,0.083333336,0.0,0.0,0.28867513,5.75,4.75,6.5,1.9128750375000738,-0.30979294,-0.4039723202586174,-0.24026167765259743,0.1693033,-0.35185263,-0.47173718363046646,-0.24969671294093132,0.16093521,-0.35185263,-0.47173718363046646,-0.24969671294093132,0.16093521,0.96273834,0.9295566082000732,1.0095553398132324,0.05297065,0.07809645,0.0,0.11762181110680103,0.058175564,0.109706156,0.097838144749403,0.11762181110680103,0.013455075,0.6666667,0.0,1.0,0.49236596,0.009371574,0.0,0.014114617370069027,0.006981068,0.12,0.11999999731779099,0.11999999731779099,0.0,0.0,0.0,0.0,0.0,0.0030979293,0.0024026167229749262,0.004039723135065287,0.0016930329,0.30979294,0.24026167765259743,0.4039723202586174,0.1693033,0.35185263,0.24969671294093132,0.47173718363046646,0.16093521,-26.51831,-27.20853090286255,-25.868149757385254,0.9152212,2.1180665,2.045065402984619,2.2210660576820374,0.11653775,0.70602226,0.6816884726285934,0.7403553575277328,0.038845915,0.18066667,0.14000000804662704,0.21800000593066216,0.047568772,0.0006666667,0.0,0.0,0.0023094013,0.14962019,0.13882455602288246,0.16584612429141998,0.019549249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,0.0,0.0,0.0,0.0,5.75,4.75,6.5,1.9128750375000738,-0.35185263,-0.47173718363046646,-0.24969671294093132,0.16093521,-0.34513697,-0.46419673413038254,-0.2485962063074112,0.16258992,-0.34513697,-0.46419673413038254,-0.2485962063074112,0.16258992,0.9632008,0.9399457424879074,0.9941607117652893,0.050094564,0.085285,0.07648930884897709,0.1148659996688366,0.0524986,0.10952473,0.10135948099195957,0.1148659996688366,0.013112888,0.75,0.75,1.0,0.45226702,0.010234199,0.009178716922178864,0.013783919624984264,0.0062998324,0.12,0.11999999731779099,0.11999999731779099,0.0,0.0,0.0,0.0,0.0,0.0035185262,0.0024969669757410884,0.0047173716593533754,0.0016093521,0.35185263,0.24969671294093132,0.47173718363046646,0.16093521,0.34513697,0.2485962063074112,0.46419673413038254,0.16258992,-26.682825,-26.947502613067627,-26.25708532333374,0.90993226,2.1190841,2.0679219365119934,2.187197208404541,0.110210255,0.70636135,0.6893073171377182,0.7290657460689545,0.03673675,0.18333334,0.16600001230835915,0.1980000026524067,0.03078764,0.0006666667,0.0,0.0,0.0023094013,0.15434201,0.14091206714510918,0.16329792141914368,0.022234853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,0.0,0.0,0.0,0.0,5.75,4.75,6.5,1.9128750375000738,-0.34513697,-0.46419673413038254,-0.2485962063074112,0.16258992,-0.33607817,-0.4562711790204048,-0.245035570114851,0.16324742,-0.33607817,-0.4562711790204048,-0.245035570114851,0.16324742,0.95135564,0.941784605383873,0.9801812618970871,0.045869194,0.10425142,0.10466976650059223,0.11450150981545448,0.034799766,0.11244125,0.10466976650059223,0.11450150981545448,0.012371908,0.9166667,1.0,1.0,0.28867513,0.01251017,0.012560371542349458,0.01374018075875938,0.0041759717,0.12,0.11999999731779099,0.11999999731779099,0.0,0.0,0.0,0.0,0.0,0.0034513697,0.0024859620607458055,0.004641967359930277,0.0016258992,0.34513697,0.2485962063074112,0.46419673413038254,0.16258992,0.33607817,0.245035570114851,0.4562711790204048,0.16324742,-26.286863,-26.985021591186523,-25.785464763641357,1.1275259,2.093024,2.071967512369156,2.156441867351532,0.10091423,0.69767475,0.690655842423439,0.7188139706850052,0.033638068,0.18866669,0.17600001394748688,0.1940000019967556,0.030022213,0.0013333334,0.0,0.0,0.003113996,0.15220448,0.14470693096518517,0.16095052286982536,0.015809258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
